#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Abilene Christian,WAC,Cal Baptist,A,"W, 87-71",131.5,115,65.4,133,62.5,16.8,34.6,48.1,108.6,52.8,19.9,36.4,43.4,82.4,1
2,2,1/21/23,C,Abilene Christian,WAC,UT Arlington,H,"W, 84-68",127.6,111.4,64.8,129.6,73.5,21.6,31.6,30.6,104.9,52.9,24.7,36.7,39.2,82.6,9
3,3,11/27/22,N,Abilene Christian,WAC,Northern Arizona,A,"W, 92-82",124.2,116.5,69.4,132.5,65,14.4,31.2,36.7,118.1,56.9,14.4,28.6,37.9,67.7,2
4,4,2/1/23,C,Abilene Christian,WAC,Seattle,A,"W, 83-68",121.3,103.8,70.3,118.1,56.7,10,23.5,13.4,96.8,48.5,15.7,24.4,13.8,85.7,3
5,5,2/17/23,C,Abilene Christian,WAC,Grand Canyon,A,"L, 94-84",119.9,123.1,70,120.1,50,4.3,22.9,49.2,134.4,77.8,24.3,36.4,73.3,42.6,-5
6,6,12/10/22,N,Abilene Christian,WAC,Texas A&M Commerce,H,"W, 83-64",115.7,103.8,65.3,127.2,56.4,13.8,39.3,43.6,98.1,53,27.6,32.1,30,77.6,11
7,7,12/6/22,N,Abilene Christian,WAC,Kansas St.,A,"L, 81-64",113,105.6,67.7,94.5,51.8,19.2,21.2,21.8,119.6,61.3,17.7,34.5,54.7,68.7,-2
8,8,2/11/23,C,Abilene Christian,WAC,Sam Houston St.,H,"L, 77-62",111.4,114.7,64.6,96,48.1,17,20,22.2,119.3,61.2,23.2,38.5,49,41.7,-1
9,9,1/26/23,C,Abilene Christian,WAC,Grand Canyon,H,"L, 75-73",106.6,107,66.2,110.2,52.5,12.1,30.6,27.9,113.2,59.6,25.7,33.3,51.1,49.1,-1
10,10,2/22/23,C,Abilene Christian,WAC,Stephen F. Austin,H,"L, 91-89",106.4,112.1,66.8,106.5,43.8,15.6,32.7,43.1,108.9,61,23.9,25,44.1,35.4,-4
11,11,1/28/23,C,Abilene Christian,WAC,Utah Tech,H,"W, 81-76",106.3,100.9,74.3,108.9,47.4,18.8,36.4,56.1,102.2,61.8,25.6,16.7,39.2,64.7,2
12,12,12/29/22,C,Abilene Christian,WAC,Stephen F. Austin,A,"L, 75-68",103.1,111.3,67.6,100.7,50.8,17.8,29.7,18,111,50.9,16.3,36.4,43.9,29.4,-7
13,13,11/22/22,N,Abilene Christian,WAC,Weber St.,N,"L, 77-67",99.7,108.7,72.1,93,57.5,20.8,7.7,20.8,106.9,52.9,25,28.6,49,27.1,0
14,14,12/17/22,N,Abilene Christian,WAC,Cal St. Bakersfield,A,"W, 65-59",99.6,108.6,62.5,104,51,16,20.6,44.9,94.4,46.9,24,32.1,32.7,27.1,-8
15,15,1/14/23,C,Abilene Christian,WAC,Tarleton St.,A,"L, 72-63",98.3,104.3,68,92.6,46.5,19.1,28.9,36.8,105.8,50,17.6,24.1,80,33.6,-4
16,16,2/25/23,C,Abilene Christian,WAC,Utah Valley,H,"L, 66-62",98.2,92.1,69.8,88.9,45.9,22.9,25.6,13.1,94.6,53.7,21.5,17.2,18.5,67.5,2
17,17,1/7/23,C,Abilene Christian,WAC,Southern Utah,H,"L, 74-72",98.1,96.3,73.3,98.2,43.7,12.3,17.5,30.2,100.9,60.5,28.6,32,81.4,55.2,2
18,18,12/31/22,C,Abilene Christian,WAC,Tarleton St.,H,"W, 69-63",97.2,89.3,72.3,95.4,48,22.1,27.3,63.3,87.1,47.9,29,16.7,43.8,72.4,3
19,19,11/11/22,N,Abilene Christian,WAC,Texas A&M,A,"L, 77-58",96,99.4,68.7,84.5,46.2,30.6,28.1,23.1,112.1,59.1,27.7,44.4,79.5,40.2,-10
20,20,1/11/23,C,Abilene Christian,WAC,UT Rio Grande Valley,A,"L, 103-86",95.8,120.1,86.3,99.6,43.8,12.7,22.2,37.5,119.3,75,30.1,38.1,104.3,6.9,-11
21,21,11/23/22,N,Abilene Christian,WAC,UC Riverside,N,"L, 76-65",93.6,109,68.8,94.5,42.5,20.4,31,30,110.5,54.8,24.7,39.3,40.4,14.8,-7
22,22,3/3/23,C,Abilene Christian,WAC,Sam Houston St.,A,"L, 72-54",92.9,108.1,65.4,82.5,35.1,13.8,14.3,59.6,110,57.4,19.9,26.5,33.3,14.8,-11
23,23,3/7/23,CT,Abilene Christian,WAC,Cal Baptist,N,"L, 69-62",87.2,99.3,71.6,86.7,41.8,16.8,29.3,13.4,96.4,55.3,22.4,13.3,57.4,18.2,-7
24,24,1/18/23,C,Abilene Christian,WAC,Utah Valley,A,"L, 84-54",84.3,105,74.9,72.1,32.9,12,21.2,20,112.2,58.9,22.7,33.3,24.2,7.4,-12
25,25,11/7/22,N,Abilene Christian,WAC,Jackson St.,H,"W, 65-56",83.1,78.1,75.1,86.6,47.4,20,15.4,35.1,74.6,41.8,28,22.2,25.5,67.1,9
26,26,11/21/22,N,Abilene Christian,WAC,Wright St.,N,"L, 77-61",78.6,101.8,76.4,79.9,49.1,30.1,25,17.2,100.8,65,23.6,4.2,38,4.8,-10
