#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/10/23,C,Air Force,MWC,New Mexico,H,"W, 89-77",132.6,103,68,130.8,74.5,19.1,28.6,30.2,113.2,57.3,17.6,28.1,40,94.8,8
2,2,12/9/22,N,Air Force,MWC,Arkansas St.,H,"W, 80-55",128.4,106.8,57.2,139.8,66.3,8.7,24,25,96.1,45.3,28,47.1,17,89.3,10
3,3,11/21/22,N,Air Force,MWC,USC Upstate,H,"W, 83-56",124.3,95.4,64.5,128.7,60.6,18.6,43.3,51.9,86.9,46.3,14,13.9,27.8,95.5,14
4,4,12/18/22,N,Air Force,MWC,Tarleton St.,H,"W, 81-67",121.6,109.6,65.4,123.8,67,24.4,36.4,34,102.4,45.3,10.7,24.2,50.9,76.8,1
5,5,11/23/22,N,Air Force,MWC,Mississippi Valley S,H,"W, 64-51",118.2,113.9,50.5,126.8,66.3,13.9,29.2,19.6,101,43.8,21.8,46.7,25,60.7,10
6,6,1/10/23,C,Air Force,MWC,Colorado St.,A,"W, 85-74",118.1,100.7,62.6,120.7,56.6,15.6,38.7,31.1,105,46.5,12.8,18.2,43.9,86.3,1
7,7,1/17/23,C,Air Force,MWC,Wyoming,H,"W, 82-74",117.1,113.2,66.6,123.2,62.3,13.5,14.8,35.8,111.2,60.8,16.5,16,33.3,59.7,-1
8,8,1/21/23,C,Air Force,MWC,San Diego St.,H,"L, 70-60",114.6,109.4,59.8,100.3,53.8,10,11.8,19.2,117,42.1,13.4,41.7,40.4,63,-6
9,9,2/21/23,C,Air Force,MWC,Fresno St.,H,"L, 74-69",113,119,63.1,109.3,70.7,33.3,21.1,31.7,117.2,54.7,9.5,20,32.1,35.5,-2
10,10,2/17/23,C,Air Force,MWC,Wyoming,A,"W, 75-69",112.8,101.5,66.1,113.5,64.3,19.7,13,69,104.4,48.1,15.1,24.2,50,77,2
11,11,11/30/22,N,Air Force,MWC,Arkansas Pine Bluff,H,"W, 81-53",112.2,90.3,68,119.2,65,22.1,30.8,44,78,33.9,25,38.6,33.9,92.4,13
12,12,1/27/23,C,Air Force,MWC,New Mexico,A,"L, 81-73",111.9,106.3,67.7,107.8,55.5,17.7,20,27.3,119.6,57.5,14.8,27.6,49.1,64.2,-5
13,13,12/6/22,N,Air Force,MWC,South Dakota,H,"W, 79-58",111.5,94.1,64.3,122.9,59.8,17.1,25.9,43.1,90.2,39.5,15.6,29.7,26.3,87.6,12
14,14,11/11/22,N,Air Force,MWC,Delaware,H,"W, 75-71",109.7,106.1,67.6,111,54.7,19.2,30.3,47.2,105.1,40.4,11.8,29.3,52.6,59.3,7
15,15,12/31/22,C,Air Force,MWC,Nevada,H,"L, 75-69",105.2,111.1,67,103,54.8,19.4,19.4,30.8,112,51,19.4,31,51,34.9,-9
16,16,2/14/23,C,Air Force,MWC,Utah St.,A,"L, 80-65",104.8,105.1,66.9,97.1,50,13.5,9.1,21.8,119.6,55.8,12,25,25,49.1,-9
17,17,3/4/23,C,Air Force,MWC,San Jose St.,H,"L, 63-61",104.1,93.9,61.9,98.5,44.8,14.5,31.6,24.1,101.8,53.8,19.4,26.5,24.5,76.8,10
18,18,3/8/23,CT,Air Force,MWC,UNLV,A,"L, 78-70",103.8,100.1,65.3,95.3,45.6,23.2,28.6,35.1,106.2,50,17.7,28.2,44.1,60.3,-2
19,19,12/28/22,C,Air Force,MWC,San Diego St.,A,"L, 71-55",103.3,106.6,61.5,89.5,51,24.4,22.2,10.2,115.5,60.2,22.8,39.1,36.7,41.1,-11
20,20,1/24/23,C,Air Force,MWC,San Jose St.,A,"L, 82-52",100.6,128.2,57.4,90.5,42.9,12.2,16.7,22.4,142.8,61.9,8.7,42.9,23.7,5.8,-10
21,21,1/3/23,C,Air Force,MWC,Utah St.,H,"L, 77-65",99.8,106.8,66.6,97.6,50.8,18,20,11.7,115.7,57.1,18,33.3,55.1,31.5,-11
22,22,2/3/23,C,Air Force,MWC,Nevada,A,"L, 72-52",98.7,105.4,61,85.3,52.2,23,12.9,26.7,118.1,52.2,11.5,25.9,69.6,32.1,-5
23,23,1/31/23,C,Air Force,MWC,Boise St.,H,"L, 59-52",98.1,96.1,58.5,88.9,43.1,18.8,24.2,19.6,100.8,50,17.1,24.1,17.6,55.8,-3
24,24,2/7/23,C,Air Force,MWC,Colorado St.,H,"L, 69-53",96.5,113.5,56.1,94.5,51,21.4,23.3,14.6,123.1,60.6,14.3,33.3,15.4,13.4,-6
25,25,11/27/22,N,Air Force,MWC,Montana,H,"W, 59-56",95.5,88.6,60.6,97.4,52.3,14.9,10.7,53.5,92.4,48,21.5,27.6,21.6,70.3,5
26,26,12/20/22,N,Air Force,MWC,Northern Colorado,A,"W, 67-65",94.1,91.7,68.5,97.8,48.2,13.1,14.3,38.2,94.9,44,16.1,26.3,32.8,57.4,2
27,27,1/14/23,C,Air Force,MWC,Fresno St.,A,"W, 51-48",91.1,86,57.3,89,39.8,17.5,29.7,16.7,83.8,39.6,19.2,29.4,13.2,65.9,-3
28,28,12/3/22,N,Air Force,MWC,Portland St.,A,"L, 68-64",90.7,95.3,70.5,90.8,45.6,24.1,24.1,75.6,96.5,54.5,19.9,4.3,61.4,36.3,0
29,29,2/24/23,C,Air Force,MWC,UNLV,A,"L, 54-53",87,77.8,65.8,80.6,46.1,24.3,18.8,15.7,82.1,44.3,25.8,25.8,18.9,78.3,1
30,30,11/14/22,N,Air Force,MWC,Texas A&M Commerce,H,"L, 73-69",84.4,101.2,67,91.5,50.9,21.2,18.9,49.1,96.8,49.2,22.5,29.3,36.1,11,-1
31,31,11/17/22,N,Air Force,MWC,Portland,H,"L, 64-51",80.3,92.1,63.8,79.9,42.2,26.6,16.7,35.6,100.3,44.4,15.7,26.5,31.5,17,-2
32,32,11/7/22,N,Air Force,MWC,Bowling Green,A,"L, 62-58",79,90.4,69,84.1,50.9,20.3,9.1,7.3,89.9,44.6,18.9,22.2,33.9,17.4,-3
