#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Alabama A&M,SWAC,Southern,H,"W, 82-61",118.6,98.8,68.1,120.5,71,22,26.3,32,89.6,47.9,25,16.7,38.3,89.1,14
2,2,3/9/23,CT,Alabama A&M,SWAC,Southern,N,"W, 77-63",113.5,100.4,68,113.3,54.3,25,46.4,74.5,92.7,41.5,19.1,27.8,49.1,80.5,10
3,3,2/13/23,C,Alabama A&M,SWAC,Arkansas Pine Bluff,A,"W, 75-72",107.9,114.1,68.8,109.1,52.8,17.4,31.2,52.8,104.7,50,17.4,24.2,58.8,34.6,2
4,4,2/18/23,C,Alabama A&M,SWAC,Bethune Cookman,H,"W, 90-56",107.9,91.2,71.9,125.2,63.6,19.5,33.3,43.6,77.9,33.6,15.3,20.9,41.4,87.3,12
5,5,11/19/22,N,Alabama A&M,SWAC,Norfolk St.,N,"L, 89-83",103.6,117.6,75.6,109.8,50,18.5,41.9,27.9,117.7,61.3,17.2,32.1,64.2,18.9,-6
6,6,3/4/23,C,Alabama A&M,SWAC,Southern,A,"W, 68-65",103.1,102.5,67.4,100.9,68.5,32.6,25,17.4,96.4,44.5,14.8,18.8,34.5,51.7,4
7,7,12/12/22,N,Alabama A&M,SWAC,South Alabama,H,"L, 78-71",102.4,117.3,68,104.4,51.7,11.8,9.4,16.9,114.7,63.8,19.1,26.7,15.5,17.4,-12
8,8,12/22/22,N,Alabama A&M,SWAC,Vanderbilt,A,"L, 70-62",101.6,94.5,64.1,96.7,50,17.2,23.5,15.5,109.2,45.6,18.7,45.9,40.4,69.6,0
9,9,1/23/23,C,Alabama A&M,SWAC,Prairie View A&M,H,"W, 67-59",100.9,92.3,69.5,96.4,54.8,25.9,37.9,36.5,84.9,47.2,27.3,31.2,35.8,73.5,10
10,10,1/4/23,C,Alabama A&M,SWAC,Mississippi Valley S,H,"W, 75-68",100.5,122,66.3,113.1,60.8,22.6,25.9,33.3,102.6,49.1,22.6,40.6,37,9.7,-3
