#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Alabama St.,SWAC,Arkansas Pine Bluff,A,"W, 74-71",111.3,119.9,65.2,113.6,56.1,20,30.8,49,109,49.1,18.4,42.4,41.1,29.7,0
2,2,1/4/23,C,Alabama St.,SWAC,Arkansas Pine Bluff,H,"W, 80-66",106.4,107.1,70.8,113,48.5,14.1,37.5,28.8,93.2,45.9,18.4,24.4,26.2,48,4
3,3,1/9/23,C,Alabama St.,SWAC,Alcorn St.,A,"L, 92-76",105.6,126.6,72.5,104.8,53.4,20.7,12.5,75,126.9,54.5,11,38.9,42.4,11,-5
4,4,2/6/23,C,Alabama St.,SWAC,Southern,H,"W, 73-66",103.2,105.7,69.3,105.3,49.2,18.8,37.8,32.2,95.2,37.9,21.6,46.7,22.9,43.2,4
5,5,1/16/23,C,Alabama St.,SWAC,Alabama A&M,A,"W, 69-61",100.1,100.6,66.6,103.6,52.8,24,38.7,27.8,91.6,38.3,16.5,36.4,29.7,48.5,2
6,6,12/19/22,N,Alabama St.,SWAC,Arkansas St.,A,"L, 72-65",100.1,113.9,64.4,101,45.9,14,18.8,55.1,111.8,50.9,15.5,34.4,42.6,18.4,-1
7,7,11/23/22,N,Alabama St.,SWAC,Duquesne,A,"L, 75-57",97.5,111.2,62.7,91,34.4,20.7,51.1,41,119.7,53.6,17.6,40,39.3,18.1,-6
8,8,11/15/22,N,Alabama St.,SWAC,San Jose St.,A,"L, 70-57",97.3,99.1,63.8,89.4,38.5,7.8,27.3,21.3,109.8,55.9,20.4,46.2,51,44.6,-2
9,9,2/13/23,C,Alabama St.,SWAC,Mississippi Valley S,A,"L, 76-70",96,129.2,67.2,104.2,51.8,16.4,28.6,41.8,113.2,55.7,16.4,26.7,45.3,3.2,-8
10,10,11/7/22,N,Alabama St.,SWAC,UAB,A,"L, 111-70",95.7,117.1,83.5,83.8,37.5,18,29.1,21.1,133,60.2,13.2,32.4,70.3,8.9,-15
11,11,11/26/22,N,Alabama St.,SWAC,Eastern Illinois,N,"W, 67-58",95.1,99.9,65.5,102.3,46.6,21.4,45,35.6,88.6,38.6,19.9,34.1,36.8,36.2,4
12,12,3/4/23,C,Alabama St.,SWAC,Grambling St.,A,"L, 69-49",94.2,109,60.8,80.5,42.6,26.3,33.3,38.3,113.4,50,11.5,33.3,26.8,15.7,-1
13,13,2/20/23,C,Alabama St.,SWAC,Bethune Cookman,H,"L, 70-65",92.4,120.6,63.5,102.4,48.1,18.9,38.9,42.6,110.2,48.3,17.3,45.5,28.3,4.5,-3
14,14,1/2/23,C,Alabama St.,SWAC,Mississippi Valley S,H,"W, 70-61",92.1,96.1,71.3,98.2,43,25.3,37.8,42.1,85.6,40.8,22.5,33.3,25,38,8
15,15,2/4/23,C,Alabama St.,SWAC,Grambling St.,H,"L, 73-60",91.5,113.5,68.1,88.1,40,17.6,21.1,60,107.2,57.8,19.1,22.6,45.1,7.7,-7
16,16,12/21/22,N,Alabama St.,SWAC,Memphis,A,"L, 83-61",91.4,96.6,75.9,80.4,34.7,18.5,35.4,20.8,109.4,59.2,19.8,23.3,26.7,34.6,-10
17,17,1/7/23,C,Alabama St.,SWAC,Jackson St.,A,"L, 61-58",89.8,103.2,62.1,93.4,44.3,17.7,33.3,30.2,98.3,41,14.5,44.1,29.5,16.8,-2
18,18,1/28/23,C,Alabama St.,SWAC,Bethune Cookman,A,"L, 64-62",89.5,110.5,62.9,98.6,47.4,15.9,30.6,22.8,101.8,45.5,20.7,40.6,28.6,8.2,-4
19,19,12/7/22,N,Alabama St.,SWAC,North Alabama,A,"L, 71-63",87.7,102,68.6,91.9,44.4,10.2,12.5,14.3,103.5,49.1,19,33.3,44.6,14.9,-4
20,20,11/20/22,N,Alabama St.,SWAC,Pittsburgh,A,"L, 73-54",86.9,90.8,68.5,78.9,37.7,17.5,26.7,13.8,106.6,50,19,36.8,22.6,37.7,-2
21,21,11/27/22,N,Alabama St.,SWAC,Ohio,A,"L, 72-58",85.8,106,65.1,89.1,41.5,13.8,26.8,9.2,110.7,54.1,16.9,35.3,14.8,8,-12
22,22,11/10/22,N,Alabama St.,SWAC,USC,A,"L, 96-58",85.6,111.2,76.8,75.5,37.1,26,36.2,21.2,125,63.8,22.1,41.2,32.3,4.7,-17
23,23,12/17/22,N,Alabama St.,SWAC,Georgia Tech,A,"L, 96-60",85.3,131,72.7,82.6,37.9,9.6,15.6,22.7,132.1,64,6.9,20.6,19.1,0.7,-22
24,24,1/23/23,C,Alabama St.,SWAC,Texas Southern,H,"L, 71-65",84.1,115.6,71.2,91.2,43.8,19.7,24.3,35.7,99.7,45.9,15.4,26.3,34.4,2.5,-12
25,25,11/13/22,N,Alabama St.,SWAC,Pepperdine,A,"L, 91-62",83.2,120.9,74.3,83.4,37,16.1,25,23.2,122.5,62.7,12.1,26.5,30.2,1.3,-18
26,26,2/25/23,C,Alabama St.,SWAC,Alabama A&M,H,"L, 55-50",82.9,101.3,58.9,84.9,37.5,20.4,44.2,13.3,93.4,44.8,17,20.6,43.8,9.1,-1
27,27,1/21/23,C,Alabama St.,SWAC,Prairie View A&M,H,"W, 56-55",82.8,92.4,60.4,82.5,32.7,26.5,41,53.8,81,29.7,22.1,48.1,29,22.1,-1
28,28,1/30/23,C,Alabama St.,SWAC,Florida A&M,A,"L, 69-58",82.2,116.1,68.5,84.7,38.3,17.5,32.4,30,100.8,50,19,35.7,45.3,1.8,-7
29,29,2/18/23,C,Alabama St.,SWAC,Florida A&M,H,"L, 60-54",76.7,111.2,65.1,82.9,37.5,21.5,38.6,26.7,92.2,46.9,26.1,27.6,32.7,1.4,-7
30,30,3/2/23,C,Alabama St.,SWAC,Southern,A,"L, 66-52",71.3,103,71,73.2,41.3,26.8,28.6,30.8,93,48.1,22.5,25,45.3,1.4,-12
