#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/8/23,C,Albany,AE,UMass Lowell,H,"W, 89-63",133.3,97.6,65.2,136.6,59.1,15.3,46.7,52.7,96.7,46.2,20,28.1,34,97.3,12
2,2,2/25/23,C,Albany,AE,NJIT,H,"W, 82-68",114.3,112,66.2,123.8,51.8,13.6,38.2,49.1,102.7,51.7,13.6,20,22.4,55.8,7
3,3,12/20/22,N,Albany,AE,Northern Illinois,A,"W, 83-78",112.2,106.1,74.5,111.4,56.2,20.1,34.2,26.6,104.7,58.3,21.5,16.7,38.9,65.5,5
4,4,1/5/23,C,Albany,AE,UMBC,A,"L, 92-83",109.7,127.1,71.7,115.8,53.2,18.1,37.1,30.6,128.3,57.9,8.4,26.5,41.3,15.6,-6
5,5,2/15/23,C,Albany,AE,UMBC,H,"W, 81-74",106.3,106.6,70.5,114.9,54,17,34.3,23.8,105,40.7,11.4,23.7,45.8,49.1,4
6,6,1/28/23,C,Albany,AE,Maine,H,"L, 72-68",105.7,119.9,63.2,107.6,59,23.7,26.9,24,113.9,55.5,11.1,17.9,21.8,19,3
7,7,11/29/22,N,Albany,AE,American,A,"L, 88-62",105.6,146.3,59.4,104.4,52,16.8,25.8,30,148.1,79.6,18.5,40,24.5,2.3,-8
8,8,1/11/23,C,Albany,AE,Bryant,A,"L, 86-69",102.9,129.9,66.2,104.2,50,16.6,31.4,19.7,129.9,65.8,18.1,37.9,16.7,6.4,-11
9,9,2/18/23,C,Albany,AE,Maine,A,"L, 74-72",100.7,118.5,67.8,106.1,63,22.1,8.3,20,109.1,53.9,17.7,20,45.1,13.4,-7
10,10,11/12/22,N,Albany,AE,Siena,A,"L, 75-62",100.7,109.4,66.6,93.1,46.3,18,23.5,33.3,112.6,50.9,19.5,42.1,61.1,27.8,2
11,11,2/4/23,C,Albany,AE,Vermont,H,"L, 87-68",98.9,129.4,66.5,102.3,53.9,19.6,14.8,29.4,130.9,72.3,15,17.4,14.3,4.3,-17
12,12,11/17/22,N,Albany,AE,Saint Joseph's,A,"L, 99-79",97.7,133,77.1,102.5,49.2,15.6,25.6,48.3,128.4,67.3,15.6,27.3,78.2,2.8,-22
13,13,11/22/22,N,Albany,AE,Presbyterian,N,"W, 68-65",95.8,110.5,66.8,101.8,50,16.5,34.1,24.6,97.3,43.6,18,27.3,40,16.2,-1
14,14,1/25/23,C,Albany,AE,New Hampshire,A,"L, 84-65",95.6,129.4,68.6,94.8,43.2,16,26.3,32.2,122.5,58.5,11.7,24.1,28.8,3,-10
15,15,2/11/23,C,Albany,AE,Binghamton,A,"L, 80-66",95.2,111.8,63.3,92.7,49,21.1,16.7,44.2,112.4,58.8,16.9,25,38.6,13.6,1
16,16,11/26/22,N,Albany,AE,Florida Atlantic,H,"L, 73-56",95,102.5,65.2,85.9,38.8,13.8,22,25.9,112,55.9,16.9,30.3,18.6,29.5,-6
17,17,1/14/23,C,Albany,AE,NJIT,A,"L, 74-67",93.8,112.8,68.7,97.5,48.3,17.5,23.7,27.6,107.7,49.1,11.6,21.1,48.2,10.8,-3
18,18,11/7/22,N,Albany,AE,Towson,A,"L, 67-62",93.2,98.2,66.3,93.6,45.3,22.6,32.4,34,101.1,46.2,19.6,28.1,39.6,35.4,-6
19,19,11/21/22,N,Albany,AE,Austin Peay,N,"L, 74-59",93.1,121.1,63.4,93.1,46.9,23.7,28.1,43.8,116.7,52,12.6,24.1,55.1,4.6,-1
20,20,12/5/22,N,Albany,AE,Massachusetts,A,"L, 87-73",92.1,116,78.9,92.5,48.4,24.1,31.7,31.7,110.2,55.6,15.2,20.6,41.9,6.6,-13
21,21,2/28/23,C,Albany,AE,Vermont,A,"L, 79-61",90.4,105.3,69.9,87.3,46.4,22.9,15.2,20,113,63.7,17.2,8,31.4,14.7,-10
22,22,12/18/22,N,Albany,AE,Loyola Chicago,A,"L, 68-56",88.9,112.8,61.5,91,39.8,17.9,28.2,33.3,110.5,56.2,21.1,37,41.7,6.1,-9
23,23,12/28/22,N,Albany,AE,Virginia,A,"L, 66-46",87,97.9,61.4,75,36.5,16.3,16.7,21.2,107.6,52.9,13,25,38.5,20.4,-9
24,24,12/10/22,N,Albany,AE,Providence,A,"L, 93-55",84.5,107.5,73.3,75.1,32.8,20.5,29.2,19.4,126.9,58.1,16.4,46.7,41.9,5.9,-13
25,25,12/14/22,N,Albany,AE,LIU Brooklyn,H,"W, 76-59",81.9,96.4,78.4,96.9,50.9,24.2,26.7,45.5,75.2,39.5,23,23.9,33.9,13.2,4
26,26,1/19/23,C,Albany,AE,Binghamton,H,"L, 65-54",81.5,108.1,63.6,84.9,38.6,22,34.2,22.8,102.2,58.1,23.6,14.3,39.5,3.7,-4
27,27,2/8/23,C,Albany,AE,Bryant,H,"L, 87-62",80.3,124.6,72.7,85.3,37.5,16.5,31.8,32.8,119.6,57.6,17.9,29,37.3,0.6,-18
28,28,12/31/22,C,Albany,AE,New Hampshire,H,"L, 67-51",77.8,126.2,60.3,84.5,38,21.5,35.9,33.3,111,53.7,16.6,35.3,27.8,0.4,-16
29,29,2/1/23,C,Albany,AE,UMass Lowell,A,"L, 66-50",73.6,98.9,66.2,75.6,38.9,21.2,17.5,24.1,99.8,46.4,19.7,33.3,26.8,3.3,-15
