#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/21/23,C,Appalachian St.,SB,Old Dominion,A,"W, 72-58",124.3,103.2,58.2,123.6,54.9,12,38.7,49,99.6,40.2,8.6,27,28.6,89.5,6
2,2,2/22/23,C,Appalachian St.,SB,Georgia St.,A,"W, 78-52",123.6,92.9,61,127.8,67.9,16.4,20.8,13.2,85.2,40.4,16.4,30.8,21.1,96.4,13
3,3,2/16/23,C,Appalachian St.,SB,Texas St.,H,"W, 82-75",118.8,113.7,66.9,122.5,59.2,14.9,26.9,63.3,112,49.2,10.5,30.6,20,62.5,4
4,4,12/31/22,C,Appalachian St.,SB,Southern Miss,A,"L, 76-70",111.4,108.9,66.8,104.8,53.7,22.5,24.1,24.1,113.8,55.8,15,28.1,50,56.3,-3
5,5,12/2/22,N,Appalachian St.,SB,Charlotte,A,"L, 71-62",111.2,105.4,61.2,101.2,49.1,16.3,22.6,20.8,115.9,59.3,14.7,22.2,16.7,64.9,7
6,6,1/26/23,C,Appalachian St.,SB,Georgia St.,H,"W, 71-59",111,99.1,62.9,112.9,52.9,19.1,40.6,46.2,93.9,48.2,19.1,27.3,12.3,78.7,11
7,7,2/24/23,C,Appalachian St.,SB,Georgia Southern,A,"L, 73-64",109.7,113.4,63.5,100.7,48.1,15.7,24.2,33.3,114.9,54.5,7.9,18.8,32.7,40.6,2
8,8,1/7/23,C,Appalachian St.,SB,James Madison,A,"W, 71-62",109.1,80.8,71.5,99.3,49.1,22.4,28.6,29.3,86.7,39.3,21,27.5,41.1,96.9,12
9,9,1/19/23,C,Appalachian St.,SB,Coastal Carolina,A,"L, 93-84",109,123.1,65.2,114.6,52.4,16.4,33.3,34.9,126.9,68.5,19.1,32.1,21,19.9,0
10,10,11/19/22,N,Appalachian St.,SB,Kennesaw St.,H,"L, 71-67",106.2,107.1,65.1,102.9,57.8,26.1,24.1,19.6,109,50.9,15.4,33.3,35.1,47.6,0
11,11,11/23/22,N,Appalachian St.,SB,East Tennessee St.,A,"W, 74-70",104.9,106.3,68.7,107.7,50,16,30.6,39.7,101.8,53.8,27.6,37.5,34,46.2,0
12,12,12/14/22,N,Appalachian St.,SB,Wake Forest,A,"L, 67-66",104.2,95,65.2,101.1,57.3,21.5,25,12.7,102.7,47.5,16.9,33.3,21.7,74.3,-1
13,13,3/2/23,CT,Appalachian St.,SB,South Alabama,N,"L, 68-61",102.9,101.9,63.3,96.4,43.9,12.6,29.3,9.1,107.4,56.2,14.2,25.8,17.9,52.8,-2
14,14,11/10/22,N,Appalachian St.,SB,North Carolina Centr,H,"W, 79-74",100.5,101.1,70.3,99.9,50,10.1,14.6,35.9,93.6,46.3,17.7,20.6,19.1,48.3,-1
15,15,11/20/22,N,Appalachian St.,SB,Southeastern Louisia,H,"W, 83-74",99.8,102.3,76,109.2,55.1,18.4,25,42.4,97.4,42.7,10.5,28,20,43,2
16,16,1/12/23,C,Appalachian St.,SB,Georgia Southern,H,"L, 67-65",99.6,104.2,67.1,96.9,44.7,11.9,26.8,16.7,99.9,50,14.9,26.3,6.2,37.2,1
17,17,2/18/23,C,Appalachian St.,SB,Old Dominion,H,"L, 74-63",98.4,112.7,66.2,95.1,43.4,12.1,30.2,32.8,111.8,45.9,16.6,42.1,37.7,17.3,-2
18,18,2/11/23,C,Appalachian St.,SB,South Alabama,A,"L, 74-57",96.7,116.1,61.5,92.7,41,13,30.8,16.4,120.3,64.3,17.9,20,22.4,11,-13
19,19,1/28/23,C,Appalachian St.,SB,Arkansas St.,H,"W, 63-51",96.3,85.5,62.6,100.6,53.2,12.8,11.1,46.8,81.4,43.4,22.4,23.5,15.1,79.7,9
20,20,11/15/22,N,Appalachian St.,SB,Louisville,A,"W, 61-60",95.3,87.8,65.3,93.4,42.1,10.7,23.8,19,91.9,46.7,27.6,31.2,50,71.9,9
21,21,2/2/23,C,Appalachian St.,SB,Marshall,H,"L, 66-58",89.4,95.6,66.4,87.4,44.6,19.6,26.3,23.2,99.5,41.1,15.1,31,29,31.5,-5
22,22,12/29/22,C,Appalachian St.,SB,Marshall,A,"L, 79-53",88.9,104.9,67.1,79,39.6,13.4,12.5,43.4,117.7,57.9,19.4,42.4,14.3,12.9,-7
23,23,2/4/23,C,Appalachian St.,SB,James Madison,H,"L, 63-57",87.6,98,65.6,86.9,44.1,15.2,22.5,23.7,96,45.5,16.8,25.6,28.6,21.7,-6
24,24,2/9/23,C,Appalachian St.,SB,Louisiana Monroe,A,"W, 52-45",87.2,76,61.2,85,45.8,18,11.8,29.2,73.6,29.7,14.7,31.8,23.7,82.8,7
25,25,1/5/23,C,Appalachian St.,SB,Coastal Carolina,H,"W, 63-62",86.6,96.6,65.6,96.1,47,13.7,31,10.6,94.6,46.6,21.4,30.6,13.6,22.2,1
26,26,11/18/22,N,Appalachian St.,SB,Campbell,H,"L, 63-58",84.5,100.6,64.1,90.5,41.5,9.4,22,30.5,98.3,54,14,9.4,32,11.8,-5
27,27,1/14/23,C,Appalachian St.,SB,Troy,H,"W, 58-45",84.3,70.6,68.1,85.2,40.6,19.1,18.9,37.7,66.1,30.8,23.5,31.2,23.3,88.4,4
28,28,11/29/22,N,Appalachian St.,SB,Furman,H,"L, 65-61",82.3,87,71.1,85.8,48,23.9,15.2,35.3,91.4,43.7,15.5,22,19,34.6,-6
29,29,12/21/22,N,Appalachian St.,SB,UC Santa Barbara,N,"L, 61-50",81.4,85.2,64.1,78,42.2,18.7,17.1,27.5,95.1,42.1,21.8,36.8,28.1,37.1,0
