#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/12/23,C,Arizona St.,P12,Oregon,A,"W, 90-73",144,92.8,68.4,131.7,62.7,13.2,34.4,22.2,106.8,49.2,14.6,23.5,28.8,99.4,16
2,2,11/17/22,N,Arizona St.,P12,Michigan,N,"W, 87-62",139.4,87.2,66.5,130.8,70.8,18,26.1,26.4,93.2,37.1,12,32.6,38.7,99.6,15
3,3,2/25/23,C,Arizona St.,P12,Arizona,A,"W, 89-88",127.7,100,75.9,117.2,61.9,14.5,17.6,14.9,115.9,61.3,17.1,24.1,64.2,94.3,-2
4,4,1/5/23,C,Arizona St.,P12,Washington St.,H,"W, 77-71",123.5,99.5,66.7,115.4,59.8,15,21.4,26.8,106.4,51.6,18,33.3,14.3,92.3,6
5,5,3/9/23,CT,Arizona St.,P12,USC,N,"W, 77-72",120.2,90.6,70.8,108.7,50.8,15.5,35,47.5,101.6,49.1,19.8,28.6,43.6,96.3,9
6,6,1/19/23,C,Arizona St.,P12,UCLA,H,"L, 74-62",119.3,103.3,63.8,97.1,54.1,28.2,32.1,24.5,115.9,55.8,20.4,40.7,40.4,84,0
7,7,12/12/22,N,Arizona St.,P12,Creighton,N,"W, 73-71",117.7,93.6,69.1,105.7,50.8,14.5,32.4,23.4,102.8,46,11.6,25,30.6,93.3,1
8,8,11/22/22,N,Arizona St.,P12,Grambling St.,H,"W, 80-49",116.4,80.2,68.6,116.6,55.9,16,31,60.8,71.4,27.3,26.2,45.1,34.4,98.6,13
9,9,11/10/22,N,Arizona St.,P12,Northern Arizona,H,"W, 84-68",114.6,91.5,70.6,119,63.5,22.7,39.3,72.9,96.3,48.2,17,17.1,31.6,93,16
10,10,1/14/23,C,Arizona St.,P12,Oregon St.,A,"W, 74-69",113.4,112.9,65.7,112.6,57.1,19.8,33.3,55.1,105,51.8,24.3,39.4,25,51.3,-3
11,11,12/7/22,N,Arizona St.,P12,SMU,A,"W, 75-57",113.2,97.5,63.6,117.9,51.6,14.2,38.9,22.6,89.6,40.9,18.9,30.8,32.7,84.7,-1
12,12,12/18/22,N,Arizona St.,P12,San Diego,H,"W, 91-67",112.8,95.5,71.1,128,57.6,15.5,39.5,33.3,94.2,47.7,21.1,34.9,15.4,87.1,7
13,13,3/2/23,C,Arizona St.,P12,UCLA,A,"L, 79-61",106.2,95.6,72.2,84.5,49,22.2,15.6,40,109.5,45.2,26.3,52.6,43.5,77,-4
14,14,2/18/23,C,Arizona St.,P12,Utah,H,"W, 67-59",105.8,91.7,66,101.5,46.8,7.6,19.4,15.9,89.4,43.3,25.8,41,18.3,83.8,0
15,15,2/2/23,C,Arizona St.,P12,Oregon St.,H,"W, 68-57",104.9,99.6,63.5,107.1,54.3,18.9,28.1,55.3,89.8,49,25.2,23.3,28.6,64.4,2
16,16,1/8/23,C,Arizona St.,P12,Washington,H,"W, 73-65",104.4,91,72.7,100.4,47.2,15.1,32.6,14.1,89.4,41,17.9,28.3,20.9,82.9,4
17,17,2/9/23,C,Arizona St.,P12,Stanford,A,"W, 69-65",103.6,91.5,66,104.6,49.2,15.2,34.1,15.4,98.5,46.8,22.7,40.5,21,80.6,-4
18,18,1/21/23,C,Arizona St.,P12,USC,H,"L, 77-69",103.1,108.9,68.3,101,42.3,16.1,39.5,29.2,112.7,55.3,26.3,44.8,24.6,34.8,-10
19,19,2/16/23,C,Arizona St.,P12,Colorado,H,"L, 67-59",101.9,97,66.3,89,43.1,12.1,23.8,7.7,101.1,50,22.6,29.4,19.3,63.8,3
20,20,3/4/23,C,Arizona St.,P12,USC,A,"L, 68-65",100.4,93.4,68.3,95.2,33.8,16.1,43.5,43.1,99.6,46.1,22,38.2,58.8,69.6,-5
21,21,11/16/22,N,Arizona St.,P12,VCU,N,"W, 63-59",99.8,88.4,68.3,92.3,40.5,17.6,28.9,36.2,86.4,41.2,23.4,23.5,35.3,80.3,-4
22,22,2/11/23,C,Arizona St.,P12,California,A,"W, 70-62",99.7,96.1,62.5,99.6,37.7,15.7,40,31.9,88.2,41.9,14.2,21.7,27.4,60.2,2
