#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/21/22,N,Arizona,P12,Cincinnati,N,"W, 101-93",142.4,110.6,77,131.2,68.9,13,23.1,41,120.8,59.3,11.7,23.1,21.4,94.8,8
2,2,12/10/22,N,Arizona,P12,Indiana,N,"W, 89-75",137.3,99.3,69.6,127.9,57.1,14.4,43.2,39.7,107.8,49.3,14.4,31.7,13,97.6,9
3,3,1/28/23,C,Arizona,P12,Washington,A,"W, 95-72",136.2,108,70.6,134.5,60.8,12.7,39.4,29.2,101.9,50,17,23.5,17.7,93.5,3
4,4,3/2/23,C,Arizona,P12,USC,A,"W, 87-81",135.8,102.6,70.7,123,61.9,14.1,28.1,35.6,114.5,48.4,17,38.5,34.4,96.2,8
5,5,2/2/23,C,Arizona,P12,Oregon,H,"W, 91-76",134.5,98.9,70.5,129.1,62.1,15.6,34.5,37.9,107.8,48.4,17,30.8,28.6,97.2,11
6,6,11/22/22,N,Arizona,P12,San Diego St.,N,"W, 87-70",131.1,87.2,75.5,115.2,66.4,25.2,32.1,24.1,92.7,40.5,17.2,25.6,38.1,99.1,8
7,7,11/17/22,N,Arizona,P12,Utah Tech,H,"W, 104-77",130.5,93,79.4,130.9,74.5,23.9,30,40,96.9,43.1,15.1,30.6,33.3,98,21
8,8,2/16/23,C,Arizona,P12,Utah,H,"W, 88-62",129.7,87.9,71.7,122.8,63.8,8.4,10.3,15.4,86.5,41.5,16.7,19,27.1,98.9,12
9,9,3/9/23,CT,Arizona,P12,Stanford,N,"W, 95-84",127.7,105.7,73.8,128.7,71.6,14.9,20.8,31,113.8,61.4,23,24.1,29.8,89.8,3
10,10,2/25/23,C,Arizona,P12,Arizona St.,H,"L, 89-88",126.6,115.8,75.9,115.9,61.3,17.1,24.1,64.2,117.2,61.9,14.5,17.6,14.9,73.6,2
