#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/21/23,C,Arkansas,SEC,Georgia,H,"W, 97-65",136.8,96.3,70.1,138.3,73.3,7.1,15.4,37.9,92.7,42.3,18.5,19.4,51.9,98.3,17
2,2,12/10/22,N,Arkansas,SEC,Oklahoma,N,"W, 88-78",136.5,109.9,68.7,128.2,62.7,13.1,28.6,32.2,113.6,63.4,21.8,29.2,16.1,92.4,3
3,3,2/7/23,C,Arkansas,SEC,Kentucky,A,"W, 88-73",132.1,95.4,69.5,126.7,66.7,15.8,26.1,47.1,105.1,50,21.6,41.2,29,97.7,5
4,4,1/14/23,C,Arkansas,SEC,Vanderbilt,A,"L, 97-84",128.4,122.1,68.8,122.2,54.8,16,39.5,38.1,141.1,60.7,13.1,48.4,64.3,64.2,-1
5,5,12/3/22,N,Arkansas,SEC,San Jose St.,H,"W, 99-58",128.3,90.6,71.1,139.2,69.5,15.5,28,35.6,81.6,45.6,25.3,29.7,19.3,98.2,6
6,6,3/9/23,CT,Arkansas,SEC,Auburn,N,"W, 76-73",127.6,97.5,67.4,112.8,59,28.2,50,46,108.3,53.9,14.8,20,52.9,95.7,6
7,7,11/22/22,N,Arkansas,SEC,Creighton,N,"L, 90-87",122.8,106.5,77.9,111.6,52.9,11.5,25,24.3,115.5,65.1,21.8,19.2,54.7,83.8,-4
8,8,2/18/23,C,Arkansas,SEC,Florida,H,"W, 84-65",122.6,92.1,72,116.6,59.3,18,34.6,28.8,90.2,40.7,16.7,20.5,35.6,96.4,8
9,9,1/31/23,C,Arkansas,SEC,Texas A&M,H,"W, 81-70",121.9,89.2,72.3,112,55.4,23.5,37.1,50,96.8,36.8,11.1,47.1,31.6,97.3,6
10,10,2/25/23,C,Arkansas,SEC,Alabama,A,"L, 86-83",121.6,92.7,81.5,101.8,45,13.5,27.7,41.4,105.5,47.7,20.9,36.8,46.9,95.8,0
11,11,12/21/22,N,Arkansas,SEC,UNC Asheville,H,"W, 85-51",120.3,78,69.5,122.3,57.5,14.4,36.7,36.7,73.4,42,28.8,26.5,36,99.3,17
