#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,BYU,WCC,San Francisco,H,"W, 87-61",132.8,95.4,64.2,135.5,59.5,15.6,44.8,34.5,95,41,12.5,17.1,50,97.8,10
2,2,2/2/23,C,BYU,WCC,Loyola Marymount,H,"W, 89-61",129.3,89.3,67.7,131.6,60.6,10.3,33.3,19.7,90.2,45.5,17.7,21.1,26.8,98.6,15
3,3,2/18/23,C,BYU,WCC,Saint Mary's,A,"L, 71-65",122.3,105.1,61.9,105.1,50,17.8,32.4,17.5,114.8,53.8,11.3,25.9,40.4,85.2,-4
4,4,3/6/23,CT,BYU,WCC,Saint Mary's,N,"L, 76-69",120.8,115.9,63,109.5,52.9,14.3,26.7,45.1,120.6,58.5,17.4,37.9,72.3,61.7,-11
5,5,2/11/23,C,BYU,WCC,Gonzaga,A,"L, 88-81",120.4,97.7,72.9,111.1,53.8,16.5,25.7,18.5,120.7,56.4,12.3,25,61.8,91.7,-1
6,6,1/14/23,C,BYU,WCC,Pepperdine,H,"W, 91-81",120,110.7,73.9,123.2,57.9,19,41.9,56.1,109.6,56.7,14.9,15.2,30,71.7,7
7,7,11/25/22,N,BYU,WCC,Dayton,N,"W, 79-75",117.3,106.9,61.5,114.1,55.6,15.9,33.3,25.8,108.3,49.1,18.8,34.2,43.1,74.5,-8
8,8,3/4/23,CT,BYU,WCC,Loyola Marymount,N,"W, 73-63",115.4,95,63.8,114.5,61.9,23.5,26.1,61.9,98.8,45.8,20.4,40.5,21.7,90.4,7
9,9,11/11/22,N,BYU,WCC,San Diego St.,A,"L, 82-75",115.4,92.4,78.6,95.4,53.3,25.4,28.6,26.2,104.3,43.1,12.7,34.1,56.9,92.8,3
10,10,3/3/23,CT,BYU,WCC,Portland,N,"W, 82-71",115.1,107.4,65.8,124.7,54.2,18.2,57.6,41.7,108,49.2,10.6,21.9,23.3,68.9,-2
11,11,12/20/22,N,BYU,WCC,Lindenwood,H,"W, 90-61",111.6,98.2,71.8,125.4,65.1,20.9,35.7,15.9,85,46.8,15.3,16.3,16.1,81.3,12
12,12,12/10/22,N,BYU,WCC,Creighton,N,"W, 83-80",111,88,83.1,99.9,50,24.1,39,34.3,96.3,46.7,15.7,10.5,53.3,93.6,2
13,13,2/4/23,C,BYU,WCC,Pacific,H,"W, 81-66",109.5,93,70.6,114.7,51.6,12.7,34.1,42.9,93.5,44.2,25.5,33.3,46.2,86.7,7
14,14,2/9/23,C,BYU,WCC,Pepperdine,A,"L, 92-80",107.9,116,76.2,105,51.7,17.1,27.3,38.3,120.8,66.4,22.3,29.6,37.9,30.2,-2
15,15,1/28/23,C,BYU,WCC,Saint Mary's,H,"L, 57-56",106.7,93.9,58.3,96.1,48.1,20.6,40,19.2,97.8,49,20.6,25,15.7,81.3,-4
16,16,11/23/22,N,BYU,WCC,USC,N,"L, 82-76",106.2,102.3,75.3,100.9,52.5,22.6,31.6,37.3,108.8,55.2,18.6,28.6,51.7,60.5,-6
17,17,11/19/22,N,BYU,WCC,Nicholls St.,H,"W, 87-73",105.1,105.5,76.9,113.1,54.8,27.3,51.4,43.5,94.9,45,14.3,27.1,27.1,49.1,2
18,18,11/24/22,N,BYU,WCC,Butler,N,"L, 75-70",104.9,111.1,70.9,98.8,44,18.3,43.6,22.4,105.8,59.4,22.6,18.5,30.2,34.3,-4
19,19,12/17/22,N,BYU,WCC,Utah,H,"W, 75-66",104.3,85.5,76.9,97.5,46.8,16.9,22,36.5,85.8,44.1,18.2,17.9,35.6,90.8,4
20,20,12/7/22,N,BYU,WCC,Utah Valley,H,"L, 75-60",103.7,106,66.7,90,39.3,19.5,32.5,41.1,112.5,64.1,25.5,28.6,52.2,43.7,0
21,21,1/12/23,C,BYU,WCC,Gonzaga,H,"L, 75-74",102.8,85.4,74.5,99.4,59.5,22.8,14.3,17.2,100.7,49.3,21.5,40.5,18.8,89.4,-1
22,22,1/21/23,C,BYU,WCC,San Francisco,A,"L, 82-74",101.8,107.9,73.2,101.1,55.5,20.5,19.2,29.1,112,58,23.2,22.2,54,33.9,-9
23,23,1/19/23,C,BYU,WCC,Santa Clara,A,"L, 83-76",100.6,96.9,79.7,95.4,50,23.8,21.2,33.9,104.2,54.2,18.8,21.2,42.4,60.6,-5
