#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/17/23,C,Baylor,B12,Texas Tech,A,"W, 81-74",153.7,116.9,57.8,140,57.8,5.2,37.5,31,127.9,62.3,15.6,36.7,28.3,95.9,7
2,2,2/27/23,C,Baylor,B12,Oklahoma St.,A,"W, 74-68",142.8,102,61.4,120.5,51.8,17.9,41.9,36.4,110.8,46.3,16.3,53.7,13.2,98,10
3,3,2/13/23,C,Baylor,B12,West Virginia,H,"W, 79-67",138.9,101.7,59.9,132,64.7,21.7,42.3,29.4,111.9,51.9,21.7,50,30.2,97.3,6
4,4,11/20/22,N,Baylor,B12,UCLA,N,"W, 80-75",137.1,100.7,68.8,116.3,53.6,16,27.3,41.1,109.1,50.8,11.6,22.9,26.2,97.2,3
5,5,3/9/23,CT,Baylor,B12,Iowa St.,N,"L, 78-72",135.3,117.9,61.9,116.3,58.8,17.8,17.9,25.5,126,55.7,22.6,63.6,23,82.9,-1
6,6,1/7/23,C,Baylor,B12,Kansas St.,H,"L, 97-95",133,117.5,69.8,121,50.8,15.3,40.5,58.5,123.5,61.7,15.3,30,32.8,80.6,-2
7,7,11/18/22,N,Baylor,B12,Virginia,N,"L, 86-79",131,122.1,66.6,118.6,57.8,19.5,38.7,24.1,129.1,65.6,21,32,77.8,69.2,-4
8,8,1/4/23,C,Baylor,B12,TCU,H,"L, 88-87",130.8,110.7,73.8,117.9,54.6,20.3,38.7,61.1,119.2,50.7,9.5,30.6,33.8,87.2,5
9,9,2/18/23,C,Baylor,B12,Kansas,A,"L, 87-71",129.8,112.3,66.7,106.4,52.5,16.5,27,27.1,130.4,56.1,6,26.7,47.4,84.1,0
10,10,1/23/23,C,Baylor,B12,Kansas,H,"W, 75-69",129.5,94.6,66.2,113.2,44.4,13.6,40.5,40.3,104.2,51,22.6,30.8,30.8,97.4,8
11,11,11/7/22,N,Baylor,B12,Mississippi Valley S,H,"W, 117-53",129.3,85.4,79.1,147.9,61.1,11.4,52.4,59.7,67,35.7,31.6,22.5,59.2,99.2,26
12,12,1/14/23,C,Baylor,B12,Oklahoma St.,H,"W, 74-58",129.3,85.3,65.1,113.6,54.6,16.9,33.3,40.7,89.1,44.2,15.4,21.1,13.3,99.2,13
13,13,1/11/23,C,Baylor,B12,West Virginia,A,"W, 83-78",127.7,97.8,70.4,117.9,52.9,14.2,29,69.2,110.8,45,9.9,34.3,55,95.6,3
14,14,2/8/23,C,Baylor,B12,Oklahoma,H,"W, 82-72",125.7,101.5,69,118.8,54.3,10.1,26.5,44.8,104.3,55.9,20.3,26.5,20.3,92.2,4
15,15,2/4/23,C,Baylor,B12,Texas Tech,H,"W, 89-62",125.4,91.6,70.2,126.8,61.5,11.4,27.3,20,88.3,48.2,18.5,10,20,97.4,4
16,16,2/11/23,C,Baylor,B12,TCU,A,"W, 72-68",124.1,99.6,63.9,112.7,55.6,18.8,25,24.1,106.4,54.7,20.3,36.7,30.2,92.6,0
17,17,11/11/22,N,Baylor,B12,Norfolk St.,H,"W, 87-70",120.1,102.1,68.4,127.1,62.3,21.9,42.9,43.9,102.3,56.2,27.8,32.1,43.8,86.6,11
18,18,1/30/23,C,Baylor,B12,Texas,A,"L, 76-71",117.8,99,68.8,103.3,42.6,13.1,32.6,23.5,110.5,54.5,13.1,25,41.8,88.1,-4
19,19,2/25/23,C,Baylor,B12,Texas,H,"W, 81-72",117.8,88.3,75.7,106.9,59,27.7,29.6,58,95.1,53.3,19.8,17.1,20,96.5,3
20,20,1/28/23,N,Baylor,B12,Arkansas,H,"W, 67-64",116.6,95.7,63.3,105.8,39,12.6,37.5,40.7,101.1,54.7,23.7,33.3,20.8,90.7,1
21,21,2/21/23,C,Baylor,B12,Kansas St.,A,"L, 75-65",114.5,104.7,65.3,99.6,50,19.9,31.4,29.1,114.9,51.7,10.7,27.3,36.2,73.8,-4
22,22,11/23/22,N,Baylor,B12,McNeese St.,H,"W, 89-60",112.7,100.9,68.3,130.2,66.7,16.1,34.5,28.3,87.8,47.1,30.7,36.1,30.8,78.1,8
23,23,12/18/22,N,Baylor,B12,Washington St.,N,"W, 65-59",111.6,92.1,61.2,106.3,52,21.3,32.1,32,96.5,50,26.2,39.4,23.1,90.1,1
24,24,12/6/22,N,Baylor,B12,Tarleton St.,H,"W, 80-57",111.6,87.7,70.3,113.8,52.7,27,54.8,51.8,81.1,44.6,25.6,27.3,63,94.1,6
25,25,12/31/22,C,Baylor,B12,Iowa St.,A,"L, 77-62",110.6,101.7,68.2,90.9,42.5,27.9,39.4,43.4,112.9,59.6,22,34.5,38.5,72.3,-2
26,26,11/29/22,N,Baylor,B12,Marquette,A,"L, 96-70",109.3,120.4,69.4,100.8,56.2,28.8,42.9,17.9,138.3,68.3,13,25,25,24.8,-17
27,27,1/21/23,C,Baylor,B12,Oklahoma,A,"W, 62-60",109.3,92.5,61.5,100.8,42.2,17.9,44.7,29.3,97.6,50,21.1,29,7,87.2,-1
28,28,11/14/22,N,Baylor,B12,Northern Colorado,H,"W, 95-62",107.4,81.7,79.6,119.3,60,12.6,25.7,22.9,77.9,46.4,30.1,16.2,25,95.9,13
29,29,12/28/22,N,Baylor,B12,Nicholls St.,H,"W, 85-56",99.3,80.1,79.1,107.4,52.6,22.8,36.1,60.3,70.8,38.7,25.3,25.6,25.8,92.3,11
30,30,3/4/23,C,Baylor,B12,Iowa St.,H,"L, 73-58",98.9,105.4,66.5,87.2,45.3,21.1,21.6,34,109.8,60.4,21.1,30.4,45.8,32.6,-8
31,31,12/2/22,N,Baylor,B12,Gonzaga,N,"W, 64-63",91.6,69.4,74.6,85.8,41.9,18.8,18.4,24.2,84.5,41,24.1,39,34.4,96,3
32,32,12/20/22,N,Baylor,B12,Northwestern St.,H,"W, 58-48",89.7,80,61,95,46.3,21.3,36.4,20.4,78.6,37.5,19.7,31,10,78.9,6
