#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/26/23,C,Bellarmine,ASun,Eastern Kentucky,H,"W, 72-71",121.1,124.2,59.5,121.1,63,15.1,24.1,13,119.4,49.2,8.4,33.3,27.1,42.9,-4
2,2,2/11/23,C,Bellarmine,ASun,Queens,A,"W, 88-84",117.6,117,71.2,123.7,62.9,15.5,25,29.3,118,46.8,9.8,27.5,48.4,51.5,-3
3,3,2/22/23,C,Bellarmine,ASun,Jacksonville,A,"W, 63-61",116.8,121,53.1,118.6,47.2,7.5,34.4,30.2,114.8,61.4,18.8,29.6,31.8,40.2,-4
4,4,1/7/23,C,Bellarmine,ASun,Jacksonville St.,A,"W, 75-62",116.7,110.1,60.8,123.5,67.3,19.8,24,24.5,102.1,59.4,28,29.6,16.7,66,-1
5,5,11/18/22,N,Bellarmine,ASun,Clemson,A,"L, 76-66",116.5,111.4,62.5,105.6,52,17.6,21.4,40.8,121.6,60.6,14.4,21.7,46.8,62.7,-3
6,6,11/21/22,N,Bellarmine,ASun,Duke,A,"L, 74-57",111.4,117.6,57.5,99.1,48.1,12.2,18.8,11.1,128.6,58.2,13.9,36.7,20,34.9,-10
7,7,1/28/23,C,Bellarmine,ASun,Eastern Kentucky,A,"L, 73-63",110.2,115.4,61.4,102.5,50.9,11.4,20,21.4,118.8,56.2,13,30,23.2,37,-2
8,8,11/27/22,N,Bellarmine,ASun,UCLA,A,"L, 81-60",109.1,109.4,66.7,90,52.8,30,29,11.1,121.5,63.7,12,19,43.1,49.3,-11
9,9,1/2/23,C,Bellarmine,ASun,North Alabama,A,"W, 69-65",109,107,60.1,114.8,59.8,13.3,15.4,43.5,108.1,55.9,18.3,22.2,19.6,55.4,2
10,10,11/9/22,N,Bellarmine,ASun,Louisville,A,"W, 67-66",108.4,105.4,61.5,108.9,57,17.9,12,51.2,107.2,52.9,21.1,30.3,26.9,58,6
11,11,2/2/23,C,Bellarmine,ASun,Kennesaw St.,H,"L, 90-84",108.1,108.7,64.6,104,58.9,18.6,6.9,41.1,111.4,50.8,9.9,17.5,50.8,48.6,1
12,12,2/27/23,CT,Bellarmine,ASun,North Florida,N,"W, 76-74",107.7,110.4,64.7,117.6,56,20.1,41.9,25.9,114.5,64.2,20.1,27.6,24.5,43.1,1
13,13,1/5/23,C,Bellarmine,ASun,Queens,H,"L, 75-74",104.5,117.5,65.2,113.5,59.5,13.8,18.5,12.1,115,57.6,21.5,40.5,25.4,20.5,-5
14,14,12/10/22,N,Bellarmine,ASun,Murray St.,H,"W, 69-58",103.8,91.7,63,109.5,50.9,17.5,29,34,92.1,41.7,23.8,33.3,45.8,80.7,8
15,15,2/4/23,C,Bellarmine,ASun,Jacksonville St.,H,"W, 71-64",101.6,99.1,67.6,105,58,25.1,14.8,56.8,94.7,49,22.2,28.1,54.2,57.2,4
16,16,2/24/23,C,Bellarmine,ASun,North Florida,A,"L, 79-67",101.2,115.8,63.3,105.8,61.2,20.5,12.5,18.4,124.8,58.1,17.4,41.9,11.3,17.5,-3
17,17,2/28/23,CT,Bellarmine,ASun,Liberty,A,"L, 76-56",100.4,113.7,61.2,91.4,52,19.6,7.4,12.2,124.1,69,16.3,23.1,28,19.3,-11
18,18,12/29/22,C,Bellarmine,ASun,Liberty,H,"L, 70-53",98.4,115.2,57.3,92.4,53.3,22.7,12,13.3,122.1,65.4,8.7,12,11.5,14.1,-10
19,19,1/19/23,C,Bellarmine,ASun,Austin Peay,A,"W, 56-45",98,82.8,56.3,99.5,46.1,17.8,28.1,21.6,80,42.2,16,6.9,15.6,87.4,10
20,20,1/14/23,C,Bellarmine,ASun,Florida Gulf Coast,H,"W, 61-41",97.9,67.7,61,100,49.1,18,21.9,14.8,67.2,35.9,29.5,27.3,23.9,98.6,14
21,21,12/17/22,N,Bellarmine,ASun,Miami OH,H,"L, 71-67",97.4,111,64.9,103.2,64.6,27.7,11.1,34.1,109.3,52.2,23.1,29,65.2,18.2,0
22,22,12/21/22,N,Bellarmine,ASun,Evansville,A,"L, 73-61",96.2,118.6,65.8,92.8,55.6,25.9,16.7,40,111,52.7,13.7,21.6,38.2,8.2,3
23,23,11/25/22,N,Bellarmine,ASun,Loyola Marymount,A,"L, 80-59",94.5,112.1,66,89.4,48,22.7,25.9,25.5,121.2,56.5,13.6,25,46.3,12.3,-8
24,24,2/19/23,C,Bellarmine,ASun,Central Arkansas,H,"W, 68-67",91.4,105.9,68.2,99.8,52.6,16.1,14.7,21.1,98.3,51.8,23.5,35.5,29.1,15.5,0
25,25,2/9/23,C,Bellarmine,ASun,Liberty,A,"L, 70-50",87.6,109.2,60.4,82.8,40.4,21.5,17.2,27.7,116,58.5,11.6,12,38.3,7.4,-15
26,26,11/12/22,N,Bellarmine,ASun,Morehead St.,A,"L, 62-55",87.6,102.4,62.9,87.4,35.8,9.5,24.4,23.3,98.5,37.3,20.7,41,62.7,14.1,-7
27,27,11/29/22,N,Bellarmine,ASun,Kentucky,A,"L, 60-41",82.8,84,58.5,70,39.1,20.5,9.4,13,102.5,48.1,23.9,41.9,20.8,45.8,-2
28,28,2/16/23,C,Bellarmine,ASun,North Alabama,H,"L, 70-57",82.3,109.4,64.6,88.3,36.8,12.4,23.1,31.6,108.4,56.9,18.6,20.7,31.4,3.7,-7
29,29,1/12/23,C,Bellarmine,ASun,Stetson,H,"L, 80-51",81.4,131.3,57.5,88.6,45.7,15.6,17.9,27.7,139,67.5,15.6,34.5,7,0.4,-18
30,30,1/21/23,C,Bellarmine,ASun,Lipscomb,A,"L, 69-49",75.5,98.6,68.2,71.8,35.9,17.6,25,9.4,101.1,58.7,23.4,28.6,26.9,4.5,-9
