#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,Bethune Cookman,SWAC,Florida A&M,H,"W, 91-70",117.4,118.1,71.9,126.5,71.3,20.9,13,63.8,97.3,45.2,22.2,39.5,71.2,48.3,8
2,2,12/1/22,N,Bethune Cookman,SWAC,Chicago St.,H,"W, 86-73",112.3,111.9,68.9,124.8,50.8,14.5,44.7,41.3,106,46.6,18.9,36.1,37.3,50.8,5
3,3,1/30/23,C,Bethune Cookman,SWAC,Alabama A&M,H,"W, 88-77",108.1,108.1,78.3,112.4,62.5,14,14.3,58.9,98.3,48.4,24.3,35,36.5,50.1,7
4,4,1/7/23,C,Bethune Cookman,SWAC,Grambling St.,A,"L, 76-70",106.7,118.5,67.9,103.1,52,19.1,33.3,46.9,111.9,57.5,20.6,47.4,47.2,23.2,-7
5,5,2/20/23,C,Bethune Cookman,SWAC,Alabama St.,A,"W, 70-65",105.2,114.8,63.5,110.2,48.3,17.3,45.5,28.3,102.4,48.1,18.9,38.9,42.6,26.9,3
6,6,1/2/23,C,Bethune Cookman,SWAC,Florida A&M,A,"W, 67-59",104.2,109.4,62.3,107.6,45.2,11.2,27.5,61.5,94.7,41.5,22.5,37.5,55.3,36.3,4
7,7,3/8/23,CT,Bethune Cookman,SWAC,Grambling St.,N,"L, 87-72",104.2,134,70,102.9,43.5,18.6,41.3,24.6,124.3,59.8,22.9,55.6,41,5.2,-14
8,8,2/11/23,C,Bethune Cookman,SWAC,Alcorn St.,H,"L, 76-74",101.3,112.6,70.2,105.4,55.8,18.5,26.5,20,108.3,44.6,12.8,39.1,16.2,22.9,0
9,9,1/16/23,C,Bethune Cookman,SWAC,Arkansas Pine Bluff,H,"L, 77-71",100.5,126.3,68.1,104.2,50.9,14.7,27,36.2,113,53.6,23.5,43.2,50.9,6.7,-4
10,10,1/14/23,C,Bethune Cookman,SWAC,Mississippi Valley S,H,"W, 77-71",100.4,121.2,68.9,111.8,62.5,18.9,23.3,38.5,103.1,46.5,20.3,44.2,12.7,10.3,-2
11,11,12/22/22,N,Bethune Cookman,SWAC,North Florida,H,"L, 87-85",98,110.6,77.6,109.5,51.5,11.6,20,35.4,112.1,54,11.6,19.4,45.2,20,-4
12,12,12/18/22,N,Bethune Cookman,SWAC,UTSA,A,"L, 90-69",97.8,126.1,70.2,98.2,50,17.1,22.2,21.7,128.1,56,18.5,41.2,48.3,5.1,-7
13,13,1/28/23,C,Bethune Cookman,SWAC,Alabama St.,H,"W, 64-62",96.4,111.3,62.9,101.8,45.5,20.7,40.6,28.6,98.6,47.4,15.9,30.6,22.8,16.2,4
14,14,1/23/23,C,Bethune Cookman,SWAC,Alcorn St.,A,"L, 76-68",96.4,105.6,71.3,95.3,52.8,21,24.1,31.5,106.5,46.2,14,32.4,24.2,25.8,0
15,15,11/27/22,N,Bethune Cookman,SWAC,Northwestern St.,N,"L, 69-66",95.9,106.6,65.4,101,45.6,13.8,27.8,35.1,105.6,46.9,19.9,45,16.9,22.8,-3
16,16,1/9/23,C,Bethune Cookman,SWAC,Southern,A,"L, 102-75",95.6,133.8,80.9,92.7,53.5,27.2,17.6,33.3,126.1,71.8,18.5,17.4,52.7,2,-12
17,17,2/27/23,C,Bethune Cookman,SWAC,Grambling St.,H,"L, 66-54",94.3,113.2,60.7,89,42.9,14.8,27,21.4,108.7,56.7,18.1,30.8,23.1,10.9,-4
18,18,11/26/22,N,Bethune Cookman,SWAC,Idaho St.,N,"W, 68-66",94.2,100.8,60.9,99.2,48.4,13.1,17.6,17.7,96.3,54.5,24.8,29,10.7,31.4,-3
19,19,2/13/23,C,Bethune Cookman,SWAC,Jackson St.,H,"L, 91-64",92.5,138.6,68.2,93.9,40.8,16.1,31.1,40,133.5,74,16.1,20,46,0.9,-10
20,20,2/4/23,C,Bethune Cookman,SWAC,Prairie View A&M,A,"W, 60-58",91.7,87.9,70.3,85.4,39.7,10,14.6,25.4,82.5,34.2,18.5,35.3,40.4,62,5
21,21,12/16/22,N,Bethune Cookman,SWAC,Incarnate Word,A,"L, 77-65",89.6,111.7,71.3,91.1,48.4,29.4,43.2,16.1,107.9,60.2,22.4,21.7,46.9,7.4,-2
22,22,2/25/23,C,Bethune Cookman,SWAC,Southern,H,"W, 60-53",88.9,87.4,66.7,90,42.2,15,21.1,51,79.5,38,25.5,30,35.2,55,5
23,23,2/6/23,C,Bethune Cookman,SWAC,Texas Southern,A,"L, 69-62",88.3,105.7,70.3,88.2,40.4,22.8,30.8,29.8,98.2,47.5,19.9,30.8,33.3,11.2,-5
24,24,11/21/22,N,Bethune Cookman,SWAC,Charleston Southern,A,"L, 78-63",87,118.5,65.6,96,47.3,19.8,31.4,25,118.9,52.4,16.8,39.5,25.4,2.8,-11
25,25,11/10/22,N,Bethune Cookman,SWAC,Indiana,A,"L, 101-49",84.5,120.6,71.3,68.7,42.2,26.6,14.7,25.5,141.6,66.7,18.2,46.2,36.7,1.6,-18
26,26,1/21/23,C,Bethune Cookman,SWAC,Jackson St.,A,"L, 70-66",84,101.6,73.8,89.4,40.2,14.9,26.3,22.7,94.8,45.8,14.9,14.3,30.5,10,-6
27,27,2/18/23,C,Bethune Cookman,SWAC,Alabama A&M,A,"L, 90-56",82,128.6,71.9,77.9,33.6,15.3,20.9,41.4,125.2,63.6,19.5,33.3,43.6,0.6,-12
28,28,11/7/22,N,Bethune Cookman,SWAC,Iowa,A,"L, 89-58",79.5,101.7,74.5,77.9,38.6,21.5,23.3,10.6,119.5,59,14.8,32.4,20.9,5.6,-18
29,29,12/29/22,N,Bethune Cookman,SWAC,Illinois,A,"L, 85-52",73.6,103.9,77.2,67.4,31.9,27.2,28.6,34.5,110.2,55.9,19.4,27.3,45.8,1.8,-21
30,30,12/10/22,N,Bethune Cookman,SWAC,North Florida,A,"L, 88-48",60.6,112.3,74.2,64.7,29.7,18.9,22.9,20.3,118.7,64.2,24.3,32.3,25,0.1,-24
