#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,C,Binghamton,AE,Bryant,H,"W, 84-67",117.3,97.8,69.6,120.8,59.2,18.7,28.6,77.6,96.3,44.3,15.8,33.3,27.9,89,12
2,2,2/15/23,C,Binghamton,AE,NJIT,H,"W, 86-67",116.4,112.4,66.8,128.7,63.3,13.5,33.3,21.7,100.3,40.8,4.5,23.9,33.8,60,6
3,3,11/12/22,N,Binghamton,AE,Marist,A,"W, 78-75",115,113.6,68.7,113.6,54.5,20.4,37.8,44.6,109.2,48.3,13.1,20,34.5,53.4,5
4,4,2/22/23,C,Binghamton,AE,Vermont,A,"L, 81-70",110,110.5,67.2,104.2,53.4,13.4,15.2,13.6,120.6,64.7,13.4,8,39.2,48.6,-3
5,5,11/23/22,N,Binghamton,AE,Columbia,H,"W, 81-79",108.5,131.5,68.5,118.3,55.1,13.1,25.7,33.9,115.4,62,20.4,21.4,44,9.9,-3
6,6,2/18/23,C,Binghamton,AE,UMass Lowell,A,"L, 84-70",106.6,115.4,68.4,102.3,54.9,33.6,48,29.4,122.7,51.8,17.5,46.9,50.9,28.6,-6
7,7,12/31/22,C,Binghamton,AE,Bryant,A,"L, 82-78",106.4,109.5,73.6,105.9,43.1,10.9,29.5,25,111.4,53.8,14.9,20.7,59.6,41.9,1
8,8,1/5/23,C,Binghamton,AE,New Hampshire,H,"W, 68-50",104.7,90.1,62.1,109.5,51.7,14.5,26.5,20.7,80.5,43.6,11.3,11.8,46.8,84.9,8
9,9,3/7/23,CT,Binghamton,AE,Vermont,A,"L, 79-57",102.7,129.1,57.2,99.6,52.1,22.7,28.6,21.3,138.1,64.5,7,29.2,21.8,6.7,-13
10,10,2/8/23,C,Binghamton,AE,New Hampshire,A,"W, 66-64",102.4,108.6,63.5,103.9,51.7,12.6,26.7,13.6,100.7,48,18.9,32.3,57.1,33.7,-1
11,11,1/11/23,C,Binghamton,AE,NJIT,A,"W, 72-71",101,103.4,62.4,102.6,48.4,14.3,28.9,21.9,101.2,49.2,18.5,31.6,22.2,43.2,6
12,12,11/30/22,N,Binghamton,AE,Loyola MD,H,"L, 84-70",100.1,127.7,67.5,103.8,52.5,22.2,38.7,18.6,124.5,65.8,17.8,25.9,21.1,5.7,-1
13,13,1/14/23,C,Binghamton,AE,UMass Lowell,H,"W, 66-65",98.3,97.5,66.2,99.8,48.1,13.6,20,44.2,98.2,36.5,21.2,48.9,38.1,52.4,-2
14,14,12/29/22,N,Binghamton,AE,Cornell,A,"L, 86-70",98.1,115,69.3,101,56.2,28.9,41.4,21.4,124.1,58.6,13,30,39.7,13.9,-8
15,15,3/4/23,CT,Binghamton,AE,UMBC,A,"W, 67-65",95.4,95.6,66.9,100.1,50,16.4,19.4,49,97.1,45.5,10.5,16.2,33.9,49.4,2
16,16,2/11/23,C,Binghamton,AE,Albany,H,"W, 80-66",94.8,106.7,63.3,112.4,58.8,16.9,25,38.6,92.7,49,21.1,16.7,44.2,20.4,-1
17,17,12/21/22,N,Binghamton,AE,Niagara,A,"L, 73-67",93.1,111.9,68.5,97.8,47.4,13.1,23.3,25.9,106.6,59.1,23.4,10,56.8,10.8,-8
18,18,1/25/23,C,Binghamton,AE,Vermont,H,"L, 80-55",92.2,120.5,62.1,88.5,43.5,22.5,32.4,20.4,128.8,60.7,8,26.7,33.9,4.4,-11
19,19,12/3/22,N,Binghamton,AE,Stonehill,H,"L, 69-66",92,118,67.1,98.4,47.6,22.4,34.1,21,102.9,54.2,16.4,13.3,43.8,5.4,-5
20,20,12/7/22,N,Binghamton,AE,Colgate,H,"L, 81-62",91.9,123.5,63.4,97.8,54.2,20.5,24,33.3,127.8,63.6,14.2,25,27.3,3.2,-16
21,21,1/19/23,C,Binghamton,AE,Albany,A,"W, 65-54",91.7,91.4,63.6,102.2,58.1,23.6,14.3,39.5,84.9,38.6,22,34.2,22.8,51.1,4
22,22,12/9/22,N,Binghamton,AE,Fordham,A,"L, 77-62",89.4,103.4,74.3,83.4,40.5,22.9,29.3,39.7,103.6,51.9,22.9,28.6,63.5,15.8,-7
23,23,1/22/23,C,Binghamton,AE,Maine,A,"L, 78-57",85.6,122.1,66.4,85.8,45.8,28.6,27.6,31.2,117.4,54,13.6,32.4,19,1.6,-11
24,24,2/25/23,C,Binghamton,AE,Maine,H,"L, 71-67",85.6,96,68.7,86.7,46.2,20.7,27.5,18.5,91.8,38.6,16.8,31.9,32.9,21.1,5
25,25,11/26/22,N,Binghamton,AE,La Salle,A,"L, 65-62",85.4,92.2,71,87.4,48.9,29.6,24.1,51.1,91.6,45,14.1,23.1,30,29.1,-4
26,26,2/28/23,C,Binghamton,AE,UMBC,H,"L, 70-67",85.1,98.8,64.3,92.6,39.9,13.8,34,13.5,96.7,40.6,8.3,26.1,27.5,15.2,-3
27,27,11/19/22,N,Binghamton,AE,Sacred Heart,H,"L, 75-60",83.5,117.4,68.9,87.1,42.4,23.2,33.3,18.6,108.9,44.2,14.5,43.9,26.1,1.9,-5
28,28,11/15/22,N,Binghamton,AE,Maryland,A,"L, 76-52",81.6,103.6,68.2,76.3,37.7,22,29.5,19.7,111.5,51.6,10.3,30.6,25,6,-18
29,29,2/1/23,C,Binghamton,AE,UMBC,A,"L, 69-55",81.2,106.6,64.2,85.7,41.2,14,20,19.3,107.6,49.1,12.5,23.5,30.4,4.2,-9
