#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/8/23,C,Boston College,ACC,Virginia Tech,A,"W, 82-76",125.5,99.1,68.3,120.1,59.3,16.1,32.3,30.5,111.3,50,7.3,23.1,33.9,93.8,7
2,2,1/21/23,C,Boston College,ACC,Notre Dame,A,"W, 84-72",119.7,104.1,67.8,124,67.6,17.7,18.2,33.3,106.3,54.7,17.7,21.2,41.5,83.3,2
3,3,11/30/22,N,Boston College,ACC,Nebraska,A,"L, 88-67",119.6,131.1,62.8,106.6,51.9,15.9,29,27.8,140,73.1,15.9,29.2,34.6,25.9,-5
4,4,3/7/23,CT,Boston College,ACC,Louisville,N,"W, 80-62",114.9,106.4,63.4,126.2,50.8,6.3,40.5,38.7,97.8,42,14.2,21.2,52,70.7,4
5,5,1/11/23,C,Boston College,ACC,Miami FL,A,"L, 88-72",114.5,115.6,65.7,109.5,54,13.7,31.2,11.1,133.9,71.7,21.3,40,28.3,47.2,-8
6,6,2/22/23,C,Boston College,ACC,Virginia,H,"W, 63-48",112.2,79.3,59.8,105.4,58,21.7,26.9,14,80.3,35.6,15.1,29.3,15.3,98.2,6
7,7,11/18/22,N,Boston College,ACC,George Mason,N,"W, 71-56",111.3,80,68.8,103.2,51.7,18.9,29.4,31,81.4,46.2,23.3,22.2,32.7,97.8,15
8,8,2/28/23,C,Boston College,ACC,Wake Forest,A,"W, 71-69",109.5,95.8,66.7,106.4,58,18,22.2,12.5,103.4,55.7,19.5,21.4,32.1,82.2,0
9,9,12/3/22,C,Boston College,ACC,Duke,A,"L, 75-59",106.5,108.8,62.7,94.1,41.4,14.3,35.9,14.1,119.6,60.4,15.9,26.9,24.5,44,-9
10,10,1/17/23,C,Boston College,ACC,North Carolina,A,"L, 72-64",105.7,102.1,65.9,97.2,48.1,13.7,17.9,25.9,109.3,50.8,18.2,38.9,27.9,59.9,-6
11,11,1/25/23,C,Boston College,ACC,Louisville,H,"W, 75-65",104.9,112,63.9,117.3,56.9,15.6,29.6,41.2,101.7,62.2,29.7,24,12.2,32.2,-3
12,12,3/8/23,CT,Boston College,ACC,North Carolina,N,"L, 85-61",104.3,126.2,63.3,96.4,51.9,20.5,23.3,15.1,134.3,62.9,11.1,34.5,16.1,10,-15
13,13,1/7/23,C,Boston College,ACC,Duke,H,"L, 65-64",104.3,96.4,65.2,98.2,46,13.8,28.9,11.1,99.7,45.3,23,34.4,35.8,71.1,-5
14,14,2/18/23,C,Boston College,ACC,Florida St.,A,"W, 75-69",104,90.1,73.4,102.2,54.8,28.6,30.4,83.3,94,33.1,16.4,32.5,57.6,84,9
15,15,2/4/23,C,Boston College,ACC,Syracuse,H,"L, 77-68",102.7,111.9,65.7,103.6,50,18.3,35.1,6.2,117.3,54.9,15.2,28,47.1,27.2,-2
16,16,1/3/23,C,Boston College,ACC,Notre Dame,H,"W, 70-63",101.6,100.6,63.9,109.6,53.7,14.1,26.7,35.2,98.6,48.3,7.8,15.4,16.7,52.7,-4
17,17,1/28/23,C,Boston College,ACC,Virginia,A,"L, 76-57",100.6,105.1,65.7,86.8,44.9,24.4,20,28.6,115.7,55.9,16.7,32.1,16.9,37.5,-7
18,18,3/4/23,C,Boston College,ACC,Georgia Tech,H,"L, 73-65",99.7,109.6,66.7,97.5,49.1,16.5,17.6,19.3,109.4,50.8,7.5,18.9,21,25.2,-2
19,19,12/21/22,C,Boston College,ACC,Virginia Tech,H,"W, 70-65",98.6,89.1,61.8,100.7,42.4,13,37,16.7,93.5,44.7,21.6,41,13.6,76.1,-1
20,20,12/6/22,N,Boston College,ACC,New Hampshire,H,"L, 74-71",98.5,113.6,62.8,100.5,40.8,14.2,36.2,43.1,104.8,48.4,21.2,41.5,33.9,16.3,-1
21,21,2/11/23,C,Boston College,ACC,North Carolina St.,H,"L, 92-62",95.7,117.4,70.3,88.2,45.9,24.2,32.5,21.3,130.9,66.4,15.7,36.7,7.5,8.7,-11
22,22,1/31/23,C,Boston College,ACC,Clemson,H,"W, 62-54",95.6,80.5,66.3,93.5,43.6,16.6,19.4,30.9,81.4,36.5,25.6,30.6,30.8,87.9,1
23,23,11/21/22,N,Boston College,ACC,Wyoming,N,"W, 59-48",95,79,60.5,97.6,47.9,19.8,18.5,31.9,79.4,44.8,21.5,17.2,16.7,89.4,4
24,24,1/14/23,C,Boston College,ACC,Wake Forest,H,"L, 85-63",94.1,116.3,68.4,92.1,46.4,21.9,25,25.5,124.2,60,11.7,30.3,20,8,-11
25,25,12/31/22,C,Boston College,ACC,Syracuse,A,"L, 79-65",93.3,100.6,72.1,90.2,44.6,23.6,30.6,37.5,109.6,53.2,19.4,32.4,24.2,29.6,-3
26,26,12/10/22,N,Boston College,ACC,Villanova,N,"L, 77-56",91.3,106,65.9,85,46.4,21.2,18.4,16.1,116.9,56.5,10.6,18.8,37,15.3,-9
27,27,11/14/22,N,Boston College,ACC,Maine,H,"L, 69-64",90.9,114.7,66.1,96.9,45.7,9.1,21.6,32.8,104.4,49.1,16.6,26.5,25.9,6.4,-6
28,28,11/7/22,N,Boston College,ACC,Cornell,H,"W, 79-77",90,87.7,83.2,95,50,22.8,34.1,18.1,92.5,56.3,28.8,24.3,17.5,57.1,3
29,29,11/11/22,N,Boston College,ACC,Detroit,H,"W, 70-66",89.6,93.9,69.4,100.9,47.5,18.7,31.7,31.7,95.1,49.2,24.5,31.6,16.7,36.8,-2
30,30,11/20/22,N,Boston College,ACC,Tarleton St.,N,"L, 70-54",87,111.7,63.6,84.9,47.6,31.4,31,63.4,110,55.6,17.3,21.7,55.6,5.3,-11
31,31,2/14/23,C,Boston College,ACC,Pittsburgh,A,"L, 77-58",86.4,93.9,71.7,80.9,41.1,19.5,23.8,14.5,107.5,52.5,22.3,32.4,31.7,27.6,-6
32,32,12/13/22,N,Boston College,ACC,Stonehill,H,"W, 63-56",82.9,84.9,73.3,85.9,47.1,19.1,6.7,36.5,76.4,42.2,23.2,21.6,24.1,43.2,6
33,33,11/27/22,N,Boston College,ACC,Rhode Island,H,"W, 53-49",76.6,79.7,68,77.9,31.2,16.2,28.2,41.1,72.1,33.1,23.5,31.8,28.8,38.6,0
