#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/30/22,N,Butler,BE,Kansas St.,H,"W, 76-64",126.2,88.8,67.3,113,62.7,20.8,25,29.4,95.1,49.2,19.3,26.5,4.8,98.3,10
2,2,1/13/23,C,Butler,BE,Villanova,H,"W, 79-71",123.6,104.8,64.7,122,66.3,17,9.5,45.7,109.7,59.4,23.2,30.8,41.7,86.9,2
3,3,12/3/22,N,Butler,BE,Tennessee Tech,H,"W, 80-66",121.1,114.7,61.2,130.8,59.4,9.8,28.6,39.6,107.9,47.7,9.8,34.2,10.8,65.1,6
4,4,12/10/22,N,Butler,BE,California,A,"W, 82-58",120.1,92.6,68.4,119.9,61.2,13.2,18.5,24.1,84.8,37.3,11.7,22.5,20.6,95.2,12
5,5,11/19/22,N,Butler,BE,The Citadel,H,"W, 89-42",116.8,71.7,68,130.9,69.2,19.1,34.5,16.7,61.8,35.6,25,13.5,17.3,99.6,23
6,6,12/6/22,N,Butler,BE,Yale,H,"W, 71-61",114.4,87.4,66.4,106.9,57,15.1,13.8,40,91.8,46.7,21.1,26.5,8.3,95.7,9
7,7,11/17/22,N,Butler,BE,St. Francis PA,H,"W, 95-67",113.7,106.6,70.9,134,77.8,19.7,29.4,27.8,94.5,51.7,24,28.6,20.3,67.9,7
8,8,11/24/22,N,Butler,BE,BYU,N,"W, 75-70",113.6,94.2,70.9,105.8,59.4,22.6,18.5,30.2,98.8,44,18.3,43.6,22.4,89.7,4
9,9,1/1/23,C,Butler,BE,Georgetown,A,"W, 80-51",112.5,83.1,66.7,119.9,59.7,7.5,18.8,19.4,76.5,32.6,10.5,24.5,18.2,97,8
10,10,1/4/23,C,Butler,BE,DePaul,H,"W, 78-70",110.3,100.9,69.2,112.7,51.9,11.6,24.1,56.6,101.1,50,14.4,18.2,21.7,73.5,4
11,11,2/10/23,C,Butler,BE,Xavier,H,"W, 69-67",107.2,81.7,69.6,99.1,59.8,23,4.2,39.1,96.3,52.7,25.9,33.3,25,95.8,8
12,12,3/4/23,C,Butler,BE,Xavier,A,"L, 78-66",106.9,101.9,66,100,48.2,15.2,16.7,27.3,118.2,57.7,18.2,44.4,51.9,63.5,-6
13,13,2/7/23,C,Butler,BE,St. John's,H,"W, 68-66",103.5,98.4,67.4,100.9,48.2,16.3,25,37.5,97.9,52.5,16.3,20,10.2,64.1,-4
14,14,12/22/22,C,Butler,BE,Creighton,A,"L, 78-56",101.4,100.7,66.4,84.3,43.9,15.1,12.1,12.3,117.4,64,22.6,34.8,40,52,-5
15,15,11/7/22,N,Butler,BE,New Orleans,H,"W, 89-53",99.8,76,79.4,112.1,59.4,18.9,29,32.8,66.8,47.1,37.8,20,15.7,95.9,15
16,16,1/22/23,C,Butler,BE,Connecticut,A,"L, 86-56",96.7,110.7,66.2,84.5,38.5,16.6,11.8,30.8,129.8,53.9,12.1,50,39.1,17.3,-16
17,17,2/19/23,C,Butler,BE,Georgetown,H,"L, 68-62",95.1,102.3,65.7,94.4,47.5,12.2,11.4,10,103.6,43.2,13.7,35.9,37.3,30,3
18,18,11/25/22,N,Butler,BE,North Carolina St.,N,"L, 76-61",94.8,102.2,67.8,90,46.8,20.7,27,6.5,112.2,48.5,7.4,27.8,24.6,29.8,-8
19,19,1/25/23,C,Butler,BE,Providence,A,"L, 79-58",94.3,102.3,66.6,87.1,44.8,15,17.5,20.7,118.6,60.2,19.5,34.6,33.3,28.2,-7
20,20,1/17/23,C,Butler,BE,Creighton,H,"L, 73-52",93.8,102,63.8,81.4,41.4,11,8.1,8.6,114.3,52.3,14.1,38.2,10.9,27.6,-7
21,21,2/28/23,C,Butler,BE,Marquette,H,"L, 72-56",92.9,103,63,88.9,45.1,20.6,22.6,27.5,114.3,62,20.6,29.2,9.3,23.5,-12
22,22,3/8/23,CT,Butler,BE,St. John's,N,"L, 76-63",92.3,105.8,71,88.8,43.8,15.5,19.5,10.8,107.1,47.8,19.7,50,23.2,17.2,-11
23,23,2/14/23,C,Butler,BE,Villanova,A,"L, 62-50",91.6,91,60.2,83.1,42.5,18.3,21.2,13.2,103,42.6,11.6,27,35.2,51.8,-2
24,24,2/22/23,C,Butler,BE,DePaul,A,"W, 59-58",91.5,86.6,64.9,90.9,43,13.9,18.9,24.6,89.3,46.5,16.9,23.1,19.3,65.1,0
25,25,11/14/22,N,Butler,BE,Penn St.,A,"L, 68-62",90.8,87.6,69.5,89.2,38.1,7.2,16.3,17.9,97.8,54.2,15.8,12.1,8.5,60.2,-6
26,26,1/10/23,C,Butler,BE,St. John's,A,"L, 77-61",89.8,98.9,73.9,82.5,48,29.8,19.4,31.4,104.2,59.6,24.4,25,19.3,24.7,-8
27,27,11/23/22,N,Butler,BE,Tennessee,N,"L, 71-45",88,88.4,68.6,65.6,37.2,33.6,25.7,31.9,103.6,52.8,23.3,35.5,38.9,48.5,-3
28,28,1/28/23,C,Butler,BE,Seton Hall,H,"L, 70-49",87.3,117.2,60.5,81,41.2,21.5,28.6,27.5,115.8,53.4,14.9,37.5,15.3,3.3,-15
29,29,1/7/23,C,Butler,BE,Seton Hall,A,"L, 76-51",84.6,106.9,68.7,74.2,30.4,20.4,30.2,42.9,110.6,59.1,17.5,23.3,34.5,6.4,-14
30,30,2/4/23,C,Butler,BE,Marquette,A,"L, 60-52",83.8,81.2,65.7,79.1,46,28.9,19.4,14,91.3,53.1,19.8,10.3,31.2,59,-8
31,31,12/17/22,C,Butler,BE,Connecticut,H,"L, 68-46",81.7,85.7,66.5,69.1,32.4,15,10,24.1,102.2,46.5,18,40.9,5.6,36.7,-6
32,32,12/29/22,C,Butler,BE,Providence,H,"L, 72-52",75.9,101,66.8,77.8,36.8,16.5,25,28.1,107.7,48.3,20.9,42.4,28.3,3.6,-16
