#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/21/23,C,Cal Baptist,WAC,Tarleton St.,H,"W, 77-48",134.7,93,56.2,137.1,66.3,14.2,38.5,23.1,85.5,31.5,7.1,36.2,25.8,98.6,10
2,2,2/15/23,C,Cal Baptist,WAC,Seattle,H,"W, 84-63",130.8,98,67.2,125.1,57,10.4,27.3,18.8,93.8,43.3,11.9,21.4,26.7,96.5,14
3,3,1/14/23,C,Cal Baptist,WAC,Grand Canyon,H,"W, 79-74",120.5,106.1,64.6,122.3,56.9,12.4,27.3,60.8,114.5,50,13.9,34.3,34.5,81.2,7
4,4,11/17/22,N,Cal Baptist,WAC,Washington,A,"W, 73-64",114.6,94.2,67.7,107.8,58.5,16.3,14.8,61.7,94.6,42.9,14.8,30.2,25.4,90.5,4
5,5,1/11/23,C,Cal Baptist,WAC,Utah Valley,H,"L, 71-67",112.6,104.5,65.9,101.6,51.7,15.2,22.9,16.9,107.7,50.9,16.7,27.3,26.3,70.2,3
6,6,3/1/23,C,Cal Baptist,WAC,UT Rio Grande Valley,H,"W, 88-70",112.2,97.2,73.9,119.1,52.3,14.9,36.8,40.6,94.8,42.2,6.8,14.3,37.5,83.9,12
7,7,1/25/23,C,Cal Baptist,WAC,UT Arlington,A,"W, 74-66",111.9,106.7,65.4,113.1,60.5,19.9,24,79.1,100.8,50.8,15.3,26.5,16.9,63.4,1
8,8,1/7/23,C,Cal Baptist,WAC,New Mexico St.,A,"W, 70-61",111.7,96.3,62.6,111.9,53.6,22.4,36.7,25,97.5,46.9,12.8,20.7,41.7,84.7,7
9,9,2/4/23,C,Cal Baptist,WAC,Abilene Christian,H,"L, 87-71",110.9,127.6,65.4,108.6,52.8,19.9,36.4,43.4,133,62.5,16.8,34.6,48.1,16.5,-1
10,10,12/7/22,N,Cal Baptist,WAC,Weber St.,H,"W, 64-52",109.4,90.8,60.2,106.2,50,23.2,44.4,13.6,86.3,41,19.9,24.2,24,89.5,9
11,11,3/3/23,C,Cal Baptist,WAC,Southern Utah,A,"L, 81-71",106.4,115.3,66.8,106.3,49.1,13.5,22.2,33.3,121.3,61.1,13.5,18.5,33.3,28.4,-8
12,12,11/26/22,N,Cal Baptist,WAC,Central Michigan,H,"W, 77-61",103.8,106.9,68.2,112.9,56.8,27.9,48.6,27.1,89.4,43.8,13.2,22.5,12.5,41.8,4
13,13,12/10/22,N,Cal Baptist,WAC,San Diego,A,"W, 76-73",102.9,103.2,67.9,111.8,54.8,16.2,36.1,27.4,107.4,51.9,16.2,25,51.9,49.3,-3
14,14,2/1/23,C,Cal Baptist,WAC,Southern Utah,H,"L, 72-71",101.5,102.4,68.4,103.7,47.9,11.7,34.9,12.9,105.2,54.3,19,26.5,27.6,47.4,-2
15,15,2/26/23,C,Cal Baptist,WAC,Stephen F. Austin,A,"L, 80-58",98.2,118.8,64.3,90.1,40.9,23.3,34.1,34.5,124.3,59.5,12.4,31,24.1,10,-7
16,16,12/31/22,C,Cal Baptist,WAC,Seattle,A,"L, 71-65",97.8,105.6,69.9,93,48.2,17.2,16.7,30.4,101.6,54.4,18.6,19.4,21.1,29.3,-5
17,17,11/23/22,N,Cal Baptist,WAC,Southern Illinois,N,"L, 64-61",97.7,100.5,58.9,92,42.2,13.6,33.3,29.7,96.5,51.9,12.1,6.2,30.8,42,-2
