#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/13/22,N,Cal Poly,BW,Washington,A,"L, 74-68",122.1,112.7,62.3,109.2,49.2,16.1,41,14.3,118.9,52.1,12.8,26.9,62.5,71.6,6
2,2,11/23/22,N,Cal Poly,BW,Idaho,H,"W, 82-71",122.1,122.9,60.8,134.8,63.7,11.5,26.1,39.2,116.7,61,16.4,24,26,48.2,5
3,3,1/16/23,C,Cal Poly,BW,UC Riverside,A,"L, 83-78",116.3,117.1,60.6,114.5,60.5,17.6,17.9,15.8,121.8,56.7,13.2,28.6,31.7,48,-1
4,4,3/7/23,CT,Cal Poly,BW,Long Beach St.,N,"W, 88-68",113,95.6,74.8,117.6,60.2,21.4,34.5,37.3,90.9,41.8,18.7,24.4,58.2,87.2,3
5,5,1/21/23,C,Cal Poly,BW,UC Davis,A,"L, 65-63",107.4,101.5,61.9,101.7,55.7,32.3,48,40.9,105,45.4,21,44.7,51.9,65.5,5
6,6,2/2/23,C,Cal Poly,BW,UC Santa Barbara,A,"L, 68-62",107.4,111.2,57.2,108.3,55.4,21,28,30.4,118.8,65,14,17.4,67.5,40.2,-5
7,7,2/18/23,C,Cal Poly,BW,Cal St. Fullerton,A,"L, 83-62",104,128,64,96.9,43.3,17.2,27.3,44.2,129.7,65.1,15.6,32.1,35.8,8.4,-12
8,8,12/29/22,C,Cal Poly,BW,Cal St. Northridge,H,"W, 67-57",103.8,105.6,60.8,110.2,52.1,18.1,34.5,43.8,93.8,48,18.1,18.8,32,45,5
9,9,12/3/22,N,Cal Poly,BW,Cal Baptist,H,"W, 64-53",99.7,92.9,61.9,103.4,48,14.5,16.1,34,85.6,44.3,24.2,33.3,22.6,69.4,0
10,10,12/10/22,N,Cal Poly,BW,Portland St.,H,"W, 72-49",98.7,84,65.5,109.9,55.7,27.5,46.4,28.3,74.8,38.6,24.4,14.7,52.3,86.6,4
11,11,3/4/23,C,Cal Poly,BW,UC Riverside,H,"L, 73-72",97.3,99.1,64.8,98.7,48.1,17.8,15.6,46.3,100.1,51.7,23.3,35.1,32.2,45,1
12,12,1/19/23,C,Cal Poly,BW,UC San Diego,H,"L, 71-64",96.8,111.7,64.1,99.9,57.7,25,23.1,9.6,110.8,52.5,7.8,16.1,13.3,16.2,-2
13,13,11/20/22,N,Cal Poly,BW,Mount St. Mary's,H,"L, 73-68",96,115.9,68.9,98.7,51,18.9,14.3,47.1,105.9,54,21.8,26.7,44,10.3,-4
14,14,2/15/23,C,Cal Poly,BW,Cal St. Bakersfield,H,"L, 70-62",93.8,116.5,66.2,93.7,46.8,22.7,24.2,53.2,105.8,47.2,12.1,15.6,41.5,7.6,-3
15,15,2/4/23,C,Cal Poly,BW,Hawaii,H,"L, 69-56",92.2,111.5,64.3,87.1,41.5,12.4,6.2,24.5,107.3,47.9,15.6,20,50,10.1,-7
16,16,2/20/23,C,Cal Poly,BW,UC Irvine,H,"L, 59-56",92,89.3,64.3,87.1,38.2,14,22.5,34.5,91.8,45.7,23.3,21.4,38.3,58.4,0
17,17,11/28/22,N,Cal Poly,BW,Pacific,A,"W, 62-58",90.8,88.7,65.1,95.2,47.1,20,25.8,31.4,89.1,50,23,13.3,33.3,56.5,-5
18,18,1/7/23,C,Cal Poly,BW,UC Santa Barbara,H,"L, 62-57",90.5,91.5,63,90.4,48.1,27,33.3,19.2,98.4,55.1,25.4,20,71.8,46.7,1
19,19,2/9/23,C,Cal Poly,BW,UC Irvine,A,"L, 55-54",88,82.5,64.8,83.3,37.5,20.1,25.6,25,84.8,42.7,18.5,14.7,39.6,67.8,-2
20,20,3/9/23,CT,Cal Poly,BW,UC Santa Barbara,N,"L, 64-54",88,90.3,63.7,84.7,41.3,18.8,26.5,30.8,100.4,47.9,12.6,6.9,53.2,42.6,1
21,21,2/11/23,C,Cal Poly,BW,Cal St. Northridge,A,"L, 64-53",87.2,102,63.8,83.1,44.9,18.8,17.6,34.7,100.3,47.9,23.5,29.6,41.7,14.2,5
22,22,1/5/23,C,Cal Poly,BW,Cal St. Bakersfield,A,"L, 61-51",84,111.6,60.3,84.6,37.3,19.9,28.6,31.4,101.1,47.1,11.6,20.6,37.3,3.7,-8
23,23,12/31/22,C,Cal Poly,BW,Hawaii,A,"L, 57-48",81.8,96.6,61.5,78.1,41.8,21.1,23.3,24.5,92.7,38.4,17.9,24,69.8,12.9,-8
24,24,2/25/23,C,Cal Poly,BW,UC Davis,H,"L, 58-52",80.8,85.7,66.8,77.9,40,22.5,20.5,21.8,86.9,40.6,22.5,27.8,56.2,33.8,1
25,25,1/26/23,C,Cal Poly,BW,Long Beach St.,H,"L, 70-52",77.5,101.9,68,76.4,37.1,20.6,29.5,17.7,102.9,46.4,19.1,37.1,49.1,4.1,-9
26,26,12/16/22,N,Cal Poly,BW,Weber St.,H,"L, 74-45",77.4,122.2,62.5,72,38.8,22.4,18.2,22.4,118.5,63.7,19.2,24,23.5,0.5,-12
27,27,12/20/22,N,Cal Poly,BW,San Jose St.,A,"L, 65-43",77,95.2,61.6,69.8,28.8,19.5,24.3,28.8,105.6,50.9,13,27.3,35.8,8,-7
28,28,1/12/23,C,Cal Poly,BW,Long Beach St.,A,"L, 77-58",76.2,99.4,76.7,75.7,39.1,24.8,18.4,40,100.4,52.6,17,18.8,43.9,4.5,-13
29,29,11/18/22,N,Cal Poly,BW,Stanford,A,"L, 80-43",68.1,112.7,64.1,67.1,34.9,25,14.3,41.9,124.8,61,20.3,37.5,20.3,0.3,-23
30,30,11/10/22,N,Cal Poly,BW,San Francisco,A,"L, 60-48",67.8,70.8,76.6,62.6,40.2,31.3,11.8,43.5,78.3,37.7,24.8,19.5,54.7,37.8,-2
31,31,1/28/23,C,Cal Poly,BW,Cal St. Fullerton,H,"L, 65-36",67.3,114,57.1,63,33.3,24.5,25,16.7,113.8,61,24.5,30.8,53.7,0.2,-16
