#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,C,Cal St. Bakersfield,BW,Hawaii,A,"L, 72-69",116.2,127.1,60.6,113.8,49,11.5,25,44,118.8,55.7,19.8,37.5,65.9,26.3,-10
2,2,2/9/23,C,Cal St. Bakersfield,BW,Cal St. Northridge,H,"W, 73-58",114.7,99.6,62.4,117.1,57,12.8,21.4,14,93,47.6,17.6,7.1,54.8,83.5,14
3,3,2/2/23,C,Cal St. Bakersfield,BW,UC Riverside,H,"W, 82-76",112.1,110.7,62.3,117.1,60,17.1,16.7,73.3,108.5,55.2,17.1,33.3,41.4,53.6,-1
4,4,12/31/22,C,Cal St. Bakersfield,BW,UC Irvine,H,"L, 79-75",111.3,107,71.5,104.9,44.9,11.2,21.1,45.8,110.5,61.2,18.2,20,127.5,61,2
5,5,2/15/23,C,Cal St. Bakersfield,BW,Cal Poly,A,"W, 70-62",106.8,105,66.2,105.8,47.2,12.1,15.6,41.5,93.7,46.8,22.7,24.2,53.2,54.8,3
6,6,11/22/22,N,Cal St. Bakersfield,BW,Texas A&M Corpus Chr,N,"W, 73-63",106.7,88.2,68.3,106.9,60.5,20.5,27.3,24.6,92.2,37.9,16.1,34.1,33.9,89.9,10
7,7,2/25/23,C,Cal St. Bakersfield,BW,Cal St. Fullerton,H,"L, 70-66",105.3,106.3,58.8,99.8,54.5,27.2,35.7,10.9,105.9,51,18.1,25.7,46.2,47.3,-1
8,8,2/4/23,C,Cal St. Bakersfield,BW,UC San Diego,A,"W, 75-69",102.5,101.7,61.9,107.6,59.8,20.1,17.9,60.9,99,48.2,17.2,15.2,30.4,52.5,-2
9,9,1/5/23,C,Cal St. Bakersfield,BW,Cal Poly,H,"W, 61-51",102.3,94.1,60.3,101.1,47.1,11.6,20.6,37.3,84.6,37.3,19.9,28.6,31.4,72.4,8
10,10,11/23/22,N,Cal St. Bakersfield,BW,UTEP,A,"L, 68-67",102.3,107.9,59.8,99.6,42.2,25.3,51.2,25,101.1,52.8,20.8,30.3,39.6,35.1,-5
11,11,2/23/23,C,Cal St. Bakersfield,BW,Cal St. Northridge,A,"L, 75-68",99.5,120.3,67.2,101.2,36.8,8.9,24.4,57.9,111.6,61.8,29.8,33.3,81.6,10.1,-3
12,12,1/26/23,C,Cal St. Bakersfield,BW,UC Davis,H,"L, 79-58",98.3,133,60,96.7,51.1,18.3,21.7,34.8,131.8,74.4,21.7,36.8,68.3,3,-11
13,13,12/29/22,C,Cal St. Bakersfield,BW,UC Riverside,A,"L, 71-59",97.9,101.8,64.3,91.8,37.5,15.6,34.1,17.2,110.4,50,24.9,50,50,38.8,1
14,14,12/17/22,N,Cal St. Bakersfield,BW,Abilene Christian,H,"L, 65-59",96.3,99.3,62.5,94.4,46.9,24,32.1,32.7,104,51,16,20.6,44.9,41.1,8
15,15,2/20/23,C,Cal St. Bakersfield,BW,Hawaii,H,"L, 61-50",93.1,106.1,58.4,85.7,38.2,25.7,42.4,25.5,104.5,49,20.6,35.5,36.7,18.2,-3
