#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Cal St. Fullerton,BW,Cal Poly,H,"W, 83-62",129.1,110,64,129.7,65.1,15.6,32.1,35.8,96.9,43.3,17.2,27.3,44.2,86.4,12
2,2,3/10/23,CT,Cal St. Fullerton,BW,UC Irvine,N,"W, 83-80",126.8,110.3,69.8,118.9,61.5,20.1,27.6,50,114.6,61,20.1,27.6,56,83.3,4
3,3,2/20/23,C,Cal St. Fullerton,BW,UC Santa Barbara,A,"W, 74-60",123.1,92.3,60.2,122.8,51.8,5,25,38.2,99.6,48,11.6,15.6,40.8,96.5,9
4,4,1/5/23,C,Cal St. Fullerton,BW,UC Riverside,A,"W, 77-62",116.4,88.8,67.1,114.8,71.4,25.3,9.5,52.4,92.4,44.2,28.3,46.2,20,95.8,11
5,5,1/28/23,C,Cal St. Fullerton,BW,Cal Poly,A,"W, 65-36",115,71.1,57.1,113.8,61,24.5,30.8,53.7,63,33.3,24.5,25,16.7,99.6,16
6,6,2/15/23,C,Cal St. Fullerton,BW,UC San Diego,A,"W, 76-73",111.7,114.7,65.1,116.8,57.5,10.8,19.4,45.3,112.2,61.5,16.9,15.4,23.1,42.3,-4
7,7,11/18/22,N,Cal St. Fullerton,BW,Pacific,A,"W, 94-91",108.8,104.1,67.7,111.1,50,15.4,42.9,56.2,107.5,48.6,14.2,28.3,40.3,62.4,-1
8,8,11/13/22,N,Cal St. Fullerton,BW,Vermont,H,"W, 94-85",108.5,99.9,67.5,111.4,55,9.5,15.8,70,100.7,50,11.8,9.3,36.2,71.9,-2
9,9,1/7/23,C,Cal St. Fullerton,BW,Hawaii,H,"W, 79-72",107.7,97.3,68.6,102.4,42.6,14.3,25.7,75.9,93.3,45.8,28.5,36.6,45.8,76.1,5
10,10,11/30/22,N,Cal St. Fullerton,BW,Seattle,A,"L, 69-62",107.2,105.5,64.4,96.2,47.2,18.6,30.6,39.6,107.1,47.4,14,36.4,40.4,54.7,5
11,11,1/11/23,C,Cal St. Fullerton,BW,UC Irvine,A,"L, 70-65",106.9,98.8,66.6,97.6,51.8,27,33.3,23.6,105.1,50,19.5,40,37.5,71,1
12,12,2/25/23,C,Cal St. Fullerton,BW,Cal St. Bakersfield,A,"W, 70-66",105.8,109.9,58.8,105.9,51,18.1,25.7,46.2,99.8,54.5,27.2,35.7,10.9,39.4,1
13,13,11/11/22,N,Cal St. Fullerton,BW,Pepperdine,H,"W, 74-71",105.2,106,68.1,108.7,44.1,11.7,37.2,25,104.3,53.6,25,39.3,27.3,47.7,1
14,14,1/14/23,C,Cal St. Fullerton,BW,UC Davis,A,"L, 83-79",104.4,106.8,77.5,102,47.4,23.2,36.8,59.6,107.1,50.8,20.6,32.4,44.3,43.3,-3
15,15,1/16/23,C,Cal St. Fullerton,BW,Cal St. Bakersfield,H,"W, 76-46",103.3,81.7,68.5,110.9,60.2,13.1,15.6,15.3,67.1,39.8,35,25.8,20.4,93.6,9
