#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Cal St. Northridge,BW,UC Santa Barbara,H,"W, 72-67",109.5,104.3,62.7,114.9,53,17.6,28.6,40,106.9,37.5,11.2,44.7,42.2,63.6,0
2,2,2/23/23,C,Cal St. Northridge,BW,Cal St. Bakersfield,H,"W, 75-68",109.1,113.9,67.2,111.6,61.8,29.8,33.3,81.6,101.2,36.8,8.9,24.4,57.9,37.7,3
3,3,12/19/22,N,Cal St. Northridge,BW,Idaho,H,"L, 76-73",107.5,123,63.3,115.4,56.4,20.5,41.4,25.5,120.1,53,12.6,21.4,50,17.4,3
4,4,2/25/23,C,Cal St. Northridge,BW,Long Beach St.,A,"L, 71-64",104.6,111.7,62.4,102.6,51.8,22.4,36.4,15.8,113.9,63.6,22.4,33.3,50,31.9,-5
5,5,11/21/22,N,Cal St. Northridge,BW,Tennessee St.,N,"L, 74-73",103.7,118.9,65.9,110.8,50,15.2,29,61.2,112.3,54.4,12.1,19.4,35.1,17.3,-4
6,6,1/5/23,C,Cal St. Northridge,BW,Long Beach St.,H,"L, 84-74",103,124.8,69.4,106.6,46.8,14.4,32.5,35.5,121,52.3,17.3,50,40.6,9.9,-11
7,7,1/21/23,C,Cal St. Northridge,BW,Cal St. Fullerton,H,"W, 69-66",102.7,96.7,61.9,99,52.8,18.7,20.6,35.8,94.7,48,21.5,22.2,54.9,66.7,1
8,8,12/22/22,N,Cal St. Northridge,BW,San Diego,H,"W, 83-78",102.5,99.3,74.9,110.8,54.6,25.4,40.6,57.4,104.1,46.2,22.7,33.3,64.2,59,5
9,9,2/20/23,C,Cal St. Northridge,BW,UC Riverside,H,"L, 96-76",101.6,129.5,73.6,103.2,52.8,23.1,33.3,56.6,130.4,65.6,14.9,36.4,29.7,5.8,-11
10,10,12/7/22,N,Cal St. Northridge,BW,Fresno St.,A,"L, 65-56",98.4,101.1,62.1,90.2,47.1,24.2,29.4,21.2,104.7,53.3,20.9,25,51.1,42.4,-1
11,11,12/29/22,C,Cal St. Northridge,BW,Cal Poly,A,"L, 67-57",97,120.5,60.8,93.8,48,18.1,18.8,32,110.2,52.1,18.1,34.5,43.8,7.6,-5
12,12,1/14/23,C,Cal St. Northridge,BW,UC Irvine,H,"L, 71-57",95.1,108.9,63.5,89.8,40.2,20.5,25,58.7,111.9,57.5,14.2,17.9,28.3,17.2,-6
13,13,1/11/23,C,Cal St. Northridge,BW,UC Davis,H,"L, 62-54",94.3,100.7,60.1,89.8,47,24.9,29,20,103.1,46.1,31.6,57.1,39.2,32,2
14,14,11/23/22,N,Cal St. Northridge,BW,Central Michigan,N,"L, 82-66",94.1,128,70.2,94,38.3,15.7,29.3,36.7,116.8,60.4,17.1,16.7,39.6,2.8,-4
15,15,2/11/23,C,Cal St. Northridge,BW,Cal Poly,H,"W, 64-53",93.7,101.3,63.8,100.3,47.9,23.5,29.6,41.7,83.1,44.9,18.8,17.6,34.7,29,-5
16,16,2/15/23,C,Cal St. Northridge,BW,UC Davis,A,"L, 73-62",93.2,104.2,69,89.9,44,18.8,26.8,31,105.8,50.9,20.3,34.3,38.6,21.7,-5
17,17,1/19/23,C,Cal St. Northridge,BW,UC Santa Barbara,A,"L, 72-52",92.2,108.1,59.4,87.5,37,20.2,32.4,27.8,121.1,63.3,20.2,36.4,20.4,13.8,-6
18,18,2/18/23,C,Cal St. Northridge,BW,UC San Diego,A,"L, 75-62",90.8,108.8,67.9,91.3,39.8,16.2,25.6,51.9,110.5,51.9,13.3,19.4,40.7,11.1,-6
19,19,3/2/23,C,Cal St. Northridge,BW,Hawaii,H,"L, 81-55",90.7,117.3,68.5,80.3,42.9,17.5,11.1,44.9,118.3,50.8,11.7,27.8,32.3,4.9,-6
20,20,11/15/22,N,Cal St. Northridge,BW,Cal Baptist,A,"L, 62-55",90.6,91.6,65.4,84.1,44.5,21.4,21.2,14.5,94.8,41.1,12.2,30.4,30.6,46.9,1
