#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/6/23,C,California,P12,Stanford,H,"W, 92-70",147.8,112.6,59.9,153.6,74.1,16.7,45.8,29.6,116.8,56.2,16.7,38.7,19.6,95.8,7
2,2,12/31/22,C,California,P12,Colorado,H,"W, 80-76",127.9,101,71.6,111.8,65,29.3,41.7,40,106.2,50.8,12.6,25.7,21.2,93.8,11
3,3,12/21/22,N,California,P12,UT Arlington,H,"W, 73-51",114.3,91.8,61.2,119.3,59.8,16.3,25,54.3,83.3,37,19.6,27,36,92.6,9
4,4,1/14/23,C,California,P12,Washington,A,"L, 81-78",113,104.1,67,103.4,46.5,11.9,31.8,29.6,107.4,56.4,19.9,26.7,49.1,72.1,3
5,5,12/4/22,C,California,P12,Arizona,A,"L, 81-68",111.3,104.9,66.6,102.1,47.6,13.5,23.5,12.7,121.7,52.5,7.5,32.4,44.1,66.2,-9
6,6,3/4/23,C,California,P12,Oregon St.,A,"L, 69-66",108.6,108.1,64.8,101.8,51,20.1,27.6,52.1,106.4,47.9,17,28,61.7,51.3,5
7,7,1/18/23,C,California,P12,Oregon,H,"L, 87-58",105.1,127.4,60.6,95.7,43.6,14.8,23.5,20,143.5,68.3,8.2,28.6,36.5,9.9,-10
8,8,11/26/22,N,California,P12,Clemson,N,"L, 67-59",104,108.6,59.3,99.6,42.7,18.6,25,41.7,113.1,61.6,13.5,15,44.2,37.8,-8
9,9,2/11/23,C,California,P12,Arizona St.,H,"L, 70-62",97.4,97.6,62.5,88.2,41.9,14.2,21.7,27.4,99.6,37.7,15.7,40,31.9,49.5,-2
10,10,2/16/23,C,California,P12,USC,A,"L, 97-60",96.7,125.1,69.5,86.4,39.8,21.6,36.6,32.2,139.6,69.6,10.1,12.5,41.1,5,-18
11,11,11/18/22,N,California,P12,Southern,H,"L, 74-66",96.3,130,65,101.5,53.4,30.8,33.3,52.3,113.8,61.2,20,22.2,34.7,3.1,-10
12,12,12/18/22,N,California,P12,Santa Clara,A,"L, 71-62",96.1,96.2,68.4,90.7,51,24.9,20.7,32.7,103.9,54.4,26.3,41.9,26.3,49.8,-5
13,13,3/2/23,C,California,P12,Oregon,A,"L, 84-51",95,116,61.9,82.4,37,14.5,16.7,25.9,135.7,61.3,11.3,50,21,9.1,-10
