#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/2/23,C,Central Arkansas,ASun,Florida Gulf Coast,A,"W, 91-87",121,120.3,73.4,123.9,63.3,13.6,19.4,20.3,118.5,53.4,9.5,29.5,16.4,51.8,-3
2,2,1/12/23,C,Central Arkansas,ASun,Queens,A,"W, 92-91",112.7,110.2,79.7,115.5,57.3,15.1,17.1,38.7,114.2,55.2,16.3,27,31.3,56.2,2
3,3,11/19/22,N,Central Arkansas,ASun,Rider,N,"W, 90-85",112.5,111.1,76.5,117.6,63.2,19.6,27.6,60.4,111.1,52.5,24.8,41.9,41.7,53.6,2
4,4,2/9/23,C,Central Arkansas,ASun,Lipscomb,H,"L, 93-81",108.9,120.2,76.7,105.7,45.9,9.1,24.4,17.6,121.3,60.6,13,20.7,22.7,24.3,-1
5,5,2/11/23,C,Central Arkansas,ASun,Austin Peay,H,"W, 76-69",108.4,113.2,66.2,114.8,50.8,13.6,36.1,39,104.2,43.3,19.6,42.1,33.3,37.7,7
6,6,2/4/23,C,Central Arkansas,ASun,Stetson,A,"L, 99-80",108,128.4,70.4,113.6,53.2,8.5,17.6,27.4,140.6,66.4,18.5,46.7,14.9,12,-10
7,7,11/27/22,N,Central Arkansas,ASun,Idaho St.,H,"W, 81-77",108,110.6,72,112.5,54.9,15.3,34.2,7,106.9,54,15.3,23.5,22.2,43,3
8,8,11/30/22,N,Central Arkansas,ASun,Loyola Chicago,A,"L, 85-70",105.4,129,66.1,105.9,54.5,18.1,25.7,23.2,128.5,65.5,16.6,26.9,30.9,8.9,-8
9,9,12/17/22,N,Central Arkansas,ASun,Oklahoma,A,"L, 87-66",103,119.7,69,95.6,54.5,18.8,10,10.7,126,71.8,15.9,9.1,20,15,-15
10,10,1/14/23,C,Central Arkansas,ASun,Liberty,A,"L, 82-62",102.2,111.9,66.9,92.7,48.2,22.4,30.6,21.1,122.5,57.3,12,27.8,24.2,26,-10
11,11,12/10/22,N,Central Arkansas,ASun,Oral Roberts,A,"L, 111-78",100.6,116.5,84.2,92.7,45.5,19,27.7,9,131.9,71.9,19,22.2,32.8,15.6,-13
12,12,12/6/22,N,Central Arkansas,ASun,Arkansas St.,H,"W, 72-67",98.7,110.4,66.8,107.7,50,18,28.1,34.5,100.2,50.8,15,29.7,23,21.6,-4
13,13,1/5/23,C,Central Arkansas,ASun,Eastern Kentucky,H,"L, 77-75",97.2,109.4,75,100,53.7,21.3,28.9,11.9,102.6,53.7,24,43.2,13.2,20.5,-8
14,14,1/28/23,C,Central Arkansas,ASun,Jacksonville,H,"L, 74-64",96.2,119.5,65.4,97.9,46.3,12.2,14.3,31.5,113.2,57.3,15.3,18.5,21.8,7.7,-6
15,15,2/19/23,C,Central Arkansas,ASun,Bellarmine,A,"L, 68-67",95.5,100.7,68.2,98.3,51.8,23.5,35.5,29.1,99.8,52.6,16.1,14.7,21.1,35,0
16,16,1/18/23,C,Central Arkansas,ASun,North Alabama,H,"L, 78-73",95.3,105.8,72.9,100.1,43.8,11,23.9,35.4,107,52.6,17.8,29.4,43.1,23.1,2
17,17,1/26/23,C,Central Arkansas,ASun,North Florida,H,"W, 88-85",95.1,102.4,73.2,106.8,43.4,12.1,39.6,25.3,103.2,47.8,21.8,36.6,40.3,29.9,-4
18,18,1/7/23,C,Central Arkansas,ASun,Austin Peay,A,"L, 86-62",94.9,138,65,95.3,47.8,24.6,22.2,48.9,132.3,62.9,15.4,39.3,27.6,1.3,-9
19,19,2/22/23,C,Central Arkansas,ASun,Jacksonville St.,H,"L, 101-71",94,132.4,76.9,92.4,44,18.2,20.9,22.4,131.4,73.4,16.9,25.8,25.8,1.9,-11
20,20,1/21/23,C,Central Arkansas,ASun,North Alabama,A,"L, 82-66",92.2,112.5,70.2,94,40.8,12.8,25,38.3,116.7,62.9,18.5,26.5,31,9.2,-5
21,21,11/14/22,N,Central Arkansas,ASun,Little Rock,H,"W, 82-71",91.9,92.3,80.1,102.4,52.2,25,39.5,17.4,88.6,42.6,21.2,32.6,29.4,48.7,7
22,22,11/18/22,N,Central Arkansas,ASun,Niagara,N,"L, 73-64",91.1,112.4,67.6,94.7,41.4,17.8,34.1,25,108,56.6,16.3,22.2,34,8.2,-6
23,23,1/2/23,C,Central Arkansas,ASun,Florida Gulf Coast,H,"L, 84-79",91.1,100.1,75.5,93,48.6,18.8,22.7,30.4,98.9,51.5,18.8,22.7,33.8,25.2,-1
24,24,12/28/22,N,Central Arkansas,ASun,TCU,A,"L, 103-57",90,115.4,77.7,73.3,34.8,23.2,32.1,23.2,132.5,56.8,9,38.9,34.2,5.4,-16
25,25,12/31/22,C,Central Arkansas,ASun,Kennesaw St.,A,"L, 82-66",89.5,101.6,77.7,84.9,40,27,37.2,26.2,105.5,53.2,16.7,25,38.1,18.9,-8
26,26,12/20/22,N,Central Arkansas,ASun,Little Rock,A,"L, 75-66",86.2,104.5,71.7,92,43.4,16.7,22.5,27.9,104.5,44.4,16.7,35.7,38.1,9.9,-2
27,27,2/24/23,C,Central Arkansas,ASun,Kennesaw St.,H,"L, 72-56",83.6,103.5,68.8,81.4,39.3,17.4,22.5,13.1,104.7,48.6,16,35,11.6,7.9,-9
28,28,11/26/22,N,Central Arkansas,ASun,Northwestern St.,H,"L, 74-66",82.3,94.8,68.9,85.1,38.7,20.6,35.3,17.3,95.5,39.9,10.3,34,33.8,16.5,-2
29,29,11/7/22,N,Central Arkansas,ASun,Wichita St.,A,"L, 79-55",78.2,99.9,75.1,73.3,32.9,18.6,30.8,12.3,105.2,48.4,13.3,29.7,39.1,5.6,-15
30,30,2/16/23,C,Central Arkansas,ASun,Eastern Kentucky,A,"L, 74-58",77.6,93.9,78.3,74.1,39.4,29.4,35.7,12.1,94.5,42.1,19.2,38.8,38.6,10.1,-9
