#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/31/23,C,Central Michigan,MAC,Kent St.,A,"L, 81-69",126.4,123,61.4,112.4,53.6,17.9,42.4,30.4,132,53.6,8.1,42.9,58.9,57.9,-2
2,2,11/23/22,N,Central Michigan,MAC,Cal St. Northridge,N,"W, 82-66",109,107.3,70.2,116.8,60.4,17.1,16.7,39.6,94,38.3,15.7,29.3,36.7,54.4,4
3,3,12/29/22,N,Central Michigan,MAC,Michigan,A,"W, 63-61",104.1,88.7,64.4,97.8,45.3,21.7,44.7,9.4,94.7,40.4,14,28.9,36.8,86.2,-2
4,4,2/14/23,C,Central Michigan,MAC,Bowling Green,A,"W, 77-74",102.3,105.2,70.7,108.9,61.3,22.6,20.7,32.1,104.6,51.8,17,30.6,45.6,42.1,1
5,5,1/14/23,C,Central Michigan,MAC,Buffalo,H,"W, 87-78",99.9,96.5,74.7,103.5,51.6,22.6,25.6,54.1,92.8,43.2,23.8,44,29.7,59.8,2
6,6,2/11/23,C,Central Michigan,MAC,Miami OH,A,"W, 66-60",97.9,102.6,61.6,107.2,46.8,21.1,44.1,74.5,97.5,48.9,13,10,42.6,36.8,-5
7,7,2/25/23,C,Central Michigan,MAC,Northern Illinois,H,"L, 84-80",97.3,118.7,77.1,103.8,41.7,22.1,41.9,61.7,109,59,22.1,25.8,78,9.2,-9
8,8,11/26/22,N,Central Michigan,MAC,Cal Baptist,A,"L, 77-61",96.9,109.1,68.2,89.4,43.8,13.2,22.5,12.5,112.9,56.8,27.9,48.6,27.1,20.4,-4
9,9,12/18/22,N,Central Michigan,MAC,Missouri St.,A,"L, 79-58",96.9,118.2,64.2,90.3,42.7,20.2,31.6,27.3,123,59.6,24.9,51.7,50,9.2,-8
10,10,2/28/23,C,Central Michigan,MAC,Toledo,H,"L, 99-65",96,121.1,68.6,94.7,51,24.8,28.1,46,144.3,67,14.6,36.4,52.8,6.5,-10
11,11,1/21/23,C,Central Michigan,MAC,Ohio,A,"L, 96-68",95.6,127.7,70.4,96.6,49,21.3,25.7,48.1,136.3,63.3,12.8,34.3,32.8,3.4,-17
12,12,1/28/23,C,Central Michigan,MAC,Western Michigan,H,"W, 70-69",95.4,117.2,63.2,110.7,51.7,17.4,38.9,27.1,109.1,51,23.7,42.9,49,8.6,-8
13,13,12/21/22,N,Central Michigan,MAC,Youngstown St.,H,"L, 76-65",95,114.2,64,101.6,58,25,26.9,20,118.8,61.3,21.9,34.8,20.8,10.8,-7
14,14,11/10/22,N,Central Michigan,MAC,Marquette,A,"L, 97-73",94.9,104.6,81.9,89.1,50.9,26.9,26.5,36.2,118.4,62.9,17.1,27.8,40.9,24.7,-18
15,15,3/3/23,C,Central Michigan,MAC,Western Michigan,A,"L, 81-65",94.7,120.4,65.7,99,50,15.2,6.5,36,123.4,56.1,12.2,36.8,15.2,5.9,-2
16,16,11/13/22,N,Central Michigan,MAC,Eastern Illinois,H,"W, 76-60",92.6,83.9,78.1,97.3,54.2,25.6,27.8,30.5,76.8,36.2,19.2,22,60.3,75.8,15
17,17,2/18/23,C,Central Michigan,MAC,Ohio,H,"L, 76-59",92,109.7,64.4,91.6,50,27.9,28,65,118,61.8,15.5,16.7,39.2,11.6,-4
18,18,11/17/22,N,Central Michigan,MAC,Minnesota,A,"L, 68-60",87.8,104.3,67.3,89.2,34.7,16.4,43.1,16.7,101.1,55.2,23.8,30,56.2,12,-8
19,19,12/7/22,N,Central Michigan,MAC,Robert Morris,H,"L, 71-66",87.5,103.3,74.5,88.6,37.9,20.1,26.7,35.5,95.3,53.6,25.5,30.3,32.1,12.8,-4
20,20,1/3/23,C,Central Michigan,MAC,Miami OH,H,"W, 68-56",87.4,90.7,68.1,99.8,39.3,22,45,57.1,82.2,38.1,20.5,30.2,28.8,39.4,-3
21,21,12/10/22,N,Central Michigan,MAC,Tulsa,A,"L, 70-63",86.9,101.8,70.8,89,41.5,25.4,28.6,41.5,98.9,51.8,22.6,28.1,26.8,14,-3
22,22,11/21/22,N,Central Michigan,MAC,High Point,N,"L, 68-67",86.5,95.8,73.7,91,45.8,17.6,21.1,30.5,92.3,41.9,21.7,38.6,46.8,23.6,2
23,23,1/7/23,C,Central Michigan,MAC,Eastern Michigan,A,"L, 62-56",83.4,91.4,65.9,84.9,42.2,34.9,48.6,39.2,94,39.8,18.2,30.8,48.1,25.8,6
24,24,2/4/23,C,Central Michigan,MAC,Toledo,A,"L, 84-59",82.4,107.8,67.9,86.9,57.9,30.9,13,68.4,123.7,54.9,11.8,31.4,32.8,4.3,-18
25,25,1/10/23,C,Central Michigan,MAC,Northern Illinois,A,"L, 73-54",81.1,107.8,68.1,79.3,42.9,32.3,35.9,44.9,107.1,56.9,20.5,27.3,52.9,3.6,-8
26,26,1/17/23,C,Central Michigan,MAC,Akron,H,"L, 69-51",79.2,99.6,66,77.2,42.6,27.3,20,34,104.5,49.1,15.1,26.5,40,6.7,-8
27,27,1/24/23,C,Central Michigan,MAC,Bowling Green,H,"L, 83-61",79,128,68.4,89.2,42.7,19,21.1,34.5,121.3,66,26.3,42.3,61.7,0.4,-19
28,28,2/7/23,C,Central Michigan,MAC,Ball St.,H,"L, 65-51",78.8,94.8,65.1,78.4,37.5,20,25.6,21.4,99.9,51.1,24.6,29.6,52.2,10.7,-3
29,29,2/21/23,C,Central Michigan,MAC,Buffalo,A,"L, 63-35",53.3,96.4,65.4,53.5,29.8,35.2,31.6,29.8,96.3,43.5,18.3,34.1,21,0.1,-18
