#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/31/22,C,Charleston Southern,BSth,USC Upstate,H,"W, 90-85",129.3,132,68.7,131.1,51.6,14.6,45.9,50.8,123.8,63.2,16,25.9,28.1,44.1,4
2,2,1/11/23,C,Charleston Southern,BSth,High Point,H,"W, 106-69",128.3,101,75.1,141.2,67.9,14.7,45.5,27.1,91.9,51.8,22.7,19.4,29.8,94,17
3,3,1/28/23,C,Charleston Southern,BSth,Longwood,A,"W, 75-63",123.1,99.1,62.9,119.3,54.1,19.1,33.3,46.9,100.2,46.9,12.7,17.1,56.2,92.4,8
4,4,12/14/22,N,Charleston Southern,BSth,Tennessee St.,A,"W, 91-87",122.5,116.6,74,122.9,67.3,24.3,30.8,46.2,117.5,51.6,13.5,34.2,53.2,63.8,9
5,5,2/25/23,C,Charleston Southern,BSth,Presbyterian,H,"W, 85-59",120.1,104.7,65.5,129.7,72.5,19.8,27.3,35.3,90,41.8,21.4,36.8,36.4,83,12
6,6,1/4/23,C,Charleston Southern,BSth,Longwood,H,"L, 79-74",114.9,120.6,65.7,112.6,56.6,18.3,24.1,30.2,120.2,54.5,15.2,38.7,49.1,36.5,1
7,7,11/16/22,N,Charleston Southern,BSth,Tulane,A,"L, 99-79",114.4,121.5,74.2,106.4,50,18.9,36.4,12.3,133.3,61.1,8.1,30.3,15.3,33.3,-5
8,8,11/25/22,N,Charleston Southern,BSth,Virginia Tech,A,"L, 69-64",110.1,102.2,60.5,105.9,50,16.5,37.8,13.3,114.1,47.5,11.6,36.8,24.6,70.1,-1
9,9,2/4/23,C,Charleston Southern,BSth,High Point,A,"L, 81-73",109,124.3,65.7,111.1,51.7,15.2,31.4,31,123.3,50,15.2,47.5,43.5,18,0
10,10,11/21/22,N,Charleston Southern,BSth,Bethune Cookman,H,"W, 78-63",108,104,65.6,118.9,52.4,16.8,39.5,25.4,96,47.3,19.8,31.4,25,60.7,11
11,11,1/21/23,C,Charleston Southern,BSth,Campbell,H,"L, 78-76",107.4,114.9,60.2,112.2,57.6,14.8,27.3,23.7,115.1,47.6,14.8,42.1,39.7,31.6,2
12,12,12/17/22,N,Charleston Southern,BSth,Jacksonville,A,"L, 72-63",106.7,130.9,57.9,108.7,50,17.3,37.1,12.1,124.3,62,10.4,23.3,36,8.8,-9
13,13,1/25/23,C,Charleston Southern,BSth,Winthrop,A,"L, 76-64",104.9,122.9,57.9,110.5,59.2,24.2,42.9,28.6,131.2,62,13.8,34.5,24.1,13.9,-3
14,14,1/7/23,C,Charleston Southern,BSth,Presbyterian,A,"W, 67-61",103.1,105.4,63.3,105.8,51,22.1,37.5,36.5,96.3,35.7,20.5,36.8,67.3,43.8,5
