#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/11/23,C,Chattanooga,SC,Western Carolina,H,"W, 95-76",130.3,121.2,67.7,140.4,69.6,8.9,18.2,52.9,112.3,46.2,7.4,27,30.8,69.7,6
2,2,12/15/22,N,Chattanooga,SC,Middle Tennessee,A,"W, 82-73",130.2,106.3,66,124.2,67.4,25.7,40,58.7,110.6,52.4,7.6,18.2,17.7,91.1,8
3,3,12/6/22,N,Chattanooga,SC,Milwaukee,H,"W, 88-76",126.2,108.8,69.4,126.8,55.3,11.5,34.2,30.3,109.5,56.5,21.6,35.3,11.3,84.6,14
4,4,12/31/22,C,Chattanooga,SC,Mercer,A,"W, 80-51",119,85,66.7,120,61.1,15,22.6,37,76.5,36.3,21,31,12.9,98,11
5,5,1/14/23,C,Chattanooga,SC,Samford,A,"L, 75-74",115.6,106.1,65.7,112.7,54.4,18.3,33.3,31.6,114.2,49.1,10.7,28.2,47.4,73,7
6,6,3/3/23,CT,Chattanooga,SC,VMI,N,"W, 92-72",115.2,105,72.2,127.5,70,12.5,12.5,18.3,99.8,43.1,4.2,20,23.6,74.5,15
7,7,12/3/22,N,Chattanooga,SC,Gardner Webb,A,"W, 82-71",115.1,104.5,72.9,112.5,61.7,26.1,23.1,66,97.4,48.3,13.7,21.1,31.7,75.3,3
8,8,3/4/23,CT,Chattanooga,SC,Samford,N,"W, 85-82",115,104.9,74.2,114.6,66.3,21.6,21.4,63.3,110.5,53.7,10.8,11.8,64.8,74.2,5
9,9,1/7/23,C,Chattanooga,SC,VMI,H,"W, 85-78",114.6,121.2,67.4,126.1,61.8,14.8,31,41.8,115.7,63.8,25.2,33.3,10.3,34.5,11
10,10,2/18/23,C,Chattanooga,SC,UNC Greensboro,H,"L, 93-76",113.7,135.2,70.5,107.8,52.4,17,25,22.2,131.9,62.7,11.3,35.7,44.1,12.1,-11
11,11,2/15/23,C,Chattanooga,SC,VMI,A,"W, 78-58",113,85.3,66,118.1,56.9,9.1,25,12.3,87.8,41.9,15.1,23.3,14.5,96.2,23
12,12,1/28/23,C,Chattanooga,SC,East Tennessee St.,A,"W, 73-64",112,105.1,63.6,114.8,52.7,15.7,34.4,32.7,100.7,40,12.6,28.2,26.7,67.5,3
13,13,11/7/22,N,Chattanooga,SC,College of Charlesto,A,"L, 85-78",110.2,106,75.4,103.4,56.8,27.8,38.2,28.8,112.7,52.4,19.9,36.8,43.5,60.8,-5
14,14,11/30/22,N,Chattanooga,SC,Tennessee Tech,A,"W, 81-74",109.5,113,69,117.3,75.6,26.1,5.3,58.5,107.2,48.4,8.7,20.5,21.9,41.2,-2
15,15,2/25/23,C,Chattanooga,SC,Wofford,A,"L, 86-74",108.9,120.7,65.6,112.8,54,13.7,30.6,21,131,59.2,18.3,50,28.3,23.4,-1
16,16,12/18/22,N,Chattanooga,SC,Belmont,H,"L, 83-79",106.9,109.7,64,109.6,56.8,25,45.7,37.3,115.2,55.6,12.5,19.4,22.2,42.7,-2
17,17,3/6/23,CT,Chattanooga,SC,Furman,N,"L, 88-79",104.9,109.6,74.4,106.2,53.4,13.4,14.7,33.9,118.3,55.2,10.8,14.7,51.7,37.6,-7
18,18,2/11/23,C,Chattanooga,SC,Mercer,H,"W, 73-56",104.9,99.8,65.4,111.7,57.3,16.8,26.7,25.5,85.7,41.8,13.8,15.8,30.9,63.9,-1
19,19,12/21/22,N,Chattanooga,SC,Georgia,A,"L, 72-65",104.8,103.5,66.5,97.7,50.9,19.5,24.3,27.3,108.3,51,16.5,23.3,49,53.5,3
20,20,1/25/23,C,Chattanooga,SC,Wofford,H,"L, 85-80",104.3,120.3,69.3,115.5,53.4,18.8,37.1,41.4,122.7,57.3,14.4,30.3,24.2,16.2,-3
21,21,2/8/23,C,Chattanooga,SC,The Citadel,H,"W, 82-63",103.5,100.2,71,115.5,61.1,16.9,21.2,11.1,88.7,51,29.6,28.6,27.5,59.3,7
22,22,3/5/23,CT,Chattanooga,SC,Wofford,N,"W, 74-62",101.2,91.6,66.3,111.6,59.4,16.6,16,47.9,93.5,41.1,16.6,33.3,22.6,75.8,5
23,23,1/18/23,C,Chattanooga,SC,Furman,H,"L, 77-69",100.5,102.2,68.9,100.2,48.1,21.8,36.4,46.3,111.8,49.1,13.1,30.3,43.1,45.3,-2
24,24,12/29/22,C,Chattanooga,SC,The Citadel,A,"L, 76-68",100,120.9,65.6,103.7,46.2,15.2,34.1,15.4,115.9,54.8,19.8,32.1,42.3,10.2,-1
25,25,1/4/23,C,Chattanooga,SC,UNC Greensboro,A,"L, 73-61",99.1,106.5,67.6,90.2,43.9,22.2,28.2,26.3,107.9,55.4,13.3,15.6,26.8,30.4,-6
26,26,11/23/22,N,Chattanooga,SC,Lipscomb,H,"L, 72-66",97.6,104.7,68.9,95.8,43.5,18.9,36.8,25.8,104.6,50.9,14.5,17.6,25.9,30.9,0
27,27,11/26/22,N,Chattanooga,SC,Murray St.,H,"W, 69-66",97.3,102.7,65.7,105.1,46.6,13.7,26.8,28.8,100.5,43.3,9.1,29.3,16.4,34.8,-2
28,28,11/15/22,N,Chattanooga,SC,Mississippi,A,"L, 70-58",96.9,101.7,64.8,89.5,44.8,18.5,25,17.2,108,56.8,23.1,40,10.2,36.6,-3
29,29,2/22/23,C,Chattanooga,SC,Samford,H,"L, 75-70",93.3,96.6,74.6,93.9,41.9,13.4,20.5,40.3,100.6,50,18.8,21.9,56.6,40.2,0
30,30,2/4/23,C,Chattanooga,SC,Western Carolina,A,"L, 83-68",89.9,112.2,74.7,91.1,40.6,10.7,17,35.9,111.2,57.3,16.1,13.8,43.6,7.3,-8
31,31,1/21/23,C,Chattanooga,SC,East Tennessee St.,H,"L, 78-62",89.9,108,71.5,86.7,42.8,15.4,25.6,5.8,109,62.3,19.6,16.7,22.8,10.8,1
32,32,2/1/23,C,Chattanooga,SC,Furman,A,"L, 79-58",89.7,102.8,67.7,85.6,40.8,17.7,27.3,26.7,116.6,46.8,20.7,51.2,39.7,17.3,-8
