#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/16/22,N,Chicago St.,ind,Valparaiso,H,"W, 87-74",128.3,114.4,67.4,129,65.2,19.3,25,60.9,109.8,50,11.9,28.1,30,78.8,14
2,2,3/4/23,N,Chicago St.,ind,Fresno St.,A,"L, 108-72",120.3,151.4,67.6,106.5,54.2,19.2,33.3,22,159.8,82.7,13.3,28.6,34.5,6.7,-11
3,3,1/23/23,N,Chicago St.,ind,Coastal Carolina,A,"W, 74-70",116.9,117.7,58.9,125.7,56.6,22.1,48.3,32.1,118.9,52.5,15.3,43.9,23.3,48.1,3
4,4,1/25/23,N,Chicago St.,ind,Stanford,A,"L, 72-65",114.2,103.4,60.4,107.6,47.3,11.6,25,30.9,119.2,52.1,19.9,43.8,60.4,75.9,3
5,5,1/30/23,N,Chicago St.,ind,The Citadel,A,"W, 76-75",112.4,121.2,64.8,117.2,57.4,17,32.3,35.2,115.7,60.7,10.8,13.3,25,29.7,3
6,6,1/14/23,N,Chicago St.,ind,UT Rio Grande Valley,A,"L, 85-82",111.4,122.2,70.4,116.5,61.4,17.1,21.9,31.6,120.8,51.7,11.4,33.3,54.2,25.8,-3
7,7,11/21/22,N,Chicago St.,ind,Marshall,A,"L, 82-70",111.1,113.5,67,104.5,50,16.4,31.4,16.1,122.5,50,14.9,50,18.3,43.8,-5
8,8,3/1/23,N,Chicago St.,ind,Gonzaga,A,"L, 104-65",110.3,124.4,66.4,97.9,50.8,25.6,37.8,11.7,156.7,71.3,10.5,43.3,39.3,20,-15
9,9,11/23/22,N,Chicago St.,ind,Cleveland St.,A,"L, 77-63",105.9,124.3,60.9,103.5,53.8,29.6,48.4,17,126.5,56,8.2,34.4,34.5,13.6,-8
10,10,12/4/22,N,Chicago St.,ind,Southern Indiana,H,"W, 78-61",105.4,100.5,65.7,118.7,64.8,21.3,24,59.1,92.9,46.2,21.3,27.3,35.8,63.5,4
11,11,2/19/23,C,Chicago St.,ind,Hartford,H,"W, 75-53",103.5,112.9,59.6,125.9,55,18.5,54.8,18.3,89,51,28.5,29,8,26.8,4
12,12,12/28/22,N,Chicago St.,ind,Ball St.,A,"L, 70-63",102.5,106.3,61.9,101.8,44.1,17.8,38.5,25.4,113.1,58.7,11.3,23.3,71.7,39.6,-1
13,13,12/13/22,N,Chicago St.,ind,Murray St.,A,"L, 66-65",100.5,94.6,65.3,99.6,47.3,19.9,31.4,28.6,101.1,47.4,19.9,38.5,36.8,66.7,11
14,14,12/1/22,N,Chicago St.,ind,Bethune Cookman,A,"L, 86-73",99.6,131.4,68.9,106,46.6,18.9,36.1,37.3,124.8,50.8,14.5,44.7,41.3,4,-5
15,15,11/26/22,N,Chicago St.,ind,Marquette,A,"L, 82-68",98.9,93.9,75.4,90.2,48.1,26.5,20,37.7,108.8,56.1,15.9,25.7,52.6,64.4,-8
16,16,12/16/22,N,Chicago St.,ind,Southern Illinois,A,"L, 63-52",96.4,105.7,59.8,87,36.3,18.4,31.6,39.2,105.4,51.1,21.8,27.6,41.3,25.6,-3
17,17,1/11/23,N,Chicago St.,ind,Tarleton St.,A,"L, 73-63",96.2,115.1,65.6,96.1,44.4,24.4,37.5,42.6,111.3,53,16.8,37.9,64,11.3,-13
18,18,12/11/22,N,Chicago St.,ind,Tennessee Martin,A,"L, 75-74",93.9,111.1,64.1,102.6,53.1,22.2,34.2,18.8,104,50.8,19.4,34.3,29.5,12.6,-8
19,19,11/14/22,N,Chicago St.,ind,IUPUI,H,"W, 68-58",91.5,105.2,62.9,108.2,55.8,20.7,37,30.8,92.3,40.5,19.1,36.8,25.9,16.9,2
20,20,11/11/22,N,Chicago St.,ind,St. Thomas,A,"L, 83-61",91.3,122.7,65.5,93.1,41,15.3,31,26.2,126.7,69.4,19.8,32,49,3.2,-13
21,21,11/7/22,N,Chicago St.,ind,Northwestern,A,"L, 85-54",90.4,110.5,70.9,76.2,32.5,16.9,28.6,28.6,119.9,51.8,19.8,37.1,57.1,9.1,-13
22,22,12/22/22,N,Chicago St.,ind,Minnesota,A,"L, 58-55",89.9,99,60.4,91.1,45.6,21.5,22.6,40,96,48.2,18.2,32.4,19.6,24.9,-4
23,23,2/4/23,C,Chicago St.,ind,Hartford,A,"W, 62-49",87.5,87.9,63.5,97.6,44.1,25.2,47.1,47.1,77.1,44,26.8,23.5,24,48.6,8
24,24,2/7/23,N,Chicago St.,ind,Delaware St.,A,"L, 66-60",83.6,106.1,69.2,86.8,51,24.6,11.8,34.7,95.4,47.5,14.5,22.9,18,6,-2
25,25,12/19/22,N,Chicago St.,ind,Illinois St.,A,"L, 66-52",83.5,109.3,61.5,84.6,41.5,22.8,35.1,28.3,107.3,55.5,26,44.4,10.9,4.3,-6
26,26,11/19/22,N,Chicago St.,ind,Kent St.,A,"L, 88-59",81.5,110.4,77.3,76.3,39.2,36.2,45.7,54.9,113.8,46.4,12.9,33.3,37.1,3,-20
27,27,12/30/22,N,Chicago St.,ind,Ohio,A,"L, 76-59",76.3,100.6,73.2,80.6,36.5,23.2,31.9,31.7,103.8,48.3,10.9,18.4,42.4,4,-16
