#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/14/22,N,Cincinnati,Amer,Miami OH,H,"W, 103-76",138.4,117.8,68,151.4,73.3,13.2,36.4,28.3,111.7,54.8,25,42.9,40.4,86.4,13
2,2,1/28/23,C,Cincinnati,Amer,Houston,A,"L, 75-69",135.4,99.7,63,109.6,53.3,14.3,24.3,11.5,119.1,61.3,12.7,28,30.2,97.1,5
3,3,3/5/23,C,Cincinnati,Amer,SMU,H,"W, 97-74",134.7,108,71.4,135.9,64.3,11.2,36.7,38.1,103.7,42.7,14,35.1,41.9,92.6,11
4,4,11/21/22,N,Cincinnati,Amer,Arizona,N,"L, 101-93",128.7,115.6,77,120.8,59.3,11.7,23.1,21.4,131.2,68.9,13,23.1,41,77.5,-8
5,5,1/18/23,C,Cincinnati,Amer,South Florida,A,"W, 85-69",128.4,95.4,69,123.2,56.2,5.8,20.6,23.1,100,50,14.5,17.6,51.9,96.8,13
6,6,2/19/23,C,Cincinnati,Amer,UCF,A,"W, 73-71",126.7,105.9,62.9,116.1,58.5,23.9,44,28.3,112.9,54.5,14.3,33.3,29.1,88.6,2
7,7,2/22/23,C,Cincinnati,Amer,Temple,H,"W, 88-83",122.4,112.3,65,120.4,52.6,12.3,22.6,52.6,113.6,55.9,10.9,15.2,39,72.8,2
8,8,1/11/23,C,Cincinnati,Amer,East Carolina,H,"W, 83-55",119.2,86.8,67.9,122.2,58.5,13.2,34.3,15.4,81,37.9,14.7,15,25.9,97.5,13
9,9,3/10/23,CT,Cincinnati,Amer,Temple,N,"W, 84-54",116.7,82,70,120.1,52.1,10,32.5,15.3,77.2,37.7,21.4,31,19.7,98.3,7
10,10,11/30/22,N,Cincinnati,Amer,NJIT,H,"W, 86-60",116.5,100.6,66.9,128.6,57.8,13.5,43.8,28.1,89.7,51,22.4,13.3,22,84.5,11
11,11,11/13/22,N,Cincinnati,Amer,Eastern Kentucky,H,"W, 87-69",115.5,92.5,76.4,113.8,49.3,14.4,39.5,37.7,90.3,46.9,17,20.9,31.2,92.8,11
12,12,2/11/23,C,Cincinnati,Amer,South Florida,H,"W, 84-65",115.5,98.3,69.6,120.7,54.5,10.1,31.7,30.3,93.4,45.2,17.2,26.3,19.4,86.5,4
