#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,Clemson,ACC,North Carolina St.,A,"W, 96-71",147.1,90.2,70,137.2,68.4,15.7,26.9,38.6,101.5,48.3,14.3,27.5,33.3,99.6,18
2,2,2/22/23,C,Clemson,ACC,Syracuse,H,"W, 91-73",131.2,102.8,68.1,133.6,63.1,10.3,36.4,23.1,107.2,53.5,16.2,21.2,29.8,94.3,13
3,3,2/15/23,C,Clemson,ACC,Florida St.,H,"W, 94-54",130.5,86.9,66.9,140.4,70.7,13.4,29.2,29.3,80.7,52,23.9,10,16.3,99.1,17
4,4,12/17/22,N,Clemson,ACC,Richmond,N,"W, 85-57",125.6,83.8,69.2,122.9,57.6,11.6,31.6,19.7,82.4,48,21.7,9.7,29.4,99.1,17
5,5,11/15/22,N,Clemson,ACC,USC Upstate,H,"W, 81-70",124.1,113.6,65,124.6,63.6,13.8,25,32.7,107.7,58.7,18.5,15.4,47.8,73.4,9
6,6,3/4/23,C,Clemson,ACC,Notre Dame,H,"W, 87-64",123.1,88.3,69.3,125.5,61.5,11.5,25.8,27.9,92.3,42.6,11.5,17.8,29.5,97.8,17
7,7,11/29/22,N,Clemson,ACC,Penn St.,H,"W, 101-94",118.8,103.2,67.3,120,59.5,11.9,16.2,58.7,111.7,48.6,13.1,27.9,40.8,83.5,-1
8,8,12/7/22,N,Clemson,ACC,Towson,H,"W, 80-75",118.2,114.3,65.6,121.9,67.3,19.8,25,28.8,114.3,48.5,10.7,36.6,22.4,59.5,-1
9,9,1/7/23,C,Clemson,ACC,Pittsburgh,A,"W, 75-74",116.8,101.8,65.7,114.2,53.8,12.2,21.2,45.3,112.7,50,10.7,23.7,40.4,82.8,1
10,10,11/26/22,N,Clemson,ACC,California,N,"W, 67-59",115.5,105.7,59.3,113.1,61.6,13.5,15,44.2,99.6,42.7,18.6,25,41.7,73.6,8
11,11,12/21/22,C,Clemson,ACC,Georgia Tech,A,"W, 79-66",114.9,89.6,71.9,109.9,54,15.3,25.8,21,91.8,47.4,15.3,13.5,31,94.6,10
12,12,2/11/23,C,Clemson,ACC,North Carolina,A,"L, 91-71",114.5,118.2,69.8,101.7,51.9,18.6,17.9,34,130.3,59,10,29.7,22.4,40.9,-8
13,13,1/14/23,C,Clemson,ACC,Duke,H,"W, 72-64",113.9,92.8,67.1,107.4,48.3,13.4,29.4,30.5,95.5,40.5,16.4,35.7,28.6,91.3,0
14,14,11/18/22,N,Clemson,ACC,Bellarmine,H,"W, 76-66",113,111.7,62.5,121.6,60.6,14.4,21.7,46.8,105.6,52,17.6,21.4,40.8,53.4,3
15,15,3/9/23,CT,Clemson,ACC,North Carolina St.,N,"W, 80-54",112.8,79.3,68.9,116,59.8,18.9,27.6,28.6,78.3,39.2,17.4,17.5,15,98.3,3
16,16,1/11/23,C,Clemson,ACC,Louisville,H,"W, 83-70",112.5,108.2,68.4,121.3,60.4,16.1,26.9,43.4,102.3,49.1,21.9,29.7,42.6,61.1,6
17,17,12/30/22,C,Clemson,ACC,North Carolina St.,H,"W, 78-64",111.9,86.4,70.5,110.7,46.7,9.9,22.9,40,90.8,36.8,11.4,29.2,26.5,95.2,5
18,18,1/24/23,C,Clemson,ACC,Georgia Tech,H,"W, 72-51",110.5,82,64.6,111.5,61.8,17,11.5,21.6,79,37.5,15.5,26.8,6.2,96.9,11
19,19,1/17/23,C,Clemson,ACC,Wake Forest,A,"L, 87-77",108.1,111.7,72.7,106,48.5,15.1,26.3,21.2,119.7,53.3,8.3,28.9,54.1,40.8,-8
20,20,1/28/23,C,Clemson,ACC,Florida St.,A,"W, 82-81",107.1,103.4,76.6,107,56.6,23.5,31,54.7,105.7,54,17,19.4,32.3,59.9,3
21,21,11/7/22,N,Clemson,ACC,The Citadel,H,"W, 80-69",106.2,109.4,69.1,115.7,51.5,11.6,34.2,27.7,99.8,52.7,18.8,14.7,21.4,41.6,6
22,22,2/4/23,C,Clemson,ACC,Miami FL,H,"L, 78-74",105.5,99.4,70.4,105.2,55.9,12.8,6.5,15.3,110.9,52.6,15.6,25.7,37.9,66.5,-3
23,23,2/28/23,C,Clemson,ACC,Virginia,A,"L, 64-57",103.3,99.3,60.9,93.6,48.2,18.1,21.2,9.1,105.1,45.4,13.1,32.4,40.7,61.3,-6
24,24,11/25/22,N,Clemson,ACC,Iowa,N,"L, 74-71",101.7,96,68.2,104.1,46.9,14.7,25.6,20.3,108.5,41.7,13.2,43.6,50,66.1,-5
25,25,3/10/23,CT,Clemson,ACC,Virginia,N,"L, 76-56",101.5,114.2,62.1,90.2,42.5,19.3,28.9,30.2,122.4,55,9.7,31.4,26.7,20.4,-10
26,26,12/2/22,C,Clemson,ACC,Wake Forest,H,"W, 77-57",100.8,82,71.8,107.3,61.6,26.5,9.5,58.1,79.4,40.7,15.3,12.2,23.7,91.5,1
27,27,2/18/23,C,Clemson,ACC,Louisville,A,"L, 83-73",99.7,116,71.7,101.8,46.3,7,20.5,22.4,115.7,55.9,19.5,25,54.9,14.8,-3
28,28,11/21/22,N,Clemson,ACC,Loyola MD,H,"W, 72-41",97.5,66.3,67.2,107.1,55.4,22.3,31,21.4,61,34.6,26.8,17.9,15.4,98.8,17
29,29,1/4/23,C,Clemson,ACC,Virginia Tech,A,"W, 68-65",94.3,80.1,73.8,92.1,50,19,6.2,34,88.1,38.1,14.9,26.1,25.4,86.8,1
30,30,1/31/23,C,Clemson,ACC,Boston College,A,"L, 62-54",86.9,91.1,66.3,81.4,36.5,25.6,30.6,30.8,93.5,43.6,16.6,19.4,30.9,36.7,-1
31,31,12/10/22,N,Clemson,ACC,Loyola Chicago,N,"L, 76-58",84.2,108.6,69.7,83.3,41.7,20.1,21.2,29.6,109.1,68.8,25.8,4.5,25,5.1,-7
32,32,11/11/22,N,Clemson,ACC,South Carolina,A,"L, 60-58",82.2,86.6,69.7,83.2,43.4,18.6,22.5,14.8,86.1,42.2,27.2,45.2,20.3,35.5,-2
