#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/30/22,C,Colgate,Pat,Loyola MD,A,"W, 101-67",139.1,104.8,67.8,149,79.3,13.3,25,19,98.9,52.6,22.1,24.2,12.1,96.3,18
2,2,12/7/22,N,Colgate,Pat,Binghamton,A,"W, 81-62",126.8,99.1,63.4,127.8,63.6,14.2,25,27.3,97.8,54.2,20.5,24,33.3,94.4,16
3,3,2/15/23,C,Colgate,Pat,Army,H,"W, 93-86",126.2,118.7,72.4,128.5,67.5,16.6,35.5,35,118.8,65.3,22.1,27.6,12.9,66.9,10
4,4,11/27/22,N,Colgate,Pat,Hartford,N,"W, 92-58",124.4,114.6,62.5,147.1,71.7,14.4,40,13.3,92.7,44.1,14.4,25.6,15.3,71.9,12
5,5,3/2/23,CT,Colgate,Pat,Loyola MD,H,"W, 92-73",123.9,108.3,69.9,131.5,70.5,14.3,16.7,28.6,104.4,54.9,17.2,21.2,14.8,82.3,16
6,6,11/15/22,N,Colgate,Pat,Syracuse,A,"W, 80-68",120.7,93.8,67.2,119,63.6,22.3,33.3,11.9,101.2,45.2,19.3,35,24.2,94.8,10
7,7,1/5/23,C,Colgate,Pat,Navy,H,"W, 87-73",120.7,116,68.9,126.3,62.9,11.6,21.2,39.7,106,56.8,20.3,25,10.2,61.2,1
8,8,3/5/23,CT,Colgate,Pat,Army,H,"W, 91-74",119.8,102.7,73.3,124.2,59.5,6.8,17.1,38.1,101,60.4,21.8,7.1,24.5,85.5,13
9,9,2/22/23,C,Colgate,Pat,Lafayette,A,"W, 73-69",119.3,118,63.5,115,60.2,11,13.8,29.6,108.7,54.1,9.5,25,11.5,53.1,3
10,10,11/21/22,N,Colgate,Pat,Monmouth,H,"W, 85-66",118.4,115.9,66.7,127.4,55.9,18,44.7,45.8,98.9,51.8,25.5,38.7,25.5,56.2,9
11,11,3/8/23,CT,Colgate,Pat,Lafayette,H,"W, 79-61",118.3,99.1,67.9,116.3,65.1,10.3,3.7,32.1,89.8,37.7,7.4,27.5,13.7,88.4,13
12,12,2/18/23,C,Colgate,Pat,Holy Cross,H,"W, 96-73",117.9,113,74.7,128.6,65,17.4,37.5,14.3,97.8,48.4,12.1,18.4,25,61.9,10
13,13,11/10/22,N,Colgate,Pat,Brown,A,"W, 77-68",114,99.3,70.8,108.8,64,22.6,23.1,10.5,96.1,46.2,14.1,24.4,18.2,83.1,4
14,14,2/8/23,C,Colgate,Pat,Lehigh,H,"W, 81-53",113.2,86.6,68.2,118.8,56.9,10.3,30.3,18.5,77.7,39.3,13.2,16.3,19.7,95.6,14
15,15,2/25/23,C,Colgate,Pat,Navy,A,"W, 64-60",112.6,95.5,60.8,105.3,46.7,13.2,36.8,19.7,98.7,41.5,6.6,26.2,9.2,87,9
16,16,1/2/23,C,Colgate,Pat,Lehigh,A,"W, 76-60",111.7,94.4,67.5,112.6,55.9,11.9,16.7,18.6,88.9,49.1,17.8,6.2,18.9,87.3,10
17,17,12/10/22,N,Colgate,Pat,Vermont,H,"L, 73-72",111.4,111.2,64,112.6,52.7,9.4,18.8,30.4,114.1,57.6,12.5,18.8,10.2,50.4,-3
18,18,12/2/22,N,Colgate,Pat,Auburn,A,"L, 93-66",111,121.8,68.3,96.6,50.9,17.6,29.7,33.3,136.1,62.7,11.7,37.1,23.9,25.6,-12
19,19,1/30/23,C,Colgate,Pat,Loyola MD,H,"W, 76-63",110,106.9,63.3,120,68.1,17.4,16.7,38.3,99.5,46.5,15.8,29.7,29.8,58.1,7
20,20,11/18/22,N,Colgate,Pat,Duquesne,N,"L, 85-80",109.9,116,72.5,110.3,51.6,17.9,34.3,29,117.2,59.8,19.3,31.4,32.8,34.9,-7
21,21,1/9/23,C,Colgate,Pat,Army,A,"W, 77-75",109.6,109.7,68.8,112,60.3,17.5,23.1,15.5,109.1,54.8,13.1,22.9,17.5,49.9,1
22,22,1/18/23,C,Colgate,Pat,Holy Cross,A,"W, 77-71",109.5,115.3,67.6,114,57.1,16.3,28.1,37.5,105.1,49.2,11.8,21.6,25,35.6,4
23,23,1/28/23,C,Colgate,Pat,Lafayette,H,"W, 69-57",107.8,106.7,62.2,110.9,50.9,11.3,31.4,33.9,91.6,44.3,17.7,28.9,8.2,53,2
24,24,11/26/22,N,Colgate,Pat,Penn,A,"L, 81-69",104.5,106.6,69,100,53.6,20.3,25.8,25,117.4,70.8,27.5,30,13.2,44.4,-1
25,25,11/7/22,N,Colgate,Pat,Buffalo,A,"L, 88-87",104,103.1,84.6,102.8,58,20.1,12,51.8,104,58.5,15.4,8.8,33.8,52.7,0
26,26,12/22/22,N,Colgate,Pat,Cornell,H,"L, 91-80",103.8,125.2,70.9,112.9,59.3,11.3,13.3,25.4,128.4,69,19.8,29.6,27.6,10.3,-10
27,27,1/23/23,C,Colgate,Pat,Boston University,A,"W, 64-51",101.2,82.1,64.2,99.7,56,20.2,18.5,20,79.4,30.8,18.7,37.5,21.5,91.7,12
28,28,1/11/23,C,Colgate,Pat,Boston University,H,"W, 77-71",100.5,110.5,72.2,106.7,47.6,4.2,17.1,44.4,98.4,50,18,22.2,28.8,25,0
29,29,1/14/23,C,Colgate,Pat,Bucknell,H,"W, 71-65",100,104.5,67,106,52.7,13.4,25.7,40,97.1,46,22.4,20,40,37.7,3
30,30,2/11/23,C,Colgate,Pat,Bucknell,A,"W, 76-56",99.7,89.3,70.2,108.3,55.8,12.8,18.8,26.7,79.8,49,25.6,12.9,15.4,78.1,3
31,31,1/21/23,C,Colgate,Pat,American,H,"W, 62-61",98.3,111.1,58.4,106.1,53,12,17.9,26,104.4,60.2,18.8,8.3,27.3,19.5,-1
32,32,11/25/22,N,Colgate,Pat,Delaware,N,"L, 72-68",96.9,103.4,69.9,97.2,51.7,18.6,25,20,102.9,53.4,17.2,20.6,22,32.2,2
33,33,2/4/23,C,Colgate,Pat,American,A,"L, 61-60",91.2,95.7,64.3,93.3,47.3,21.8,29,18.2,94.9,57.1,29.5,29.2,12.2,36.5,4
