#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/11/22,N,College of Charlesto,CAA,North Carolina,A,"L, 102-86",129.7,119.2,76.2,112.9,54.8,18.4,38.5,12.3,133.9,64.7,10.5,28.6,65.5,72.6,0
2,2,2/13/23,C,College of Charlesto,CAA,Northeastern,H,"W, 99-63",128.1,100.9,71.1,139.2,68.8,14.1,33.3,20.3,88.6,40.8,21.1,38.6,26.2,94,15
3,3,11/17/22,N,College of Charlesto,CAA,Davidson,H,"W, 89-66",122.8,96.1,70,127.1,54.2,17.1,47.5,16.7,94.3,47.1,24.3,32.4,51,94.4,9
4,4,1/11/23,C,College of Charlesto,CAA,UNC Wilmington,A,"W, 71-69",121.8,108.4,62.8,113,47.5,15.9,34.2,28.8,109.8,50,15.9,35.3,28.6,79.3,6
5,5,1/28/23,C,College of Charlesto,CAA,Hofstra,H,"L, 85-81",121,115.8,70.3,115.3,45.2,15.7,41.5,49.2,121,58.1,12.8,33.3,11.8,62.5,0
6,6,2/4/23,C,College of Charlesto,CAA,Delaware,A,"W, 84-67",119.4,103,67.8,123.9,53,13.3,41.9,28.4,98.8,43.2,17.7,28.6,27.1,84.5,6
7,7,2/8/23,C,College of Charlesto,CAA,UNC Wilmington,H,"W, 93-61",119.4,89.8,75.9,122.6,61,23.7,41.9,44.1,80.4,43.1,23.7,14.7,47.1,96.4,10
8,8,11/14/22,N,College of Charlesto,CAA,Richmond,H,"W, 92-90",116.7,107.9,73.4,111.4,51.4,15.7,31.8,33.3,108.9,53.2,18.2,22.9,42.9,71,9
9,9,2/25/23,C,College of Charlesto,CAA,Stony Brook,H,"W, 92-52",113.9,89.4,71.1,129.3,60.8,14.1,36.1,29.2,73.1,36.3,18.3,20,17.7,94.2,13
10,10,11/29/22,N,College of Charlesto,CAA,Old Dominion,H,"W, 75-60",113.3,95.6,65.7,114.2,57.4,21.3,30,29.6,91.4,49,21.3,20.7,19.2,87.6,8
11,11,2/16/23,C,College of Charlesto,CAA,Elon,A,"W, 88-66",113.1,97.9,73,120.5,55.1,19.2,40,27.5,90.4,51.9,17.8,9.1,35.8,84,9
12,12,1/4/23,C,College of Charlesto,CAA,North Carolina A&T,A,"W, 92-79",111.7,103.2,79.8,115.3,54.5,12.5,31.7,13,99,50,16.3,21.4,8.1,71.4,11
13,13,11/23/22,N,College of Charlesto,CAA,Kent St.,H,"W, 74-72",109.1,102.2,70.6,104.8,53.8,24.1,31.4,49.1,101.9,50.7,18.4,33.3,5.9,68,-4
14,14,11/7/22,N,College of Charlesto,CAA,Chattanooga,H,"W, 85-78",108.5,101.1,75.4,112.7,52.4,19.9,36.8,43.5,103.4,56.8,27.8,38.2,28.8,69.4,5
15,15,1/21/23,C,College of Charlesto,CAA,Northeastern,A,"W, 87-61",107.7,85.8,77.2,112.6,53.5,18.1,37.5,22.2,79,41.4,22,29.5,5.7,93.2,12
16,16,2/23/23,C,College of Charlesto,CAA,Towson,H,"W, 83-75",107.6,102.7,74,112.1,49.1,16.2,30.3,63.6,101.3,55.5,21.6,24.2,43.6,63.1,-2
17,17,12/31/22,C,College of Charlesto,CAA,Towson,A,"W, 76-74",107.1,91.4,66.3,101.9,54.2,32.2,47.2,23.3,99.2,48.4,25.5,37.8,32.8,86.1,7
18,18,2/2/23,C,College of Charlesto,CAA,Drexel,A,"L, 70-69",106.3,102.3,69,100,46,14.5,28.9,25.8,101.5,50,17.4,16.7,52,60.8,5
19,19,2/11/23,C,College of Charlesto,CAA,Hampton,A,"W, 83-70",105.8,110.4,69.6,119.2,58.2,14.4,28.1,29.5,100.5,46.3,5.7,20.5,17.9,38.2,2
20,20,1/16/23,C,College of Charlesto,CAA,William & Mary,H,"W, 82-54",105.4,80.3,71.5,114.6,48.7,12.6,39.6,14.5,75.5,43.1,25.2,20.6,10.3,95.8,17
21,21,11/20/22,N,College of Charlesto,CAA,Virginia Tech,H,"W, 77-75",104.9,96.1,73,105.4,57.6,19.2,19.4,20.3,102.7,54.5,17.8,22.9,7.6,73.4,0
22,22,3/6/23,CT,College of Charlesto,CAA,Towson,N,"W, 77-72",104.2,95.1,73.6,104.6,40.2,12.2,29.5,57.4,97.8,47.7,19,32.5,21.2,74.1,2
23,23,12/3/22,N,College of Charlesto,CAA,The Citadel,A,"W, 79-57",103.5,86.7,71.2,111,45.7,11.2,36.2,31.9,80.1,36.8,11.2,9.8,40.4,88.4,11
24,24,12/29/22,C,College of Charlesto,CAA,Hampton,H,"W, 89-61",103.4,89.9,75.6,117.8,54.6,11.9,27.5,43.1,80.7,43.5,18.5,25.5,11.6,83.4,14
25,25,3/5/23,CT,College of Charlesto,CAA,Stony Brook,N,"W, 74-52",103,81.8,68.7,107.8,45.6,10.2,34.1,25,75.7,41.1,17.5,8.6,16.1,93.4,15
26,26,12/19/22,N,College of Charlesto,CAA,Coastal Carolina,A,"W, 83-69",102.8,90.4,75.3,110.3,54.1,17.3,32.4,36.1,91.7,45.4,15.9,22.2,26.2,81.4,10
27,27,11/18/22,N,College of Charlesto,CAA,Colorado St.,H,"W, 74-64",101.9,84.8,71.6,103.4,44.1,18.2,31.6,42.4,89.4,49.2,21,23.7,14.8,89.2,6
28,28,1/14/23,C,College of Charlesto,CAA,Elon,H,"W, 78-60",101.6,99.8,68.6,113.7,49.3,8.7,34,22.9,87.5,50,29.2,21.4,33.3,55.3,3
29,29,12/14/22,N,College of Charlesto,CAA,Stetson,H,"W, 65-60",101,88,61.5,105.7,44.1,14.6,34.2,23.7,97.5,54.7,19.5,21.4,9.4,82.9,9
30,30,1/7/23,C,College of Charlesto,CAA,Delaware,H,"W, 75-64",100,95.6,70.9,105.7,41.8,15.5,38.6,54.1,90.2,46.7,18.3,23.7,21.3,62.6,4
31,31,3/7/23,CT,College of Charlesto,CAA,UNC Wilmington,N,"W, 63-58",99.4,95.5,64.1,98.3,46.2,18.7,32.4,38.5,90.5,43.5,26.5,37.5,25.9,61.1,0
