#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/7/23,C,Connecticut,BE,Marquette,H,"W, 87-72",140.5,90.5,68,128,59.7,25,58.3,35.5,105.9,48.3,11.8,25,33.9,99.4,16
2,2,1/22/23,C,Connecticut,BE,Butler,H,"W, 86-56",135.8,90.7,66.2,129.8,53.9,12.1,50,39.1,84.5,38.5,16.6,11.8,30.8,99,16
3,3,2/25/23,C,Connecticut,BE,St. John's,A,"W, 95-86",135,105.8,76.7,123.8,53.9,18.2,50,51.6,112.1,49.2,16.9,41.7,44.6,94.3,9
4,4,2/22/23,C,Connecticut,BE,Providence,H,"W, 87-69",133.2,102.1,64.1,135.8,61.7,20.3,55.6,23.3,107.7,49.1,14,24.2,37.7,95.5,6
5,5,1/31/23,C,Connecticut,BE,DePaul,A,"W, 90-76",130.9,106.4,69.2,130,54.5,15.9,48,61.8,109.8,52.7,15.9,31.6,50,91.5,8
6,6,3/1/23,C,Connecticut,BE,DePaul,H,"W, 88-59",128.9,80.8,69.2,127.2,62.5,18.8,43.3,15.6,85.3,39.2,20.2,30.8,26.7,99.5,24
7,7,11/25/22,N,Connecticut,BE,Alabama,N,"W, 82-67",127.5,83.7,73.6,111.4,50.8,16.3,27.8,40,91,48,28.5,29,50,99.2,6
8,8,11/27/22,N,Connecticut,BE,Iowa St.,N,"W, 71-53",124.7,82.6,63.3,112.1,48.1,30,63.6,47.2,83.7,43.5,19,20.6,18.5,99.1,7
9,9,12/1/22,N,Connecticut,BE,Oklahoma St.,H,"W, 74-64",124.6,91.6,67.3,109.9,44.6,10.4,33.3,58.9,95,42.9,25.2,37.1,33.9,97.2,9
10,10,3/10/23,CT,Connecticut,BE,Marquette,N,"L, 70-68",123.8,104.9,58.9,115.5,50,15.3,45.7,25.4,118.9,57.8,15.3,27.6,27.5,87.1,-2
11,11,11/18/22,N,Connecticut,BE,UNC Wilmington,H,"W, 86-50",123.6,89.7,65.7,130.9,63.5,15.2,24,44.2,76.1,33.6,19.8,30.2,36.4,97.5,8
12,12,12/10/22,N,Connecticut,BE,LIU Brooklyn,H,"W, 114-61",123.2,100.1,78.8,144.7,72.2,15.2,37.9,18.1,77.4,44.2,26.7,16.7,46.2,91.6,24
13,13,11/24/22,N,Connecticut,BE,Oregon,N,"W, 83-59",122.7,82.2,68.6,121.1,61.1,17.5,34.3,17.5,86.1,47.9,24.8,22.6,53.2,99,9
14,14,1/11/23,C,Connecticut,BE,Marquette,A,"L, 82-76",122.2,101.2,69.1,110,53.3,23.2,42.4,25,118.7,55.9,15.9,32.3,32.2,89.8,0
15,15,3/9/23,CT,Connecticut,BE,Providence,N,"W, 73-66",121.2,88.4,64.2,113.7,65.1,28,40,9.4,102.8,46.6,14,28.6,29.3,97.4,11
16,16,11/20/22,N,Connecticut,BE,Delaware St.,H,"W, 95-60",119.1,92.7,74.2,128.1,67.2,17.5,33.3,31.1,80.9,40.4,24.3,19.4,50,94.6,22
17,17,11/11/22,N,Connecticut,BE,Boston University,H,"W, 86-57",116.9,91.4,69.9,123.1,65.5,20,34.4,47.3,81.6,35.8,18.6,21.1,45.3,94.4,15
18,18,12/7/22,N,Connecticut,BE,Florida,A,"W, 75-54",116.7,76.4,69.8,107.5,57.8,21.5,28.6,15.5,77.4,34,17.2,19,52.8,99.2,10
19,19,2/4/23,C,Connecticut,BE,Georgetown,A,"W, 68-62",115.3,106,58.5,116.2,51.6,18.8,48.7,7.8,106,50,17.1,36.7,26.4,72.4,3
20,20,3/4/23,C,Connecticut,BE,Villanova,A,"W, 71-59",114.6,83.4,65.1,109.1,51.8,18.4,32.3,25,90.6,42.7,18.4,26.3,32.7,97.5,7
21,21,1/7/23,C,Connecticut,BE,Creighton,H,"W, 69-60",113.9,85,65.9,104.7,41.7,7.6,23.7,38.3,91,34.4,19.7,44.4,37.7,96.7,4
22,22,1/18/23,C,Connecticut,BE,Seton Hall,A,"L, 67-66",113.2,94.7,67.3,98.1,47.3,26.8,36.4,25,99.6,44.6,13.4,28.2,44.6,88.7,6
23,23,1/25/23,C,Connecticut,BE,Xavier,H,"L, 82-79",112.1,108.1,70,112.8,49.2,17.1,43.2,41,117.1,62.1,21.4,30.8,22.4,60.3,-9
24,24,12/20/22,C,Connecticut,BE,Georgetown,H,"W, 84-73",111.6,108.4,71,118.3,58.2,9.9,15.2,24.6,102.8,48.3,19.7,34.3,39,58.4,2
25,25,12/28/22,C,Connecticut,BE,Villanova,H,"W, 74-66",108.3,89.8,69.7,106.2,48.1,15.8,24.2,50.9,94.7,48,25.8,25,35.3,89.5,4
26,26,1/4/23,C,Connecticut,BE,Providence,A,"L, 73-61",107.9,103.6,60.8,100.3,40.5,13.2,41.3,30.2,120,44.9,14.8,41.2,71.4,61.3,-2
27,27,12/31/22,C,Connecticut,BE,Xavier,A,"L, 83-73",107.9,95.2,73.8,98.9,51.5,21.7,32.5,13.4,112.5,57.7,16.3,13.8,53.8,81,-2
28,28,11/7/22,N,Connecticut,BE,Stonehill,H,"W, 85-54",106.3,83,75.1,113.2,50,20,47.2,49.2,71.9,41.1,32,15.6,48.9,94.5,16
29,29,11/15/22,N,Connecticut,BE,Buffalo,H,"W, 84-64",106.2,85.2,77.2,108.8,49.2,19.4,36.8,44.4,82.9,47.4,23.3,15.2,22.4,92.6,11
30,30,2/18/23,C,Connecticut,BE,Seton Hall,H,"W, 64-55",105.3,82.1,66.8,95.8,46.2,27,43.8,42.3,82.4,41.5,21,21.9,28.3,94.6,6
31,31,12/17/22,C,Connecticut,BE,Butler,A,"W, 68-46",105.1,76.6,66.5,102.2,46.5,18,40.9,5.6,69.1,32.4,15,10,24.1,97.4,6
32,32,1/15/23,C,Connecticut,BE,St. John's,H,"L, 85-74",103.3,105.6,77.2,95.9,49.1,27.2,34.3,49.1,110.1,53.4,13,22.2,63.8,43.8,-2
33,33,2/11/23,C,Connecticut,BE,Creighton,A,"L, 56-53",97.5,84.4,60.5,87.6,37.7,21.5,40.9,6.2,92.6,44.8,18.2,26.7,35.4,84,-3
