#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/7/22,N,Cornell,Ivy,Miami FL,A,"L, 107-105",132.5,121.4,79.2,132.5,59.5,8.8,36.6,19,135,65.4,20.2,41.9,40,73.3,-8
2,2,1/21/23,C,Cornell,Ivy,Harvard,A,"L, 95-89",130.5,137.2,71.7,124.1,63.8,16.7,25.8,32.8,132.5,69.8,19.5,33.3,49.1,36.1,-3
3,3,12/22/22,N,Cornell,Ivy,Colgate,A,"W, 91-80",130.2,101.7,70.9,128.4,69,19.8,29.6,27.6,112.9,59.3,11.3,13.3,25.4,94.5,10
4,4,12/20/22,N,Cornell,Ivy,Lehigh,H,"W, 96-64",129.5,100.5,70.8,135.7,61.5,4.2,27.8,8.1,90.5,50,21.2,14.3,25.5,94.9,17
5,5,1/13/23,C,Cornell,Ivy,Yale,H,"W, 94-82",129.4,116.2,72.6,129.5,64.3,11,8.3,69.4,113,64.7,22,12.5,41.2,77.4,-6
6,6,1/16/23,C,Cornell,Ivy,Columbia,A,"W, 102-85",126.7,120.5,77,132.4,60.7,15.6,37.5,54.1,110.3,52.3,28.6,52.5,36.9,64.1,11
7,7,2/4/23,C,Cornell,Ivy,Penn,A,"L, 92-86",118.3,116.4,73.7,116.7,53.4,8.1,28.3,17.6,124.9,60.8,19,38.5,53.3,54.8,-2
8,8,12/29/22,N,Cornell,Ivy,Binghamton,H,"W, 86-70",115.8,109.9,69.3,124.1,58.6,13,30,39.7,101,56.2,28.9,41.4,21.4,64.7,8
9,9,2/3/23,C,Cornell,Ivy,Princeton,A,"L, 89-82",115,109.9,75.4,108.8,53.1,14.6,26.3,30.8,118.1,66,22.6,25,60,62.7,1
10,10,3/4/23,C,Cornell,Ivy,Columbia,H,"W, 87-73",114.1,110.1,72.9,119.9,63.6,17.9,28.6,30.5,100.6,56.5,22,15.6,29.6,60.2,13
11,11,11/22/22,N,Cornell,Ivy,Canisius,H,"W, 79-70",113.7,105.4,67.7,116.6,58.2,13.3,27.3,21.3,103.4,53.3,17.7,23.7,14.8,70.6,9
12,12,1/6/23,C,Cornell,Ivy,Penn,H,"W, 88-69",109.6,92.6,75.5,116.6,59,17.2,24.2,37.7,91.4,51.9,26.5,25.8,31.5,87.4,4
13,13,1/28/23,C,Cornell,Ivy,Brown,H,"W, 80-73",108.6,105.9,74.2,107.8,52.2,18.9,36.8,20.6,98.4,47.2,18.9,34,14.1,57.2,1
14,14,11/14/22,N,Cornell,Ivy,St. Francis PA,A,"W, 80-77",108.3,111.5,69.2,115.5,57.8,15.9,31.2,39.7,111.2,50.8,14.4,36.8,28.1,41.7,6
15,15,12/1/22,N,Cornell,Ivy,Delaware,A,"W, 74-67",107.4,105.9,66.1,112,54.8,15.1,32.4,16.1,101.4,56.1,27.2,34.5,5.3,54,-1
16,16,12/4/22,N,Cornell,Ivy,Lafayette,H,"W, 73-68",105.8,112.9,68.4,106.7,49.2,11.7,27.8,29.5,99.4,49.2,20.5,28.6,18.3,32.1,1
17,17,2/17/23,C,Cornell,Ivy,Dartmouth,H,"W, 95-83",104.9,107.1,75.3,112.1,56.2,16.5,27,51.6,97.9,53.4,26,22.9,45.8,44.1,2
18,18,1/7/23,C,Cornell,Ivy,Princeton,H,"L, 75-68",103.3,105.8,67.8,100.4,50.9,17.7,28.6,22.8,110.7,57.1,26.6,31,53.1,43.2,0
19,19,11/25/22,N,Cornell,Ivy,Monmouth,A,"W, 81-63",100.6,95.9,76,106.6,63.3,25,25.8,15,82.9,42.2,29,36.6,18.8,63.6,7
20,20,1/1/23,C,Cornell,Ivy,Dartmouth,A,"W, 74-63",100,94.2,71.2,103.9,49.2,19.7,29.7,30,88.5,52.6,28.1,25.8,7,66.5,3
21,21,2/25/23,C,Cornell,Ivy,Yale,A,"L, 76-58",96.7,106.6,66.3,87.5,46.9,19.6,15.2,34.7,114.6,61.8,19.6,19.2,35.3,24.6,-8
22,22,12/17/22,N,Cornell,Ivy,Syracuse,A,"L, 78-63",95.4,102.1,69.3,90.9,41.4,20.2,42.3,2.6,112.6,56,18.8,28.1,27.6,31.4,-2
23,23,11/7/22,N,Cornell,Ivy,Boston College,A,"L, 79-77",94.4,96.6,83.2,92.5,56.3,28.8,24.3,17.5,95,50,22.8,34.1,18.1,43.6,-3
24,24,3/11/23,CT,Cornell,Ivy,Yale,N,"L, 80-60",93.1,105.3,71.1,84.4,39.4,15.5,28.3,19.7,112.6,57.1,19.7,25,37.5,19.5,-7
25,25,2/11/23,C,Cornell,Ivy,Brown,A,"L, 80-66",89.1,113,75,88,43.1,24,27.5,39.7,106.7,63,21.3,17.2,35.2,6.1,-14
26,26,2/18/23,C,Cornell,Ivy,Harvard,H,"L, 73-56",89,118.8,64.9,86.3,39.8,23.1,27.8,42.9,112.4,55,15.4,23.1,50,3.5,-9
