#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/25/23,C,Creighton,BE,St. John's,H,"W, 104-76",139.3,104.3,75.3,138.1,64.9,9.3,26.7,31.3,100.9,50.7,15.9,28.2,20.9,96.5,9
2,2,3/1/23,C,Creighton,BE,Georgetown,H,"W, 99-59",137.2,86,70.1,141.3,69.7,14.3,30,31.1,84.2,35.6,10,23.9,22.7,99.5,25
3,3,1/3/23,C,Creighton,BE,Seton Hall,H,"W, 83-61",135.8,90,67.4,123.2,60.5,16.3,30,29.8,90.6,40.8,20.8,32.5,23.3,99.1,14
4,4,11/22/22,N,Creighton,BE,Arkansas,N,"W, 90-87",130.8,102.8,77.9,115.5,65.1,21.8,19.2,54.7,111.6,52.9,11.5,25,24.3,94.1,4
5,5,3/9/23,CT,Creighton,BE,Villanova,N,"W, 87-74",130.7,96.7,70.1,124.2,60.7,11.4,13.8,39.3,105.6,52.4,10,13.5,19.4,97,10
6,6,2/8/23,C,Creighton,BE,Seton Hall,A,"W, 75-62",129.6,100,62.9,119.2,75,30.2,35.3,29.5,98.5,48.2,7.9,14.7,25,95.2,2
7,7,11/10/22,N,Creighton,BE,North Dakota,H,"W, 96-61",127,92.2,69,139.1,59.5,15.9,53.8,14.9,88.4,53.7,20.3,6.7,11.1,97.6,19
8,8,11/21/22,N,Creighton,BE,Texas Tech,N,"W, 76-65",126.3,98.5,63.2,120.3,64.3,20.6,29.2,34.7,102.8,48.4,14.2,29.7,11.3,94.6,4
9,9,1/28/23,C,Creighton,BE,Xavier,H,"W, 84-67",126.2,88.8,68.1,123.4,63.3,17.6,25.9,15,98.4,51.6,13.2,18.8,6.5,98.3,8
10,10,1/11/23,C,Creighton,BE,Xavier,A,"L, 90-87",122.4,101.2,76.3,114,57.8,14.4,18.8,25,118,55.9,17,38.5,30.9,89.8,0
11,11,11/14/22,N,Creighton,BE,Holy Cross,H,"W, 94-65",121,100,72.9,128.9,67.2,12.3,29,26.6,89.1,46.8,16.5,13.2,16.1,89.9,18
12,12,1/17/23,C,Creighton,BE,Butler,A,"W, 73-52",119.7,87.9,63.8,114.3,52.3,14.1,38.2,10.9,81.4,41.4,11,8.1,8.6,97.2,7
13,13,12/22/22,C,Creighton,BE,Butler,H,"W, 78-56",118.2,95,66.4,117.4,64,22.6,34.8,40,84.3,43.9,15.1,12.1,12.3,92.5,5
14,14,3/4/23,C,Creighton,BE,DePaul,A,"W, 84-70",115,92.1,73.6,114.1,57.4,23.1,38.7,27.9,95.1,44.8,12.2,24.4,22.4,92.8,8
15,15,11/17/22,N,Creighton,BE,UC Riverside,H,"W, 80-51",114.5,82.8,65.5,122.1,59,10.7,28.1,21.3,77.8,37.9,13.7,19.5,9.7,97.7,10
16,16,12/12/22,N,Creighton,BE,Arizona St.,N,"L, 73-71",112.8,104,69.1,102.8,46,11.6,25,30.6,105.7,50.8,14.5,32.4,23.4,71.8,-1
17,17,2/18/23,C,Creighton,BE,St. John's,A,"W, 77-67",112.1,88.9,73.1,105.3,49.2,20.5,28.9,25.8,91.7,48.2,20.5,18.8,28.6,93.5,4
18,18,11/23/22,N,Creighton,BE,Arizona,N,"L, 81-79",111.4,96.7,74.7,105.8,54.2,12.1,11.8,32.2,108.5,56.6,17.4,24.2,10.3,83.6,-6
19,19,2/21/23,C,Creighton,BE,Marquette,H,"L, 73-71",111.2,93.7,68.6,103.5,57.4,21.9,19.4,22.2,106.4,52.6,11.7,20,34.5,87.7,1
20,20,2/25/23,C,Creighton,BE,Villanova,A,"L, 79-67",110.5,118.1,62.5,107.2,43.2,9.6,28.9,33.9,126.4,58.3,4.8,19.2,37,31.9,-11
21,21,12/25/22,C,Creighton,BE,DePaul,H,"W, 80-65",108.7,87.6,72.9,109.7,70,24.7,14.8,32,89.1,39.7,13.7,27.1,12.3,92.3,11
