#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Davidson,A10,Massachusetts,A,"W, 93-78",136,118.6,68.9,135,67.8,14.5,28,25.4,113.2,55.9,11.6,17.2,23.7,83,6
2,2,2/26/23,C,Davidson,A10,Duquesne,A,"W, 71-67",127.7,104.8,59.2,119.9,63.7,13.5,22.2,21.6,113.2,53.6,10.1,21.9,23.6,90.7,7
3,3,11/25/22,N,Davidson,A10,San Francisco,H,"W, 89-80",127.5,117.4,68.1,130.7,66.3,14.7,14.3,71.7,117.5,55.8,19.1,41.2,30,72,-2
4,4,2/22/23,C,Davidson,A10,St. Bonaventure,H,"W, 74-61",122.3,96.3,63.6,116.4,55.9,15.7,30.3,49,95.9,51.8,17.3,14.7,12.7,94,14
5,5,1/7/23,C,Davidson,A10,VCU,A,"L, 89-72",116.9,121.6,70.7,101.9,56.6,28.3,34.6,28.3,125.9,71.8,19.8,16.7,20,38.8,-8
6,6,2/11/23,C,Davidson,A10,Fordham,H,"L, 73-71",113.9,121.6,63.1,112.5,53.8,14.3,11.5,87.5,115.7,50,9.5,33.3,25.4,32,-3
7,7,2/18/23,C,Davidson,A10,Saint Joseph's,H,"W, 76-75",111.8,116.5,66.2,114.7,54.7,15.1,25.8,49.1,113.2,57.4,18.1,27.6,27.8,38.4,-3
8,8,1/31/23,C,Davidson,A10,VCU,H,"L, 61-59",110.5,100.3,59.9,98.5,51,23.4,29.6,27.1,101.9,40.3,10,41,25.8,75.3,3
9,9,11/9/22,N,Davidson,A10,Wright St.,A,"W, 102-97",109,108.8,72.9,111.9,59.7,18.7,23.7,53.7,106.5,48.9,13.2,32.7,17,50.6,-6
10,10,1/27/23,C,Davidson,A10,Saint Louis,H,"L, 74-70",108.7,108.5,64.6,108.3,45.5,6.2,28.9,25.8,114.5,60.4,17,24,24.5,50.8,-1
11,11,1/14/23,C,Davidson,A10,George Mason,A,"L, 67-65",108.1,103.7,64.7,100.5,50.9,15.5,16.1,20.4,103.6,51.9,18.6,28.1,31.5,61.7,4
12,12,1/4/23,C,Davidson,A10,Loyola Chicago,H,"W, 80-57",106.8,90,69.3,115.4,59.8,18.8,26.1,43.1,82.2,48,30.3,26.7,25.5,87.8,7
13,13,3/8/23,CT,Davidson,A10,St. Bonaventure,N,"W, 65-54",106,90.5,62.5,104,43.3,8,27.8,25,86.4,45.5,19.2,22.9,10.7,86.2,6
14,14,1/17/23,C,Davidson,A10,Dayton,A,"L, 68-61",104.7,98.4,64,95.4,44.5,20.3,38.5,7.8,106.3,60.9,21.9,20.8,39.1,67.2,-2
15,15,11/17/22,N,Davidson,A10,College of Charlesto,A,"L, 89-66",104.5,116,70,94.3,47.1,24.3,32.4,51,127.1,54.2,17.1,47.5,16.7,23.1,-9
16,16,11/20/22,N,Davidson,A10,Old Dominion,N,"W, 66-61",104.3,95.8,64.6,102.1,51.1,21.7,25,48.9,94.4,42,12.4,36.4,10.1,72.5,5
17,17,3/1/23,C,Davidson,A10,George Washington,H,"L, 75-70",103.3,109.5,64.7,108.3,48.4,12.4,24.3,16.1,116,51.8,7.7,21.9,31.6,34,3
18,18,11/29/22,N,Davidson,A10,Charlotte,H,"L, 68-66",102.5,101.7,58.1,100.9,51.9,13.8,9.4,32.7,104,54.3,15.3,24.2,17.2,52.2,1
19,19,3/4/23,C,Davidson,A10,Rhode Island,A,"W, 68-54",102.2,88.5,66.6,102.1,44.5,12,17.1,38.2,81.1,46.9,30,24.1,22.9,83.9,5
20,20,12/3/22,N,Davidson,A10,Delaware,A,"L, 69-67",100.1,113.4,63.7,105.1,46.9,7.8,21.6,12.5,108.3,54.2,11,29.4,23.7,19.2,-7
21,21,1/24/23,C,Davidson,A10,La Salle,A,"W, 64-57",99.5,93.7,62.2,103,50,17.7,28.1,21.8,91.7,38.4,22.5,42.1,28.6,66.6,1
22,22,11/13/22,N,Davidson,A10,VMI,H,"W, 75-71",99.5,110.1,68.1,110.2,52.5,11.8,19.4,28.8,104.3,53.8,16.2,17.9,35.8,23.9,7
23,23,12/17/22,N,Davidson,A10,Purdue,N,"L, 69-61",99.4,87.5,68.4,89.2,45.1,13.2,18.4,18,100.9,35.3,14.6,41.5,63.8,81.3,-4
24,24,11/18/22,N,Davidson,A10,South Carolina,N,"W, 69-60",98.8,92.5,67.2,102.7,52.6,19.3,25,15.5,89.3,44.6,23.8,33.3,26.8,67.9,3
25,25,2/15/23,C,Davidson,A10,Saint Louis,A,"L, 78-65",96.7,101.7,70.1,92.7,43.3,17.1,26.3,25,111.3,53.4,18.5,28.1,28.8,36,-5
26,26,12/31/22,C,Davidson,A10,Dayton,H,"L, 69-55",96.2,108,60.9,90.3,40.4,4.9,12.8,28.1,113.3,51.1,11.5,32.1,63.8,20.8,-7
27,27,12/7/22,N,Davidson,A10,Western Carolina,H,"W, 72-64",95.1,94.6,71.5,100.7,50.9,21,32.4,41.8,89.5,48.2,23.8,24.2,34.5,51.3,3
28,28,3/9/23,CT,Davidson,A10,VCU,N,"L, 71-53",94.2,107.8,64.2,82.6,39.8,18.7,24.3,27.8,110.7,67,18.7,4.2,27.7,17.5,-8
29,29,12/21/22,N,Davidson,A10,Northeastern,H,"L, 73-70",92,113.3,71.1,98.5,41.9,16.9,35.9,37.1,102.7,55.1,23.9,30.3,18.6,8.4,-4
30,30,12/28/22,C,Davidson,A10,Fordham,A,"W, 57-43",89.7,63.7,67.5,84.4,37.5,23.7,35.9,50,63.7,27.8,10.4,16,22.2,98.1,10
31,31,1/11/23,C,Davidson,A10,Richmond,H,"L, 61-57",87.5,99.7,64.3,88.6,42,14,17.9,25,94.8,54.4,20.2,9.7,42.2,18.3,-5
