#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/11/23,CT,Dayton,A10,Fordham,N,"W, 78-68",133.7,119.1,59.6,130.8,66.7,15.1,30,37.5,114,52.7,13.4,31.2,21.4,79.2,3
2,2,1/28/23,C,Dayton,A10,Richmond,H,"W, 86-60",130.3,97.9,65.1,132,68.3,12.3,20,6.7,92.1,46.7,13.8,17.6,8.3,96.4,12
3,3,2/28/23,C,Dayton,A10,La Salle,H,"W, 77-53",123.7,96.3,58.4,131.8,66,13.7,29.6,22.6,90.7,37.7,20.5,42.9,26.3,94.7,10
4,4,1/10/23,C,Dayton,A10,Fordham,A,"W, 82-58",123.2,85.2,69.6,117.9,71.1,23,5.3,51.1,83.4,42.1,21.6,33.3,17.5,98.6,13
5,5,2/25/23,C,Dayton,A10,George Mason,H,"L, 74-69",121.6,130.2,58.9,117.2,66.2,18.7,20.8,67.5,125.7,66.3,13.6,15,53.5,31.3,-1
6,6,11/25/22,N,Dayton,A10,BYU,N,"L, 79-75",119.9,105.6,61.5,108.3,49.1,18.8,34.2,43.1,114.1,55.6,15.9,33.3,25.8,81.1,8
7,7,12/20/22,N,Dayton,A10,Alcorn St.,H,"W, 88-46",118.7,82.3,66,133.3,55.8,15.1,53.3,43.3,69.7,29.4,15.1,34.6,17.6,98.5,13
8,8,1/4/23,C,Dayton,A10,Saint Joseph's,H,"W, 76-56",118.3,97.5,61.2,124.3,67.3,18,30.4,30.6,91.6,35.2,11.4,34.1,20.3,90.2,6
9,9,2/22/23,C,Dayton,A10,Massachusetts,A,"W, 72-54",117.5,89.7,62.4,115.5,58.5,12.8,14.3,24.5,86.6,37.5,14.4,22.2,34.6,95.7,10
10,10,1/31/23,C,Dayton,A10,Loyola Chicago,H,"W, 85-81",117.1,120.9,62,121.9,57.4,11.5,26.7,57.4,116.2,60.2,20.1,25.8,20.3,40.7,2
11,11,2/10/23,C,Dayton,A10,Saint Louis,H,"W, 70-56",115.6,90.5,59.8,117.1,57.6,15.1,25.9,56.5,93.7,42.5,13.4,23.5,24.5,94.4,7
12,12,12/31/22,C,Dayton,A10,Davidson,A,"W, 69-55",114.2,87.7,60.9,113.3,51.1,11.5,32.1,63.8,90.3,40.4,4.9,12.8,28.1,95.4,7
13,13,12/10/22,N,Dayton,A10,UNC Asheville,H,"W, 79-56",114.1,84.7,68.9,114.6,60.3,26.1,46.4,22.4,81.3,38.5,14.5,21.4,23,96.9,13
14,14,12/3/22,N,Dayton,A10,Southeastern Louisia,H,"W, 80-74",113.4,117.1,65.3,122.4,66.3,19.9,29.2,79.1,113.2,55.5,13.8,21.2,32.7,40.9,3
15,15,1/25/23,C,Dayton,A10,Rhode Island,A,"L, 75-70",111.4,121.4,64.9,107.8,56.7,18.5,23.3,34.6,115.5,52,16.9,32.1,52,27.2,-2
16,16,12/17/22,N,Dayton,A10,Wyoming,N,"W, 66-49",109.4,81.3,59.3,111.3,65.6,23.6,22.7,26.7,82.6,40.9,15.2,20,7.3,96.8,9
17,17,11/11/22,N,Dayton,A10,SMU,H,"W, 74-62",109.3,95.6,67.2,110.1,48.2,17.8,37.8,48.2,92.2,38.5,13.4,30.2,21.5,82.3,6
18,18,2/7/23,C,Dayton,A10,VCU,A,"W, 62-58",109,90.4,63.5,97.6,51,26.8,34.4,36,91.3,42.9,14.2,28.6,35.7,89.6,1
19,19,3/3/23,C,Dayton,A10,Saint Louis,A,"L, 65-61",105.7,104,58.5,104.2,43.1,6.8,34.1,12.3,111,47.5,13.7,35.3,15.3,54.6,-4
20,20,1/13/23,C,Dayton,A10,VCU,H,"L, 63-62",105.4,92.8,66.4,93.3,53.1,27.1,28.6,35.4,94.8,50,19.6,27.8,13.3,81.2,6
21,21,12/28/22,C,Dayton,A10,Duquesne,H,"W, 69-57",104.6,82.4,67.1,102.9,54.2,28.3,41.2,13.6,85,49.1,20.9,20.6,12.5,93.9,9
22,22,1/17/23,C,Dayton,A10,Davidson,H,"W, 68-61",103.9,95.5,64,106.3,60.9,21.9,20.8,39.1,95.4,44.5,20.3,38.5,7.8,72.6,2
23,23,2/4/23,C,Dayton,A10,St. Bonaventure,A,"L, 68-59",100.9,112,61.5,95.9,42.9,14.6,32.1,30.4,110.5,52.9,11.4,29,36.5,23.2,-4
24,24,11/24/22,N,Dayton,A10,North Carolina St.,N,"L, 76-64",100.2,98.6,68.8,93,50.9,26.2,32.3,30.2,110.4,54.4,23.3,41.9,33.3,54.8,-3
