#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Delaware St.,MEAC,Howard,H,"L, 86-85",109.9,120.4,65.9,114.7,48.5,13.5,34.1,40.3,116,56.7,24.3,44.4,40,26.1,-3
2,2,1/14/23,C,Delaware St.,MEAC,Maryland Eastern Sho,A,"L, 68-66",109.8,117.3,63.8,103.5,46.1,28.2,55.6,49,106.6,59.8,18.8,28,23.5,32,1
3,3,12/7/22,N,Delaware St.,MEAC,Delaware,A,"L, 77-69",105.7,114,66.5,103.8,48.4,19.5,34.2,12.5,115.8,47.3,9,29.7,58.2,29.5,0
4,4,1/23/23,C,Delaware St.,MEAC,South Carolina St.,A,"W, 88-85",101.3,116.9,69.4,112.7,59.3,19.2,18.8,59.3,108.9,55.6,26.9,39.5,33.9,16.2,-5
5,5,1/28/23,C,Delaware St.,MEAC,Morgan St.,H,"W, 64-62",97.9,107.7,64.4,99.3,46,20.2,44.4,15.9,96.2,50.9,26.4,36.1,28.3,25,3
6,6,11/14/22,N,Delaware St.,MEAC,Villanova,A,"L, 60-50",97.8,90.7,57.4,87.1,51.1,24.4,16,8.9,104.6,42.4,10.5,20,54.3,70.4,2
7,7,1/9/23,C,Delaware St.,MEAC,Norfolk St.,H,"L, 78-65",97,122.2,63.6,102.3,47.8,22,31.4,63,122.7,51.9,14.2,30.3,49.1,6.6,-7
8,8,2/27/23,C,Delaware St.,MEAC,Coppin St.,H,"L, 82-72",96.7,132.5,66.9,107.6,49.1,14.9,28.6,50.9,122.6,72.3,19.4,8,44.7,2.6,-6
9,9,11/30/22,N,Delaware St.,MEAC,St. Francis NY,A,"L, 81-73",95.3,130.5,71.9,101.5,43.5,18.1,47.6,29,112.6,51.5,13.9,39,39.4,2.6,-8
10,10,1/30/23,C,Delaware St.,MEAC,Coppin St.,A,"W, 71-66",92.1,102.9,69.3,102.4,44.6,17.3,37.5,23.1,95.2,46.4,14.4,13.5,36.4,21.7,-1
11,11,1/7/23,C,Delaware St.,MEAC,Howard,A,"L, 84-64",92.1,118.5,70.1,91.3,51.9,31.4,34.4,24.5,119.8,69.6,28.5,40,37.3,5.2,-10
12,12,11/20/22,N,Delaware St.,MEAC,Connecticut,A,"L, 95-60",90.2,110.9,74.2,80.9,40.4,24.3,19.4,50,128.1,67.2,17.5,33.3,31.1,8.5,-22
13,13,2/20/23,C,Delaware St.,MEAC,South Carolina St.,H,"W, 69-68",88.8,104.6,69.8,98.8,46.6,24.4,38.5,30.5,97.4,43.2,14.3,31.8,25.8,13.2,1
14,14,1/21/23,C,Delaware St.,MEAC,North Carolina Centr,A,"L, 74-55",88.4,111.2,67.3,81.8,44.9,17.8,20,10.2,110,49,20.8,39.4,63.5,6.7,-9
15,15,3/8/23,CT,Delaware St.,MEAC,North Carolina Centr,N,"L, 89-59",87.9,120.5,74,79.7,41.2,23,23.1,33.3,120.2,63.9,17.6,27.3,31.1,2.6,-11
16,16,11/26/22,N,Delaware St.,MEAC,Liberty,A,"L, 80-53",87.8,114.1,65.1,81.4,41.2,26.1,28.6,27.5,122.8,63.6,12.3,25,27.1,4.7,-17
17,17,11/7/22,N,Delaware St.,MEAC,Virginia Tech,A,"L, 95-57",87.6,121.2,69.4,82.1,41.9,17.3,18.4,11.3,136.9,66.7,14.4,39.3,33.3,2.3,-18
18,18,2/7/23,N,Delaware St.,MEAC,Chicago St.,H,"W, 66-60",85.9,91.5,69.2,95.4,47.5,14.5,22.9,18,86.8,51,24.6,11.8,34.7,32.7,2
19,19,11/16/22,N,Delaware St.,MEAC,Columbia,A,"L, 70-65",84.6,108.3,72,90.2,57.1,29.2,28.6,10.7,97.2,48,22.2,27.3,64,5.5,-6
20,20,2/4/23,C,Delaware St.,MEAC,Morgan St.,N,"L, 75-65",82.8,108.2,77.5,83.9,44.5,27.1,30.6,45.5,96.8,42.9,14.2,34.7,19.5,4.4,-6
21,21,12/3/22,N,Delaware St.,MEAC,Longwood,H,"L, 75-49",82.2,111.5,64.8,75.6,40.6,32.4,36.6,26.4,115.7,64.1,23.1,29.2,45.7,2.9,-6
22,22,12/17/22,N,Delaware St.,MEAC,Drexel,A,"L, 85-52",82.1,128.6,67.2,77.4,43.6,32.7,29,31.9,126.5,62.7,19.3,38.2,14.3,0.6,-18
23,23,2/18/23,C,Delaware St.,MEAC,North Carolina Centr,H,"L, 66-58",82,96.7,72.4,80.1,37.5,22.1,23.7,37.5,91.2,53.4,26.2,14.8,61.4,13,-5
24,24,12/20/22,N,Delaware St.,MEAC,Wagner,H,"L, 58-51",81.8,102.1,62.9,81.1,47.9,27,19.2,17,92.2,39.5,22.3,41.5,33.3,7.3,-1
25,25,2/13/23,C,Delaware St.,MEAC,Norfolk St.,A,"L, 97-58",79.2,116.6,76.9,75.4,40.9,29.9,30.8,36.4,126.1,66.1,20.8,21.7,42.9,1.2,-13
26,26,3/2/23,C,Delaware St.,MEAC,Maryland Eastern Sho,H,"L, 64-58",79,95,76,76.3,46.3,34.2,29.7,31.5,84.2,43,17.1,15,40.4,10.7,-2
27,27,12/29/22,N,Delaware St.,MEAC,Penn St.,A,"L, 60-46",74,79.6,65.6,70.2,37.5,24.4,25.6,10.7,91.5,44.2,16.8,23.1,15,30.2,-7
