#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/16/22,N,Delaware,CAA,Princeton,A,"W, 76-69",116,94.8,68.4,111.2,57.5,14.6,20,41.5,100.9,54.2,23.4,30.3,15.3,91.1,7
2,2,11/27/22,N,Delaware,CAA,Penn,A,"L, 86-73",113.7,118.7,66.4,109.9,49.2,13.6,35,23.4,129.5,65.5,13.6,23.1,20.7,37.8,-3
3,3,1/11/23,C,Delaware,CAA,Towson,H,"W, 72-59",113,90.2,63.5,113.4,56.7,17.3,17.4,51.1,92.9,41.2,20.5,34.1,29.8,93,9
4,4,2/18/23,C,Delaware,CAA,UNC Wilmington,H,"W, 75-66",112,97.6,69.4,108.1,62,20.2,16.1,42,95.2,52.7,23.1,21.9,17.9,83,8
5,5,12/3/22,N,Delaware,CAA,Davidson,H,"W, 69-67",111.1,99.9,63.7,108.3,54.2,11,29.4,23.7,105.1,46.9,7.8,21.6,12.5,77.2,7
6,6,1/19/23,C,Delaware,CAA,William & Mary,H,"W, 80-53",108.2,93.5,64.7,123.6,63.2,17,25,19.3,81.9,51.1,24.7,13.8,28.9,84.3,8
7,7,1/28/23,C,Delaware,CAA,Northeastern,H,"W, 81-78",107.9,116.1,72.1,112.4,54.6,12.5,14.3,57.4,108.2,54.2,13.9,24.3,36.7,30.2,4
8,8,2/25/23,C,Delaware,CAA,Elon,A,"W, 70-54",107.3,100.4,59.8,117,54.7,11.7,29,34,90.3,47.8,20.1,17.2,37.8,68.1,3
9,9,12/29/22,C,Delaware,CAA,Hofstra,H,"L, 87-73",106.7,121.4,70.1,104.1,49,15.7,18.8,55.8,124.1,65.7,15.7,22.2,40.7,18.5,-10
10,10,2/4/23,C,Delaware,CAA,College of Charlesto,H,"L, 84-67",106.4,116.1,67.8,98.8,43.2,17.7,28.6,27.1,123.9,53,13.3,41.9,28.4,27,-6
11,11,12/11/22,N,Delaware,CAA,Siena,H,"W, 75-64",106.1,102,68.2,110,56.1,13.2,10.7,57.1,93.9,47.2,23.5,31.2,35.8,61.2,2
12,12,11/11/22,N,Delaware,CAA,Air Force,A,"L, 75-71",104.9,110.7,67.6,105.1,40.4,11.8,29.3,52.6,111,54.7,19.2,30.3,47.2,35.1,-7
13,13,12/7/22,N,Delaware,CAA,Delaware St.,H,"W, 77-69",104.2,123.6,66.5,115.8,47.3,9,29.7,58.2,103.8,48.4,19.5,34.2,12.5,12.3,0
14,14,2/13/23,C,Delaware,CAA,Stony Brook,H,"W, 71-60",104.1,98,65.6,108.2,57.8,18.3,17.2,27.5,91.4,42.7,15.2,17.6,29.1,66.5,12
15,15,3/4/23,CT,Delaware,CAA,Northeastern,N,"W, 77-74",103.7,110.6,63.6,107.6,42.1,9.8,32.5,47.6,103.4,48.2,22.4,35.5,41.1,32.4,2
16,16,2/16/23,C,Delaware,CAA,Towson,A,"L, 95-72",102.7,124.9,72,100,51.7,19.4,25,27.6,132,75.8,25,45.5,8.1,9.5,-12
17,17,12/21/22,N,Delaware,CAA,Ohio,H,"L, 95-76",102.6,128.5,71.3,106.6,50,11.2,22,28.1,133.3,59.5,12.6,35.5,33.3,7,-11
18,18,2/23/23,C,Delaware,CAA,North Carolina A&T,A,"W, 73-71",101.1,112,68.1,107.2,46.2,10.3,30,23.1,104.3,46.8,13.2,26.8,30.6,23.5,-2
19,19,11/18/22,N,Delaware,CAA,Duke,A,"L, 92-58",99.8,110.6,71.5,81.1,42.7,19.6,16.2,30.9,128.6,54.4,14,45.7,30.9,23.4,-8
20,20,11/25/22,N,Delaware,CAA,Colgate,N,"W, 72-68",99.3,92.3,69.9,102.9,53.4,17.2,20.6,22,97.2,51.7,18.6,25,20,70,-2
21,21,1/21/23,C,Delaware,CAA,Drexel,A,"L, 77-74",99.3,103.5,68.5,96.1,49.2,20.8,28.6,23.4,100,55.8,22.1,11.5,44.2,38.5,-3
22,22,1/7/23,C,Delaware,CAA,College of Charlesto,A,"L, 75-64",98.8,97.2,70.9,90.2,46.7,18.3,23.7,21.3,105.7,41.8,15.5,38.6,54.1,54.6,-4
23,23,12/19/22,N,Delaware,CAA,Rider,A,"W, 60-59",98.8,100.9,58.3,102.9,49.1,13.7,23.5,20.4,101.2,47.5,13.7,37.1,8.3,44,-2
24,24,12/1/22,N,Delaware,CAA,Cornell,H,"L, 74-67",98,104.3,66.1,101.4,56.1,27.2,34.5,5.3,112,54.8,15.1,32.4,16.1,32.9,1
25,25,1/26/23,C,Delaware,CAA,Hampton,A,"L, 67-66",97.3,111.1,63,104.8,49,20.6,36.7,49,106.3,49.1,11.1,28.1,26.8,17.9,3
26,26,1/16/23,C,Delaware,CAA,Northeastern,A,"L, 59-58",95.6,98.4,61.2,94.7,50,18,16.7,24.5,96.4,46.4,35.9,58.8,18.2,41.7,8
27,27,11/26/22,N,Delaware,CAA,Hartford,N,"W, 78-50",94.9,87.4,69.9,111.5,50.9,20,36.4,44.6,71.5,42.6,25.7,11.4,40.4,72,11
28,28,2/2/23,C,Delaware,CAA,Monmouth,A,"L, 70-62",91.7,112,67.8,91.4,43.1,23.6,27.3,45.1,103.2,41.4,13.3,35,50,9.1,1
29,29,1/14/23,C,Delaware,CAA,Hofstra,A,"L, 86-62",90.2,108,74.3,83.4,40,24.2,28.6,30,115.7,56.3,17.5,30.3,27,11.3,-12
30,30,3/5/23,CT,Delaware,CAA,Towson,N,"L, 86-60",85.1,123.6,68.6,87.4,41.9,10.2,13.2,21,125.3,64,14.6,30.8,29.8,1.4,-20
31,31,2/8/23,C,Delaware,CAA,Drexel,H,"L, 58-54",84,96.9,64.2,84.2,43,18.7,27.8,14,90.4,47.9,26.5,27.6,42.6,16.1,-4
32,32,12/31/22,C,Delaware,CAA,Elon,H,"W, 57-52",81.1,87.8,64.8,87.9,43.5,21.6,27,27.8,80.2,39.4,24.7,23.5,42.6,28.6,1
