#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/14/23,C,Detroit,Horz,Robert Morris,H,"W, 87-75",133.6,130.8,63.3,137.4,68.2,14.2,31,29.1,118.5,52.7,14.2,29.4,33.9,56,4
2,2,11/21/22,N,Detroit,Horz,Bryant,N,"L, 98-88",131.5,148.7,66,133.3,65.8,16.7,30,29.8,148.4,64.1,13.6,51.4,32.8,19.5,-4
3,3,2/17/23,C,Detroit,Horz,Oakland,A,"W, 96-74",121.4,102.2,74.1,129.6,69.2,20.3,41.7,26.7,99.9,46.7,14.9,17.6,32.8,87.9,11
4,4,11/16/22,N,Detroit,Horz,Ohio,H,"W, 88-74",120.5,96.5,71.8,122.5,61.2,16.7,30,36.2,103,50,20.9,33.3,18.8,92.8,13
5,5,2/9/23,C,Detroit,Horz,Milwaukee,A,"L, 94-89",120.3,137.7,70.9,125.6,48.6,18.3,58.1,34.3,132.6,69.1,19.8,33.3,47.3,17.5,-9
6,6,12/10/22,N,Detroit,Horz,Charlotte,A,"L, 82-80",119.4,115,61.3,116.1,55.3,17.4,35.1,15.2,119,58.9,17.4,28.6,30.4,60.7,-2
7,7,11/23/22,N,Detroit,Horz,Charlotte,H,"W, 70-49",118.9,85.4,58.2,120.3,62,15.5,28.6,28,84.2,40,22.3,29.4,24,97.8,10
8,8,2/4/23,C,Detroit,Horz,Fort Wayne,H,"W, 85-52",116,89.3,67.2,126.4,58.1,10.4,33.3,16.2,77.3,42,20.8,20.5,16.1,95.3,10
9,9,1/6/23,C,Detroit,Horz,Wright St.,A,"L, 90-85",115.4,114.3,76,111.8,50.7,10.5,28.9,18.9,118.4,51.4,10.5,32.5,37.7,52.6,5
10,10,1/21/23,C,Detroit,Horz,IUPUI,A,"W, 89-77",113.7,123.7,68.5,129.9,67.3,14.6,22.2,32.7,112.4,60.8,29.2,44,39.2,27.5,3
11,11,1/8/23,C,Detroit,Horz,Northern Kentucky,A,"L, 78-76",113.4,111.3,62,108.9,52.5,20.1,31.4,27.1,111.8,48.4,15.8,37.1,33.9,55.3,0
12,12,1/27/23,C,Detroit,Horz,Robert Morris,A,"L, 85-77",112.9,123.5,71,108.5,57.3,19.7,31.4,16.1,119.8,64,19.7,17.9,22.8,26.4,-1
13,13,2/28/23,CT,Detroit,Horz,Fort Wayne,H,"W, 81-68",112.1,102.9,70.1,115.5,55.7,17.1,30.3,26.2,97,46.7,18.5,28.9,26.7,72.9,8
14,14,1/12/23,C,Detroit,Horz,Youngstown St.,H,"L, 84-79",111.6,122.2,66.2,119.4,52.2,7.6,32.4,17.9,126.9,62.5,9.1,21.2,23.3,26.1,-4
15,15,2/2/23,C,Detroit,Horz,Cleveland St.,H,"W, 85-67",111.3,95.5,73.6,115.5,57.3,23.1,35.5,49.1,91,50.9,27.2,33.3,44.4,85.4,6
16,16,12/31/22,C,Detroit,Horz,Milwaukee,H,"L, 84-81",109.2,128,69.6,116.3,51.5,11.5,30.8,22.4,120.6,61,14.4,23.3,25.4,13.9,-6
