#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/23/22,N,Drexel,CAA,Indiana St.,N,"L, 85-81",126.3,122.7,65.8,123,62.3,12.2,25.8,26.3,129.1,61.2,16.7,34.5,31,58.3,-3
2,2,3/5/23,CT,Drexel,CAA,UNC Wilmington,N,"L, 73-68",119.3,122.2,60.3,112.8,54,13.3,30,46,121.1,60.8,13.3,23.1,31.4,43.1,1
3,3,12/17/22,N,Drexel,CAA,Delaware St.,H,"W, 85-52",115.7,91.2,67.2,126.5,62.7,19.3,38.2,14.3,77.4,43.6,32.7,29,31.9,93.9,18
4,4,1/14/23,C,Drexel,CAA,Northeastern,A,"W, 76-55",112,89.2,65.8,115.5,56.9,15.2,30.3,27.6,83.6,41.5,19.8,13.8,44.7,93.2,12
5,5,1/19/23,C,Drexel,CAA,Hampton,H,"W, 79-73",111,122,64.2,123,59.8,9.3,22.2,49,113.6,50.9,10.9,23.3,27.6,25.3,6
6,6,2/23/23,C,Drexel,CAA,Northeastern,H,"W, 75-48",110.9,88.9,61.9,121.1,61.5,17.8,30.4,26.9,77.5,36,16.1,27.5,19.3,92.7,11
7,7,11/30/22,N,Drexel,CAA,Lafayette,H,"W, 64-56",109.3,108.4,58.4,109.6,53.8,20.6,40,15.1,95.9,54,20.6,19.2,4,52.3,4
8,8,1/12/23,C,Drexel,CAA,Stony Brook,A,"L, 67-66",109,125.6,57.9,114,57.7,12.1,24.2,26.9,115.7,56.1,22.4,38.5,26.5,16.4,-1
9,9,11/27/22,N,Drexel,CAA,Temple,A,"L, 73-61",107.2,111.6,61.3,99.6,50,14.7,16.7,13,119.1,65.6,18,13.6,22.9,38.5,-4
10,10,2/4/23,C,Drexel,CAA,Monmouth,A,"L, 69-67",106.2,121.9,62.3,107.6,56.4,22.5,32.1,46.8,110.8,48.3,8,28.9,28.3,16.9,4
11,11,11/11/22,N,Drexel,CAA,Old Dominion,H,"W, 71-59",105.8,95.8,65.6,108.2,54.3,19.8,30,63.8,89.9,37.7,13.7,37.5,32.3,75.7,4
12,12,2/2/23,C,Drexel,CAA,College of Charlesto,H,"W, 70-69",103.9,98.1,69,101.5,50,17.4,16.7,52,100,46,14.5,28.9,25.8,66,-5
13,13,2/11/23,C,Drexel,CAA,Towson,H,"W, 73-66",103.1,96.7,60.9,106.6,50,26.3,42.3,39.6,96.4,44.9,16.1,32.4,32.2,67.6,1
