#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/9/23,CT,Duke,ACC,Pittsburgh,N,"W, 96-69",147.9,96.4,65.5,146.6,71.6,12.2,33.3,31,105.4,47.1,15.3,29,46.2,99.3,17
2,2,1/28/23,C,Duke,ACC,Georgia Tech,A,"W, 86-43",130,74.9,64,134.4,63.1,14.1,43.3,24.6,67.2,35.5,17.2,14.3,10.9,99.8,15
3,3,3/10/23,CT,Duke,ACC,Miami FL,N,"W, 85-78",129.1,104.5,66.5,127.8,62.7,18,36,49,117.3,53.2,9,22.9,24.2,91.9,3
4,4,2/25/23,C,Duke,ACC,Virginia Tech,H,"W, 81-65",127.2,92.9,64.3,125.9,63.2,14,28,32.1,101,47.4,14,21.1,28.1,97.4,12
5,5,11/21/22,N,Duke,ACC,Bellarmine,H,"W, 74-57",121.5,102.9,57.5,128.6,58.2,13.9,36.7,20,99.1,48.1,12.2,18.8,11.1,87.1,10
6,6,12/31/22,C,Duke,ACC,Florida St.,H,"W, 86-67",121.4,102.5,67.4,127.5,60.5,13.3,34.5,35.1,99.4,46.9,19.3,18.5,53.1,87.4,9
7,7,2/18/23,C,Duke,ACC,Syracuse,A,"W, 77-55",120.4,86.4,62.3,123.6,66.4,22.5,40,7.3,88.3,40,19.3,26.3,25.5,97.8,9
8,8,1/23/23,C,Duke,ACC,Virginia Tech,A,"L, 78-75",119.7,111.6,63.9,117.4,55.8,11,29,20,122.1,67.3,17.2,19.2,38.8,69.1,-3
9,9,12/3/22,C,Duke,ACC,Boston College,H,"W, 75-59",119.6,97.8,62.7,119.6,60.4,15.9,26.9,24.5,94.1,41.4,14.3,35.9,14.1,91,9
10,10,2/20/23,C,Duke,ACC,Louisville,H,"W, 79-62",119.3,110,60.7,130.3,56.8,9.9,38.7,30.5,102.2,51,19.8,30,19.2,71.8,6
11,11,11/30/22,N,Duke,ACC,Ohio St.,H,"W, 81-72",118.4,95.8,69.3,116.8,50,18.7,40.6,54.5,103.8,50,23.1,36.4,40,91.9,5
12,12,12/10/22,N,Duke,ACC,Maryland Eastern Sho,H,"W, 82-55",116.8,91.3,70.6,116.2,58.3,26.9,48.3,21.7,77.9,47.3,25.5,15.2,3.6,94.4,13
13,13,11/18/22,N,Duke,ACC,Delaware,H,"W, 92-58",116.4,92.2,71.5,128.6,54.4,14,45.7,30.9,81.1,42.7,19.6,16.2,30.9,93.6,8
14,14,2/28/23,C,Duke,ACC,North Carolina St.,H,"W, 71-67",114.5,94.8,64.8,109.6,43.6,15.4,38.9,52.7,103.4,44.1,9.3,30.2,11.8,89.8,4
15,15,11/25/22,N,Duke,ACC,Xavier,N,"W, 71-64",114,85.4,65.5,108.4,54.6,16.8,29,35.2,97.7,45.2,22.9,29.4,36.5,96.5,5
16,16,11/7/22,N,Duke,ACC,Jacksonville,H,"W, 71-44",112.9,81.8,59.8,118.7,54.2,20.1,47.1,18.6,73.6,36.8,18.4,20,9.4,97.6,11
17,17,1/31/23,C,Duke,ACC,Wake Forest,H,"W, 75-73",111.3,96.1,69.8,107.5,55.6,20.1,29,37,104.6,44.5,12.9,25,26.6,84.5,6
18,18,12/6/22,N,Duke,ACC,Iowa,N,"W, 74-62",109.3,78.8,67.9,109,50,13.3,29.7,22.2,91.3,42.1,10.3,20.9,23.8,97.7,8
19,19,1/21/23,C,Duke,ACC,Miami FL,H,"W, 68-66",108.8,93.1,63.1,107.7,47.6,15.8,39,24.2,104.6,42.9,9.5,31.7,23.8,85.8,2
20,20,11/11/22,N,Duke,ACC,USC Upstate,H,"W, 84-38",107.6,63.7,72.2,116.4,49.3,18,50,38.2,52.7,34.3,31.9,17.9,3.7,99.8,17
21,21,3/11/23,CT,Duke,ACC,Virginia,N,"W, 59-49",107.4,74.8,61.3,96.3,46.7,18,17.9,48.9,80,37.5,19.6,20,35.4,98.4,7
22,22,1/14/23,C,Duke,ACC,Clemson,A,"L, 72-64",106.9,96.9,67.1,95.5,40.5,16.4,35.7,28.6,107.4,48.3,13.4,29.4,30.5,75.6,0
23,23,1/7/23,C,Duke,ACC,Boston College,A,"W, 65-64",106,95.7,65.2,99.7,45.3,23,34.4,35.8,98.2,46,13.8,28.9,11.1,76.4,5
24,24,2/11/23,C,Duke,ACC,Virginia,A,"L, 69-62",105.4,91.8,60.5,91.1,54.1,32.3,33.3,24.5,101.4,55.6,13.2,14.3,40.7,83.1,1
25,25,1/11/23,C,Duke,ACC,Pittsburgh,H,"W, 77-69",103.8,94.2,70.9,108.5,40.9,24,55.8,40.9,97.3,48.3,18.3,25,29.3,75.5,-3
26,26,3/4/23,C,Duke,ACC,North Carolina,A,"W, 62-57",103.6,82.7,64.8,95.7,41.4,12.4,25.6,31,88,34.8,13.9,25.6,37.5,93.1,2
27,27,2/14/23,C,Duke,ACC,Notre Dame,H,"W, 68-64",102.2,93.6,65.5,103.9,47.4,12.2,25.7,25.9,97.8,47.5,15.3,22.2,13.1,73.4,5
28,28,12/20/22,C,Duke,ACC,Wake Forest,A,"L, 81-70",100.7,104.8,71.5,97.9,50.8,18.2,20,23.7,113.3,55.7,21,29,49.1,38.7,-7
29,29,11/15/22,N,Duke,ACC,Kansas,N,"L, 69-64",100.6,87,72.5,88.3,38.1,24.8,47.7,23.9,95.2,48.5,20.7,32.4,10.4,84.2,-2
30,30,2/4/23,C,Duke,ACC,North Carolina,H,"W, 63-57",99.4,85.1,65.8,95.8,42.6,18.2,33.3,24.6,86.7,39.3,10.6,29.8,4.3,85.6,0
31,31,11/24/22,N,Duke,ACC,Oregon St.,N,"W, 54-51",98.1,99.4,55.3,97.6,30.8,14.5,48.9,35,92.2,46.5,19.9,20.7,32.6,46,0
32,32,11/27/22,N,Duke,ACC,Purdue,N,"L, 75-56",98.1,98.4,65.1,86.1,37.9,16.9,28.2,29.3,115.3,50.9,16.9,41.2,32.8,49,-8
33,33,2/6/23,C,Duke,ACC,Miami FL,A,"L, 81-59",88,103.4,68.7,85.9,45.4,30.6,35.3,24.1,117.9,53,17.5,45.7,16.4,13.5,-14
34,34,1/4/23,C,Duke,ACC,North Carolina St.,A,"L, 84-60",87.9,107.8,71.2,84.2,44.8,29.5,26.5,54.2,117.9,54.3,8.4,31,21.4,8.7,-17
