#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/19/23,C,East Tennessee St.,SC,Furman,A,"L, 83-79",121.9,114.5,65.6,120.4,63.6,21.3,29.6,21.8,126.5,55.7,7.6,34.4,32.8,67.3,-2
2,2,1/11/23,C,East Tennessee St.,SC,The Citadel,A,"W, 96-74",120.6,107.8,74.2,129.3,62.5,16.2,38.2,32.8,99.7,51.8,26.9,31.2,35.7,78.3,11
3,3,2/1/23,C,East Tennessee St.,SC,Wofford,H,"W, 77-52",120,91.7,57,135.1,70.2,14,28,17.3,91.2,45.4,12.3,24.3,18.5,95.7,12
4,4,2/22/23,C,East Tennessee St.,SC,The Citadel,H,"W, 78-70",112.2,114.8,65.2,119.7,57.7,16.9,32.3,48.1,107.4,47.3,13.8,25,36.4,43.3,8
5,5,2/25/23,C,East Tennessee St.,SC,UNC Greensboro,H,"W, 63-62",108.2,100.4,62.3,101.1,48,19.3,29.4,44,99.5,50.9,20.9,32.4,20,70.5,2
6,6,12/14/22,N,East Tennessee St.,SC,Queens,H,"L, 78-75",108,115.9,66.4,113,58.6,13.6,19.4,17.2,117.5,47.7,15.1,40.5,32.8,30.6,0
7,7,12/29/22,C,East Tennessee St.,SC,Wofford,A,"W, 73-71",107.3,109.3,62.6,116.7,54.2,19.2,44.1,22,113.5,42.7,6.4,33.3,33.9,44.7,-1
8,8,11/23/22,N,East Tennessee St.,SC,Appalachian St.,H,"L, 74-70",106.5,110.5,68.7,101.8,53.8,27.6,37.5,34,107.7,50,16,30.6,39.7,39.6,0
9,9,11/13/22,N,East Tennessee St.,SC,Louisiana Lafayette,N,"L, 81-77",103.3,104.8,73.7,104.4,46,17.6,30.6,37.1,109.8,57.6,16.3,20.6,30.5,45.7,-7
10,10,11/11/22,N,East Tennessee St.,SC,Elon,N,"W, 77-64",101.4,94.4,72.1,106.8,55.1,16.6,21.4,30.5,88.8,48.2,16.6,18.2,28.1,69.4,8
11,11,12/17/22,N,East Tennessee St.,SC,UNC Asheville,H,"L, 74-73",101.4,109.7,70.8,103.1,51.8,26.8,40.6,28.1,104.5,57.5,26.8,34.5,35.8,28.8,-3
12,12,12/11/22,N,East Tennessee St.,SC,Morehead St.,A,"L, 61-57",100.8,100.6,59.9,95.2,48.1,16.7,24.2,25,101.9,52.1,23.4,37,38.3,50.8,4
13,13,2/15/23,C,East Tennessee St.,SC,Western Carolina,A,"L, 68-66",100.8,109.7,63.5,103.9,44.8,11,27.8,32.8,107,60.2,25.2,21.7,38.6,27.6,-3
14,14,1/21/23,C,East Tennessee St.,SC,Chattanooga,A,"W, 78-62",100.7,89.3,71.5,109,62.3,19.6,16.7,22.8,86.7,42.8,15.4,25.6,5.8,79.9,-1
15,15,2/7/23,C,East Tennessee St.,SC,UNC Greensboro,A,"L, 91-65",99.7,131.2,69.8,93.1,47.2,15.8,15.2,38.9,130.4,68,17.2,34.4,26.2,4,-18
16,16,1/28/23,C,East Tennessee St.,SC,Chattanooga,H,"L, 73-64",98,111.3,63.6,100.7,40,12.6,28.2,26.7,114.8,52.7,15.7,34.4,32.7,18.7,-3
17,17,12/3/22,N,East Tennessee St.,SC,Jacksonville St.,H,"L, 63-61",97.8,106,61.2,99.6,50,19.6,30.3,8.6,102.9,56.8,22.9,18.5,34.1,28.5,1
