#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Eastern Illinois,OVC,SIU Edwardsville,A,"W, 84-73",120.8,109.6,69.3,121.2,62.5,17.3,25,18.3,105.3,45.1,11.5,30,39.3,75.4,7
2,2,12/31/22,C,Eastern Illinois,OVC,Southern Indiana,H,"W, 91-80",112.9,110.9,74.4,122.3,68.2,20.2,23.1,41.8,107.5,51.7,22.8,37.1,39,55.2,7
3,3,12/10/22,N,Eastern Illinois,OVC,Western Illinois,H,"L, 79-75",110.9,127.8,63.6,117.9,57.3,14.1,22.2,25.5,124.2,60.2,15.7,33.3,29.6,16.3,2
4,4,12/21/22,N,Eastern Illinois,OVC,Iowa,A,"W, 92-83",110.8,90.5,81.3,113.1,65,20.9,24.1,36.7,102.1,43.8,13.5,31.4,44.4,91.1,-2
5,5,1/21/23,C,Eastern Illinois,OVC,Tennessee Martin,A,"L, 91-78",103.3,122.5,74.3,105,44.4,13.5,32.6,28.2,122.5,63.1,17.5,34.5,31.1,12.4,-4
6,6,2/2/23,C,Eastern Illinois,OVC,Lindenwood,A,"L, 80-67",103.1,141.5,61,109.8,59.6,19.7,27.6,21.2,131.1,62.3,14.7,40,9.8,2.6,-8
7,7,11/25/22,N,Eastern Illinois,OVC,Ohio,A,"L, 78-67",101.8,106.2,67.1,99.9,52.9,22.4,20.7,33.3,116.3,51.6,17.9,47.5,29.7,37.9,-2
8,8,2/9/23,C,Eastern Illinois,OVC,Tennessee Martin,H,"W, 77-75",101.8,103.1,73.3,105,50,13.6,16.2,54.5,102.2,51.8,19.1,21.2,39.3,46.3,7
9,9,1/19/23,C,Eastern Illinois,OVC,Tennessee St.,A,"L, 78-74",99.5,123.9,67.9,108.9,51.6,8.8,25,29,114.8,56.2,19.1,20.7,58.3,7.5,-11
10,10,11/30/22,N,Eastern Illinois,OVC,Northern Illinois,H,"L, 90-70",99.4,130.8,70.6,99.1,51.7,15.6,29.7,39,127.4,76.6,24.1,21.7,55.3,4.1,-7
11,11,1/26/23,C,Eastern Illinois,OVC,Southern Indiana,A,"L, 78-74",98.5,122.8,67.2,110.1,53.2,10.4,26.3,23.8,116,47.8,7.4,39.6,37.7,7.3,-11
12,12,2/22/23,C,Eastern Illinois,OVC,Morehead St.,H,"L, 69-63",96,120.9,62.3,101,58.2,19.2,8.3,16.3,110.7,55.1,12.8,21.2,6.8,6.6,-10
13,13,12/7/22,N,Eastern Illinois,OVC,Ball St.,H,"L, 76-59",92.1,114.1,63.7,92.6,43.9,18.8,27.3,51,119.2,57.3,20.4,41.4,29.1,7.9,-6
14,14,2/25/23,C,Eastern Illinois,OVC,Tennessee Tech,H,"L, 75-66",92.1,114.6,67.9,97.2,46.6,16.2,20,25.9,110.4,56.8,14.7,24.2,20.3,7.5,-4
15,15,1/12/23,C,Eastern Illinois,OVC,SIU Edwardsville,H,"L, 80-62",90.8,120.9,68.7,90.3,49,21.8,20.7,42.9,116.5,53.4,18.9,35.1,41.4,3.6,-6
16,16,1/7/23,C,Eastern Illinois,OVC,Morehead St.,A,"L, 69-59",89,114.8,64.2,92,42.7,18.7,30,11.3,107.6,55.2,21.8,32.1,43.8,5.1,-13
17,17,11/7/22,N,Eastern Illinois,OVC,Illinois,A,"L, 87-57",87.6,103,76.1,74.9,37.5,23.7,23.3,33.3,114.3,53.9,19.7,50,51.6,13.4,-11
18,18,1/28/23,C,Eastern Illinois,OVC,Southeast Missouri S,H,"L, 79-68",87.6,112.3,74.1,91.7,44.1,21.6,31.6,39,106.6,54.5,20.2,25,47.3,5.5,-6
19,19,2/18/23,C,Eastern Illinois,OVC,Little Rock,A,"L, 81-77",87.4,103.5,71.4,95.9,54.8,23.7,24.3,29,100.9,45.1,17.4,34.9,26.4,12.6,-4
20,20,12/17/22,N,Eastern Illinois,OVC,IUPUI,A,"W, 70-59",85,90.7,71.9,97.4,50,20.9,26.5,69.4,82.1,42.7,30.6,35.3,29.1,32,3
21,21,11/26/22,N,Eastern Illinois,OVC,Alabama St.,N,"L, 67-58",84.4,115.1,65.5,88.6,38.6,19.9,34.1,36.8,102.3,46.6,21.4,45,35.6,2.8,-4
22,22,2/4/23,C,Eastern Illinois,OVC,Tennessee St.,H,"L, 65-61",83.7,96.3,69.8,87.3,38.5,21.5,38.1,23.1,93.1,46.6,21.5,32.5,31,16.6,0
23,23,1/14/23,C,Eastern Illinois,OVC,Little Rock,H,"W, 70-63",82.2,87.2,75.9,92.3,50.9,23.7,26.3,37.9,83,43.7,26.4,30,14.3,33.5,4
24,24,2/16/23,C,Eastern Illinois,OVC,Southeast Missouri S,A,"L, 78-64",79.7,107.5,76.4,83.8,47.4,26.2,24.2,22.4,102.1,54.2,19.6,20.6,30,3.1,-13
25,25,1/5/23,C,Eastern Illinois,OVC,Tennessee Tech,A,"L, 70-49",73.5,112.4,63.8,76.8,41.3,26.7,28.6,17.3,109.8,58,18.8,25.8,16.1,0.7,-13
26,26,11/10/22,N,Eastern Illinois,OVC,Illinois St.,H,"L, 54-49",73,93.8,62.2,78.8,35.1,16.1,28.2,26.3,86.9,45.7,25.7,27.6,27.7,5.3,-5
27,27,12/29/22,C,Eastern Illinois,OVC,Lindenwood,H,"W, 55-54",72.8,82.4,70.9,77.6,39.8,22.6,20.5,33.3,76.2,41.8,28.2,26.3,23.6,19.4,3
28,28,11/13/22,N,Eastern Illinois,OVC,Central Michigan,A,"L, 76-60",72.4,111.6,78.1,76.8,36.2,19.2,22,60.3,97.3,54.2,25.6,27.8,30.5,0.7,-15
29,29,11/16/22,N,Eastern Illinois,OVC,Ohio St.,A,"L, 65-43",63.9,76.2,73.8,58.2,28.1,17.6,17.6,23.4,88,47.4,23,26.3,31.6,11.7,-9
