#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/12/23,C,Eastern Kentucky,ASun,Florida Gulf Coast,H,"W, 97-76",130.6,106.7,72.4,134,60.1,13.8,42.1,12.2,105,38.9,12.4,38,30.6,91.1,14
2,2,3/2/23,CT,Eastern Kentucky,ASun,Liberty,A,"L, 79-73",128.2,111.3,63.7,114.6,59.5,12.6,20,15.5,124,55.6,7.8,28.9,20.6,83.5,3
3,3,1/26/23,C,Eastern Kentucky,ASun,Bellarmine,A,"L, 72-71",117.6,120.5,59.5,119.4,49.2,8.4,33.3,27.1,121.1,63,15.1,24.1,13,43,4
4,4,1/14/23,C,Eastern Kentucky,ASun,Stetson,H,"W, 85-70",117.2,93.9,68.3,124.5,53.8,11.7,41.7,31.8,102.5,48.3,11.7,23.1,30,92.8,14
5,5,2/11/23,C,Eastern Kentucky,ASun,Liberty,A,"L, 83-73",115.5,108.3,69.8,104.6,50.8,17.2,25.7,26.7,118.9,54.2,17.2,38.7,35.6,67.5,-3
6,6,11/19/22,N,Eastern Kentucky,ASun,UNC Asheville,N,"W, 77-75",112,100.2,72.8,105.7,53.3,20.6,32.3,26.2,103,50.8,12.4,23.3,26.2,78.2,9
7,7,12/31/22,C,Eastern Kentucky,ASun,Queens,H,"W, 88-83",111.2,108.1,75.6,116.4,54.3,15.9,37.5,24.3,109.8,48.6,15.9,32.6,18.1,58.2,5
8,8,12/2/22,N,Eastern Kentucky,ASun,James Madison,A,"L, 97-80",110.2,126.3,75.8,105.6,50.7,18.5,38.1,26.1,128,68.6,19.8,29.6,35.6,17.3,-12
9,9,1/28/23,C,Eastern Kentucky,ASun,Bellarmine,H,"W, 73-63",109.3,109.7,61.4,118.8,56.2,13,30,23.2,102.5,50.9,11.4,20,21.4,49.1,2
10,10,2/4/23,C,Eastern Kentucky,ASun,Kennesaw St.,H,"W, 77-74",105.1,103.5,72.8,105.7,48.2,17.8,21.9,49.1,101.6,50.9,23.3,36.1,44.6,54.4,-4
11,11,2/9/23,C,Eastern Kentucky,ASun,Queens,A,"W, 84-80",104.3,103.2,76.7,109.5,52.2,18.2,38.9,24.6,104.3,45.2,16.9,29.7,41.9,53,-2
12,12,1/8/23,C,Eastern Kentucky,ASun,Liberty,H,"W, 62-59",103.6,87.8,63.5,97.6,51.9,20.5,24.2,14.8,92.9,42.4,17.3,28.9,18.6,87,2
13,13,12/14/22,N,Eastern Kentucky,ASun,Northern Kentucky,A,"L, 64-61",102.3,103,62,98.4,44.8,16.1,35.7,36.2,103.3,52.1,24.2,38.7,43.8,47.9,-1
14,14,1/21/23,C,Eastern Kentucky,ASun,Austin Peay,A,"W, 74-59",101.4,94.2,68.7,107.8,44.6,13.1,41,33.8,85.9,51,26.2,14.3,11.5,69.9,7
15,15,1/5/23,C,Eastern Kentucky,ASun,Central Arkansas,A,"W, 77-75",100.5,100.4,75,102.6,53.7,24,43.2,13.2,100,53.7,21.3,28.9,11.9,50.2,8
16,16,2/18/23,C,Eastern Kentucky,ASun,North Alabama,H,"L, 98-93",100.3,115.2,76.5,108,42.3,8.1,34.5,24.2,113.8,59.2,16.3,24.3,44.6,16.9,-3
17,17,1/2/23,C,Eastern Kentucky,ASun,Kennesaw St.,A,"L, 79-75",100,97.9,78.3,95.8,45.5,20.4,30.4,36.4,100.9,50.9,20.4,29.7,51.7,56.3,-2
