#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/23/23,C,Eastern Washington,BSky,Weber St.,A,"W, 89-82",138.1,129.4,66.7,133.5,67,15,28.6,43.4,123,52.5,15,37.1,40.7,67.9,2
2,2,2/2/23,C,Eastern Washington,BSky,Sacramento St.,A,"W, 82-63",136.2,113.1,57.6,142.4,71.9,12.2,16.7,31.2,109.4,45.5,22.6,56.4,33.9,89.5,9
3,3,2/4/23,C,Eastern Washington,BSky,Portland St.,A,"W, 98-88",122.4,112.8,78.5,124.8,73.5,21.7,22.7,60.8,112.1,49.3,8.9,21.4,41.2,71.9,6
4,4,1/28/23,C,Eastern Washington,BSky,Weber St.,H,"W, 75-71",120.7,119.3,63.4,118.3,62,20.5,32.1,20.4,112,57.8,12.6,10,31.4,53.2,3
5,5,1/14/23,C,Eastern Washington,BSky,Idaho,H,"W, 95-74",120.2,110.6,71.1,133.5,66.9,14.1,24,30.5,104,46,19.7,24.2,62,72.3,10
6,6,2/18/23,C,Eastern Washington,BSky,Northern Colorado,H,"W, 89-77",119.3,104,71.5,124.5,58.9,18.2,36.7,29,107.7,47.6,7,19.5,38.7,83,13
7,7,1/7/23,C,Eastern Washington,BSky,Sacramento St.,H,"W, 78-75",118.3,106.8,67.2,116,66.4,25.3,32,10.9,111.6,54.1,17.9,33.3,26.2,76.4,15
8,8,12/29/22,C,Eastern Washington,BSky,Montana,A,"W, 87-80",118,110.1,71.1,122.4,52.8,19.7,40.6,63,112.6,54.1,12.7,22,34.4,68.8,0
9,9,12/10/22,N,Eastern Washington,BSky,South Dakota St.,A,"L, 77-76",117.7,109.8,67.2,113.1,53,16.4,36.8,10.4,114.5,58.5,13.4,7.1,28.3,68.9,10
10,10,2/27/23,C,Eastern Washington,BSky,Montana St.,H,"L, 79-74",116.8,128.7,63.9,115.9,59.6,18.8,28.6,28.8,123.7,59.1,17.2,34.6,29.1,24.7,-10
11,11,1/5/23,C,Eastern Washington,BSky,Portland St.,H,"W, 92-80",115,110.1,75.8,121.4,74.5,26.4,30.8,47.1,105.6,47.3,15.8,34.1,17.6,62.4,5
12,12,1/21/23,C,Eastern Washington,BSky,Northern Arizona,A,"W, 79-76",114.7,113.7,65.2,121.2,52.7,13.8,29.4,42.9,116.6,49.2,4.6,27.9,33.3,52.4,0
13,13,11/25/22,N,Eastern Washington,BSky,Stony Brook,N,"W, 81-52",114.7,96.4,63.6,127.4,64.3,15.7,26.9,21.4,81.8,51.2,26.7,14.8,50,88,9
14,14,1/26/23,C,Eastern Washington,BSky,Idaho St.,H,"W, 81-68",113.5,107.4,67.1,120.8,56.1,16.4,39.3,36.8,101.4,47.6,11.9,24.3,21,65.3,5
15,15,12/31/22,C,Eastern Washington,BSky,Montana St.,A,"W, 70-67",112.2,98.5,66.8,104.7,53.1,26.9,30,40.8,100.2,50,10.5,20.5,21.3,81.7,1
16,16,3/5/23,CT,Eastern Washington,BSky,Northern Arizona,N,"L, 81-80",112,116.7,67.7,118.3,65.7,17.7,24,39.2,119.7,56.7,11.8,28.6,11.9,38.2,0
17,17,1/19/23,C,Eastern Washington,BSky,Northern Colorado,A,"W, 83-75",109.7,103,71.6,115.9,63.6,12.6,12.5,32.7,104.7,50.8,19.5,27.5,18.5,67.5,3
18,18,12/13/22,N,Eastern Washington,BSky,Texas Tech,A,"L, 77-70",108.3,97.7,71.6,97.8,58.7,29.3,21.4,23.1,107.6,45.3,12.6,33.3,34.4,76.5,-1
19,19,12/3/22,N,Eastern Washington,BSky,North Dakota St.,H,"W, 78-70",107.5,103.3,69.5,112.2,57.3,14.4,24.2,16.1,100.7,55.9,24.4,28.1,11.9,61.1,4
20,20,12/17/22,N,Eastern Washington,BSky,UC Davis,H,"W, 79-68",102.1,97.7,74.3,106.3,57.1,26.9,41.2,15.9,91.5,39.8,25.6,38.5,42.4,62.4,0
21,21,2/16/23,C,Eastern Washington,BSky,Northern Arizona,H,"W, 72-55",101.4,82.5,66.1,108.9,61.1,22.7,30.8,16.7,83.2,42.1,12.1,13.5,3.2,91.5,10
22,22,11/27/22,N,Eastern Washington,BSky,FIU,A,"L, 90-79",100.8,115.3,78.5,100.6,53.9,24.2,36.6,28.1,114.6,60.3,25.5,29.6,37.9,17.5,-7
23,23,2/11/23,C,Eastern Washington,BSky,Idaho,A,"W, 73-66",97.5,101.8,68.1,107.2,45.8,11.7,27.9,52.5,96.9,41.1,10.3,19.4,39.3,37.9,-1
24,24,11/7/22,N,Eastern Washington,BSky,Santa Clara,A,"L, 84-72",94.7,92.5,82.4,87.3,46.1,19.4,14.6,31.2,101.9,43.3,12.1,30.6,32,56.6,-3
25,25,11/11/22,N,Eastern Washington,BSky,Yale,N,"L, 74-60",94.4,99.3,69.8,86,47.9,22.9,6.9,38.3,106.1,54.7,22.9,29,39.6,35.8,-4
26,26,1/16/23,C,Eastern Washington,BSky,Montana,H,"W, 64-57",94.2,91,63.4,101,50,17.4,20,36.7,89.9,42,17.4,23.5,19.6,60,0
27,27,11/21/22,N,Eastern Washington,BSky,Washington St.,N,"L, 82-56",93.4,116.4,65.2,85.9,36.1,13.8,29.3,23,125.8,60.2,9.2,24.3,15.6,7.4,-14
28,28,2/25/23,C,Eastern Washington,BSky,Idaho St.,A,"L, 71-63",93.2,105.3,67.3,93.6,51,28.2,25,30,105.5,50.9,16.3,26.5,36.4,19.8,-3
29,29,11/13/22,N,Eastern Washington,BSky,Hawaii,A,"L, 71-51",86.8,110.4,64.6,79,40.8,24.8,32.3,38.8,109.9,52.7,12.4,18.2,26.8,5.9,-10
30,30,11/14/22,N,Eastern Washington,BSky,Mississippi Valley S,N,"W, 60-52",83.5,94.2,64.8,92.6,44.7,27.8,38.2,55.3,80.3,40.9,18.5,18.9,20,20,0
31,31,12/7/22,N,Eastern Washington,BSky,California,A,"W, 50-48",81.7,76.8,64.4,77.6,43.3,20.2,17.6,17.3,74.5,40.9,26.4,13.3,40.9,67.3,5
