#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,C,Elon,CAA,Drexel,H,"W, 72-58",120.5,102.3,60.2,119.5,63.5,19.9,23.8,25,96.3,46.4,21.6,36.4,14.5,86.8,8
2,2,2/18/23,C,Elon,CAA,Monmouth,A,"W, 75-68",117.3,121.7,62.2,120.5,57.4,17.7,42.4,38.9,109.3,42.5,9.6,31.6,33.3,39.5,6
3,3,2/2/23,C,Elon,CAA,Stony Brook,A,"W, 69-55",116.9,91.6,60,114.9,51.6,13.3,40.5,11.1,91.6,44.4,18.3,25.7,18.5,94.3,18
4,4,2/4/23,C,Elon,CAA,Northeastern,A,"W, 74-73",110.4,115.3,66.2,111.9,55,12.1,20,15,110.4,60.6,21.2,15.4,40.4,37.8,3
5,5,11/13/22,N,Elon,CAA,Harvard,N,"L, 92-77",107.3,132,73.7,104.5,50.9,14.9,20,51.8,124.8,60,21.7,43.8,63.6,8.4,-11
6,6,1/26/23,C,Elon,CAA,Hofstra,H,"L, 82-65",105.1,116.3,66.4,97.9,46.9,19.6,34.2,10.9,123.5,69.5,12,7.4,1.7,23.8,-5
7,7,1/4/23,C,Elon,CAA,UNC Wilmington,H,"L, 81-66",101.5,125.9,66.8,98.8,55.2,19.5,11.1,39.6,121.2,50.7,12,42.1,23.9,7.7,-8
8,8,12/20/22,N,Elon,CAA,Indiana,A,"L, 96-72",101.3,109,78.9,91.3,56.6,24.1,3.3,32.1,121.7,63.8,16.5,31.2,20.3,30.1,-11
9,9,12/15/22,N,Elon,CAA,Presbyterian,A,"L, 69-63",101.1,115.2,63.2,99.7,49.1,17.4,23.5,23.6,109.2,52,17.4,37.1,65.3,18.3,6
10,10,11/17/22,N,Elon,CAA,North Dakota,H,"L, 77-73",100.6,121.8,65.9,110.8,53.1,19.7,32.3,62.5,116.9,51.7,16.7,36.4,34.5,10,-5
11,11,2/13/23,C,Elon,CAA,Hampton,H,"W, 70-68",100.1,114.3,63.5,110.3,49.2,12.6,28.6,16.4,107.1,52.6,14.2,27.3,19,17.9,4
12,12,1/14/23,C,Elon,CAA,College of Charlesto,A,"L, 78-60",99.2,101.7,68.6,87.5,50,29.2,21.4,33.3,113.7,49.3,8.7,34,22.9,43,-3
13,13,2/16/23,C,Elon,CAA,College of Charlesto,H,"L, 88-66",97.3,113.1,73,90.4,51.9,17.8,9.1,35.8,120.5,55.1,19.2,40,27.5,15.1,-9
14,14,1/11/23,C,Elon,CAA,North Carolina A&T,H,"L, 80-71",96.3,116.4,71.8,98.9,43.4,9.8,23.3,19.1,111.5,55.8,22.3,40,43.3,10.1,3
15,15,1/21/23,C,Elon,CAA,Towson,H,"L, 66-62",96.1,104.5,62.8,98.7,43.3,22.3,38.7,36.5,105.1,46.5,20.7,39.5,28.1,27.7,-5
16,16,2/11/23,C,Elon,CAA,William & Mary,H,"W, 66-55",95.3,95.9,62.4,105.7,54,17.6,25,36,88.1,43,12.8,17.5,15.8,48,4
