#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,FIU,CUSA,Rice,A,"W, 90-83",118.4,116.6,71,126.8,54,14.1,38.2,41.3,116.9,60.2,18.3,30,23.7,54.4,0
2,2,1/28/23,C,FIU,CUSA,Middle Tennessee,H,"W, 82-74",114.5,101.6,72.5,113.1,59.6,26.2,34.4,29.8,102,55.6,22.1,23.5,38.9,79.8,6
3,3,1/21/23,C,FIU,CUSA,UTSA,A,"W, 77-72",113.7,105.7,66.9,115.2,51.5,9,23.7,16.9,107.7,43.3,19.4,50,29.9,69.7,8
4,4,11/27/22,N,FIU,CUSA,Eastern Washington,H,"W, 90-79",110.3,96.1,78.5,114.6,60.3,25.5,29.6,37.9,100.6,53.9,24.2,36.6,28.1,82.9,7
5,5,1/26/23,C,FIU,CUSA,Western Kentucky,H,"W, 78-69",110.1,106.4,68,114.7,60.7,16.2,24.1,8.2,101.5,48.3,25,43.8,23.7,59.8,2
6,6,2/25/23,C,FIU,CUSA,UTSA,H,"L, 95-91",109.8,121.9,79.3,114.8,61.6,25.2,28.6,48.2,119.8,53,21.4,48.8,47,23.1,5
7,7,1/11/23,C,FIU,CUSA,Florida Atlantic,H,"L, 77-73",109.6,97.6,64.7,100.4,47.5,15.1,21.1,35,105.9,50,19.2,34.1,31.7,79.2,2
8,8,2/23/23,C,FIU,CUSA,UTEP,H,"L, 87-82",109,127.1,75.1,109.2,48.5,18.7,42.1,29.4,115.9,67.4,32,44.4,76.1,14.6,-9
9,9,1/7/23,C,FIU,CUSA,UAB,H,"W, 90-87",108.3,99.1,75.3,106.2,55.4,26,33.3,35.4,102.6,52.9,22.4,33.3,22.9,73.6,-5
10,10,1/16/23,C,FIU,CUSA,North Texas,H,"L, 64-57",107,100.6,59.8,95.3,52.5,26.8,24,52.5,107,44.3,16.7,45,23,67.1,1
11,11,12/31/22,C,FIU,CUSA,North Texas,A,"L, 72-57",106,117.2,58.9,96.8,51,27.2,36.4,26.5,122.3,62,27.2,48,39.1,24,-11
12,12,11/23/22,N,FIU,CUSA,Stony Brook,H,"W, 83-50",105.2,81,71.7,115.8,59.4,12.6,15.6,10.9,69.8,38,27.9,17.5,38,95.3,15
13,13,12/21/22,N,FIU,CUSA,Incarnate Word,H,"W, 79-74",105,105.3,73,108.2,62,23.3,21.9,35.2,101.3,56.6,27.4,30,35.8,49.2,11
14,14,2/11/23,C,FIU,CUSA,Rice,H,"L, 85-78",105,123.8,68.9,113.2,57.4,10.2,10.3,14.8,123.3,60.7,14.5,32.4,29.5,13,-5
15,15,3/2/23,C,FIU,CUSA,Louisiana Tech,A,"L, 77-76",102.9,99.1,67.1,100.7,46.7,18.6,23.7,40,102.1,53.5,27.8,40.6,35.1,60.7,4
16,16,2/2/23,C,FIU,CUSA,Charlotte,A,"W, 57-54",102.4,91.6,57.1,99.8,53.2,19.3,25,21.3,94.5,38.8,15.8,30.3,40.8,78.2,1
17,17,11/19/22,N,FIU,CUSA,Bryant,H,"L, 91-85",99.6,106.9,84.7,100.3,54.8,21.2,17.9,36.5,107.4,53.6,18.9,25.6,25.7,30.8,4
18,18,2/18/23,C,FIU,CUSA,Middle Tennessee,A,"L, 69-58",99,95.5,65.6,88.4,45.6,25.9,31.4,10.5,105.2,39.3,16.8,44.2,42.6,60.3,8
19,19,1/5/23,C,FIU,CUSA,Charlotte,H,"W, 62-60",98.9,96.8,62.2,99.7,51,12.9,12.5,23.5,96.5,44.5,17.7,27.8,25.5,56.3,-1
20,20,1/19/23,C,FIU,CUSA,UTEP,A,"L, 81-61",98.8,126.8,65.9,92.6,53.2,24.3,14.8,29.8,123,62.5,21.3,44.4,30.4,5.4,-11
21,21,11/15/22,N,FIU,CUSA,North Carolina St.,A,"L, 107-74",96.8,115.6,82.6,89.6,56.8,26.6,18.8,25.4,129.5,61.2,15.7,37.8,22.4,11.6,-17
22,22,3/8/23,CT,FIU,CUSA,Louisiana Tech,N,"L, 81-76",96,109.1,67.8,99.7,54.2,18.4,13.5,35.6,106.2,53.9,22.3,42.1,31.2,18.6,-8
23,23,2/4/23,C,FIU,CUSA,UAB,A,"L, 76-72",95.7,92.6,77.8,92.5,48.4,16.7,17.1,26.6,97.6,53.3,28.3,36.4,26.7,59.5,-8
24,24,12/4/22,N,FIU,CUSA,Florida Gulf Coast,A,"L, 74-65",92.9,105.3,69.8,93.1,44.4,18.6,32.5,23.8,106,53.6,21.5,30.3,32.1,19.1,-5
25,25,11/30/22,N,FIU,CUSA,Eastern Michigan,H,"L, 80-68",91.9,112.4,71,95.7,50,18.3,30.3,42.1,112.6,55.7,19.7,34.4,23,9,3
26,26,1/14/23,C,FIU,CUSA,Western Kentucky,A,"L, 70-59",91.6,101,67.1,87.9,40.3,19.4,32.6,21,104.3,56.1,28.3,34.5,38.8,24.6,-2
27,27,2/9/23,C,FIU,CUSA,Louisiana Tech,H,"W, 66-62",87.2,88,72.7,90.7,49,24.7,22.9,57.1,85.2,43.7,31.6,43.2,20.6,47.5,0
28,28,11/7/22,N,FIU,CUSA,Houston Christian,H,"W, 77-66",84.7,98.9,74,104,52.3,18.9,34.3,18.2,89.1,48.4,29.7,35.9,7.8,14.5,-4
29,29,12/17/22,C,FIU,CUSA,Florida Atlantic,A,"L, 79-53",80.8,93.5,75.1,70.5,43,30.6,12.9,28,105.2,50,22.6,40.5,24.6,15.8,-11
30,30,12/13/22,N,FIU,CUSA,Howard,A,"L, 71-59",80.2,94,74.4,79.3,40.8,25.5,30.2,15.4,95.4,51.7,25.5,31.4,25.9,13.8,-5
