#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/3/22,N,Fairleigh Dickinson,NEC,Saint Joseph's,A,"W, 97-80",132.4,114.9,71.7,135.3,67.8,15.3,32,35.6,111.6,56.4,23.7,33.3,40,83.7,3
2,2,11/19/22,N,Fairleigh Dickinson,NEC,Longwood,A,"L, 99-83",126.8,143.6,68,122.1,58.2,11.8,25,24.6,145.6,77.4,8.8,19,50.9,19.3,-8
3,3,2/4/23,C,Fairleigh Dickinson,NEC,Wagner,H,"L, 83-79",124.2,144.3,63.9,123.7,67,12.5,4,28,130,65.1,18.8,34.6,32.1,15.1,4
4,4,1/14/23,C,Fairleigh Dickinson,NEC,Central Connecticut,A,"W, 88-80",124.1,134.5,64.8,135.8,64.4,10.8,24,44.2,123.5,58.5,13.9,28.1,23.7,28.3,2
5,5,2/25/23,C,Fairleigh Dickinson,NEC,St. Francis NY,H,"W, 86-69",120.8,125.1,65.6,131.2,66.1,18.3,43.3,23.7,105.3,49,22.9,33.3,43.1,40.1,7
6,6,3/1/23,CT,Fairleigh Dickinson,NEC,St. Francis NY,H,"W, 83-75",117.6,124.8,67.9,122.3,52.2,14.7,46.2,22.1,110.5,55.2,17.7,24.2,24.1,33.6,10
7,7,11/20/22,N,Fairleigh Dickinson,NEC,VMI,N,"W, 93-89",116.2,128.1,72.8,127.8,54.5,8.2,28.9,37.9,122.3,55.6,20.6,47.5,16.9,24.6,7
8,8,1/28/23,C,Fairleigh Dickinson,NEC,Merrimack,A,"W, 78-71",115.6,121.4,69.2,112.7,63,28.9,43.3,33.3,102.6,62.2,30.3,23.8,61,36.2,-4
9,9,1/7/23,C,Fairleigh Dickinson,NEC,LIU Brooklyn,H,"W, 101-89",113.9,131.6,80,126.2,61.2,15,25.7,32.8,111.2,58.3,21.2,32.4,24.2,16,13
10,10,3/7/23,CT,Fairleigh Dickinson,NEC,Merrimack,A,"L, 67-66",110.8,118.9,63.7,103.5,46.6,14.1,32.5,36.2,105.1,44,12.6,33.3,34.5,30.8,1
11,11,1/5/23,C,Fairleigh Dickinson,NEC,St. Francis NY,A,"W, 76-57",109.2,100.5,65.8,115.5,55.5,12.2,29.4,10.9,86.7,49,27.4,24.2,21.6,72.2,9
12,12,1/20/23,C,Fairleigh Dickinson,NEC,Sacred Heart,H,"L, 92-85",107.5,134.5,74.6,114,51.5,14.8,33.3,26.9,123.4,63.1,20.1,36.4,24.6,7.1,-1
13,13,1/26/23,C,Fairleigh Dickinson,NEC,St. Francis PA,H,"W, 87-82",105.7,117.4,73.6,118.3,54.5,12.2,36.1,26.9,111.5,58.5,25.8,35.5,30.5,23.1,3
14,14,12/29/22,C,Fairleigh Dickinson,NEC,Merrimack,H,"W, 71-63",102.5,110.7,69.2,102.6,49.1,24.6,41.2,46.3,91,46.3,18.8,17.6,33.3,29.3,-2
15,15,3/4/23,CT,Fairleigh Dickinson,NEC,St. Francis PA,H,"W, 70-50",102.3,91,59.7,117.2,53.5,15.1,37.9,17.5,83.7,45,20.1,23.5,24,79.3,9
16,16,11/7/22,N,Fairleigh Dickinson,NEC,Loyola Chicago,A,"L, 88-82",101.7,109,71.7,101.7,44.7,18.6,39.2,30.7,109.1,52.2,22.3,40.5,38.8,31.1,-2
17,17,2/11/23,C,Fairleigh Dickinson,NEC,Central Connecticut,H,"L, 77-73",100.6,123.1,67.2,108.7,47.6,11.9,32.4,27.4,114.6,54.3,19.4,22.2,63.8,8.9,3
18,18,11/18/22,N,Fairleigh Dickinson,NEC,SIU Edwardsville,N,"L, 79-78",100.3,107.8,76.8,101.5,50,19.5,25,32.3,102.8,48.3,19.5,36.1,58.6,30.4,1
19,19,2/16/23,C,Fairleigh Dickinson,NEC,Sacred Heart,A,"L, 94-86",99.9,124.3,72.7,105.1,53.4,17.1,27.5,17.6,114.9,60.2,22,35.3,34.4,7.5,-5
20,20,11/13/22,N,Fairleigh Dickinson,NEC,Manhattan,H,"W, 77-74",99.7,112.6,72.7,106,51.5,19.3,39.5,16.4,101.9,52.5,24.8,34.4,28.8,19.6,0
21,21,1/16/23,C,Fairleigh Dickinson,NEC,Stonehill,A,"W, 65-57",99.4,97.6,64.1,101.4,48.1,17.2,26.5,38.5,89,52.2,23.4,10,30.4,55.1,5
22,22,2/23/23,C,Fairleigh Dickinson,NEC,St. Francis PA,A,"L, 82-72",99,122.6,67.8,106.3,44,13.3,32.4,44.8,121,65.5,14.8,4.5,81,7.9,-3
23,23,2/18/23,C,Fairleigh Dickinson,NEC,Wagner,A,"W, 66-48",97.3,87.7,64.8,101.8,51,23.1,31,33.3,74,37.8,26.2,26.5,32.7,76.8,4
24,24,12/22/22,N,Fairleigh Dickinson,NEC,Queens,H,"L, 82-73",96.5,113.7,71.7,101.8,51.5,16.7,27.8,10.6,114.3,62.5,18.1,13.8,26.8,13.2,-5
25,25,12/11/22,N,Fairleigh Dickinson,NEC,NJIT,H,"W, 73-71",96,110.5,70.1,104.1,46.4,22.8,39.5,53.6,101.2,52.8,17.1,18.2,35.2,16.5,0
26,26,11/27/22,N,Fairleigh Dickinson,NEC,Saint Peter's,A,"L, 77-63",94.8,126.8,65.1,96.8,43.1,13.8,28.9,34.5,118.3,66,26.1,37.5,28,3.4,-9
27,27,2/9/23,C,Fairleigh Dickinson,NEC,LIU Brooklyn,A,"W, 80-79",94.6,120.9,77,103.9,50,15.6,27.5,41.3,102.6,51.6,22.1,29.4,25.4,5.6,2
28,28,11/22/22,N,Fairleigh Dickinson,NEC,Pittsburgh,A,"L, 83-61",93.1,105.3,69.4,87.9,42.9,21.6,29.3,15.9,119.6,60.3,21.6,43.3,29.3,19.6,-8
29,29,12/9/22,N,Fairleigh Dickinson,NEC,Columbia,A,"W, 76-73",91.8,103.4,69.5,97.2,46,19.2,31.6,36.5,93.3,44.5,23,31.6,31.2,20.2,-1
30,30,1/22/23,C,Fairleigh Dickinson,NEC,Stonehill,H,"L, 70-59",87.9,108.8,68.3,86.3,34.5,11.7,36.7,13.5,102.4,61.9,26.3,12,54.8,7.9,4
31,31,11/30/22,N,Fairleigh Dickinson,NEC,Hartford,A,"L, 74-66",84.4,119.8,70.3,93.8,49.2,14.2,16.7,11.1,105.2,60.2,32.7,37.5,59.1,1.7,-4
32,32,12/13/22,N,Fairleigh Dickinson,NEC,Richmond,A,"L, 77-48",72.1,118.7,66.6,72.1,36.9,16.5,19,6.6,115.6,64.5,21,19.2,12.7,0.3,-21
