#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/21/22,N,Florida A&M,SWAC,Kentucky,A,"L, 88-68",123.2,132.1,58.9,115.4,61,20.4,25,16,149.4,63.6,15.3,61.3,32.2,30.9,-12
2,2,2/4/23,C,Florida A&M,SWAC,Texas Southern,A,"W, 76-69",112.3,111.5,67.2,113,57.3,19.3,28.1,30.9,102.6,48.1,16.4,25.7,44.4,52,2
3,3,2/20/23,C,Florida A&M,SWAC,Alabama A&M,A,"W, 77-71",107.7,111.9,69.3,111.2,51.8,15.9,27.3,45.5,102.5,44.1,11.5,28.9,55.9,39.2,1
4,4,1/7/23,C,Florida A&M,SWAC,Southern,A,"L, 84-66",101.3,128.2,68.4,96.5,56.5,26.3,21.4,13,122.8,66.7,21.9,33.3,39.2,6.2,-5
5,5,11/30/22,N,Florida A&M,SWAC,Florida,A,"L, 102-62",100.4,132.6,71.9,86.2,41.4,26.4,31.6,27.6,141.8,72,15.3,40.7,16.7,3.9,-17
6,6,1/9/23,C,Florida A&M,SWAC,Grambling St.,A,"L, 62-57",98.3,101.5,62.4,91.3,42.7,16,27,27.3,99.3,42.3,14.4,31,59.6,40.9,-1
7,7,2/13/23,C,Florida A&M,SWAC,Alcorn St.,H,"L, 67-64",96.4,105.9,64.8,98.7,46.4,21.6,34.2,28.6,103.4,37.8,13.9,32.4,77.6,25.5,3
8,8,1/30/23,C,Florida A&M,SWAC,Alabama St.,H,"W, 69-58",94.2,96.9,68.5,100.8,50,19,35.7,45.3,84.7,38.3,17.5,32.4,30,41.8,7
9,9,11/15/22,N,Florida A&M,SWAC,Miami FL,A,"L, 87-61",93.6,102.8,71,86,52.8,31,31,17,122.6,58.3,14.1,34.4,21.2,25.3,-8
10,10,3/4/23,C,Florida A&M,SWAC,Bethune Cookman,A,"L, 91-70",92.6,132,71.9,97.3,45.2,22.2,39.5,71.2,126.5,71.3,20.9,13,63.8,1.7,-8
11,11,1/16/23,C,Florida A&M,SWAC,Mississippi Valley S,H,"W, 60-59",91.3,98.9,64.2,93.5,59.3,37.4,35.7,34.9,92,41.3,24.9,39.4,69.6,28.5,8
12,12,2/18/23,C,Florida A&M,SWAC,Alabama St.,A,"W, 60-54",90.2,90.4,65.1,92.2,46.9,26.1,27.6,32.7,82.9,37.5,21.5,38.6,26.7,49.2,7
13,13,12/29/22,N,Florida A&M,SWAC,Purdue,A,"L, 82-49",90,106.4,64.3,76.2,35.2,20.2,20.6,22.2,127.6,54.2,10.9,47.1,45.8,12.8,-14
14,14,1/23/23,C,Florida A&M,SWAC,Jackson St.,A,"L, 59-58",87.2,95,64.6,89.8,52.2,26.3,20,37,91.4,39.8,15.5,29.4,86.4,27.1,1
15,15,1/2/23,C,Florida A&M,SWAC,Bethune Cookman,H,"L, 67-59",85.9,117.3,62.3,94.7,41.5,22.5,37.5,55.3,107.6,45.2,11.2,27.5,61.5,2.7,-4
16,16,2/11/23,C,Florida A&M,SWAC,Jackson St.,H,"L, 69-58",85.9,117.9,63.2,91.8,45.1,22.2,25.8,23.5,109.3,50.9,17.4,34.4,28.6,2.6,-7
17,17,1/28/23,C,Florida A&M,SWAC,Alabama A&M,H,"L, 61-56",84.1,109.7,62.5,89.6,40.7,22.4,35.1,27.8,97.6,46.9,17.6,28.1,51,4.5,-6
18,18,2/25/23,C,Florida A&M,SWAC,Grambling St.,H,"L, 69-55",83.4,109.2,67.6,81.3,37.8,32.5,31,75.6,102.1,50,17.7,33.3,34.5,4.3,-9
19,19,2/6/23,C,Florida A&M,SWAC,Prairie View A&M,A,"L, 75-45",81.7,126.9,61.9,72.7,35.5,19.4,25.6,20,121.2,67.7,17.8,26.1,37.5,0.6,-10
20,20,2/27/23,C,Florida A&M,SWAC,Southern,H,"L, 60-58",81.6,92.3,70.9,81.8,44.3,19.7,19.5,13.1,84.6,44.5,18.3,16.7,34.5,19.5,2
21,21,1/14/23,C,Florida A&M,SWAC,Arkansas Pine Bluff,H,"L, 67-54",81.4,111.9,65.6,82.3,46.7,27.4,20,46.7,102.1,44.9,18.3,34.4,61.2,2.5,-5
22,22,12/2/22,N,Florida A&M,SWAC,Georgia,A,"L, 68-46",77.9,103.4,63.4,72.5,40,28.4,25.7,22,107.2,54.6,23.7,42.4,29.6,3.7,-9
23,23,11/7/22,N,Florida A&M,SWAC,Oregon,A,"L, 80-45",77.4,99.9,68.1,66.1,40.6,30.9,16.1,16.7,117.6,50.8,14.7,46.2,44.4,5,-11
24,24,12/17/22,N,Florida A&M,SWAC,Louisville,A,"L, 61-55",75.8,92.8,68.3,80.5,39.1,22,30.4,15.6,89.3,45.6,32.2,43.3,60,9,-6
25,25,1/21/23,C,Florida A&M,SWAC,Alcorn St.,A,"L, 57-47",72.6,96,61.8,76,37.3,24.3,31.4,29.4,92.2,47.9,21,26.9,38.3,3.8,-9
26,26,11/9/22,N,Florida A&M,SWAC,Portland,A,"L, 91-54",71.8,110.3,75.8,71.2,35.5,23.7,17.9,40,120,66.3,23.7,34.5,61.5,0.7,-19
27,27,11/11/22,N,Florida A&M,SWAC,Oregon St.,A,"L, 60-43",71,95.7,64.3,66.8,34.4,24.9,21.6,33.3,93.3,44.4,15.5,21.2,31.5,3.1,-8
