#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/24/23,C,Florida Gulf Coast,ASun,Austin Peay,H,"W, 89-71",123.3,108.4,69.4,128.3,62.9,13,23.3,34.5,102.4,51.6,14.4,21.6,17.7,81.4,17
2,2,12/21/22,N,Florida Gulf Coast,ASun,Canisius,H,"W, 84-81",119.6,128.9,66.3,126.6,59.5,18.1,40,32.8,122.1,53.9,13.6,38.9,21.9,29.8,0
3,3,11/23/22,N,Florida Gulf Coast,ASun,UMKC,N,"W, 73-59",118.5,106.6,60.1,121.5,49.2,5,35,21.9,98.2,40.7,18.3,42.9,30.5,77.3,10
4,4,1/26/23,C,Florida Gulf Coast,ASun,Queens,A,"L, 84-82",116.9,116.6,69,118.8,59.8,17.4,28.1,19.7,121.7,54.2,15.9,38.9,44.1,50.8,3
5,5,11/21/22,N,Florida Gulf Coast,ASun,Northern Kentucky,N,"W, 82-61",116.7,96.8,68.2,120.2,51.7,20.5,46.7,39.7,89.4,47.2,22,32.3,33.3,89.6,4
6,6,2/18/23,C,Florida Gulf Coast,ASun,Stetson,H,"L, 88-84",115.4,126,66.4,126.6,63.8,7.5,10.3,24.1,132.6,62.3,9,28.1,27.9,26.7,-4
7,7,11/30/22,N,Florida Gulf Coast,ASun,Georgia Southern,A,"W, 70-53",115.1,91.5,61.7,113.5,57.7,16.2,25,25,85.9,48,19.5,17.6,26,93.3,6
8,8,2/4/23,C,Florida Gulf Coast,ASun,North Alabama,H,"L, 87-85",114.8,124.5,62,121.9,54.5,14.3,38.5,26.9,124.8,64,14.3,29,40.4,28.2,4
9,9,12/16/22,N,Florida Gulf Coast,ASun,St. Bonaventure,A,"W, 71-58",113.6,97.7,63.1,112.6,55.6,23.8,45.2,31.5,92,41.1,15.9,28.9,30.4,85,3
10,10,12/31/22,C,Florida Gulf Coast,ASun,Jacksonville,H,"W, 72-65",113.5,119.4,59.9,120.1,54.6,13.3,32.3,29.6,108.4,52.7,16.7,27.3,16.4,35.7,-4
11,11,2/2/23,C,Florida Gulf Coast,ASun,Central Arkansas,H,"L, 91-87",110.7,130.9,73.4,118.5,53.4,9.5,29.5,16.4,123.9,63.3,13.6,19.4,20.3,12.7,3
12,12,1/12/23,C,Florida Gulf Coast,ASun,Eastern Kentucky,A,"L, 97-76",108.8,134.4,72.4,105,38.9,12.4,38,30.6,134,60.1,13.8,42.1,12.2,8,-14
13,13,11/7/22,N,Florida Gulf Coast,ASun,USC,A,"W, 74-61",107.6,82.7,71.1,104,43.8,15.5,36.4,39.1,85.7,43.3,21.1,18.9,46.2,95.4,1
14,14,1/21/23,C,Florida Gulf Coast,ASun,Kennesaw St.,H,"L, 65-63",107.4,112.9,58.5,107.8,49.1,12,28.6,21.8,111.2,52.8,18.8,34.5,20.8,36,-4
15,15,11/22/22,N,Florida Gulf Coast,ASun,Drexel,N,"W, 67-59",104.3,96.5,64.9,103.2,50,18.5,34.3,14.8,90.9,41.7,15.4,34.1,30,70.9,2
16,16,1/28/23,C,Florida Gulf Coast,ASun,Liberty,A,"L, 74-57",104,108.7,61.4,92.9,51,16.3,6.9,16.3,120.6,58.9,16.3,35.5,3.2,37.6,-6
17,17,12/4/22,N,Florida Gulf Coast,ASun,FIU,H,"W, 74-65",103.3,96.2,69.8,106,53.6,21.5,30.3,32.1,93.1,44.4,18.6,32.5,23.8,69.4,5
18,18,1/7/23,C,Florida Gulf Coast,ASun,North Florida,H,"W, 82-57",103,75.4,72.8,112.6,58,19.2,38.9,10.1,78.3,40.2,19.2,15.8,14.8,97.3,17
19,19,2/9/23,C,Florida Gulf Coast,ASun,North Florida,A,"W, 68-66",101.9,102.2,61.7,110.2,56.5,16.2,25.9,18.5,106.9,49.1,13,28.6,20.7,49.3,0
