#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/25/22,N,Florida,SEC,Oregon St.,N,"W, 81-68",132.1,104.6,65.4,123.9,64.2,13.8,13,28.3,104,53.6,13.8,22.9,28.6,93.6,16
2,2,11/30/22,N,Florida,SEC,Florida A&M,H,"W, 102-62",130,107.3,71.9,141.8,72,15.3,40.7,16.7,86.2,41.4,26.4,31.6,27.6,90.1,17
3,3,11/11/22,N,Florida,SEC,Kennesaw St.,H,"W, 88-78",120.4,102.3,75.1,117.2,58.2,14.6,20,60,103.8,47.1,9.3,26.2,25.7,86.6,8
4,4,2/15/23,C,Florida,SEC,Mississippi,H,"W, 79-64",120.1,98.2,66.1,119.6,69.4,18.2,15.4,36.7,96.9,42.1,16.7,38.1,28.6,91,6
5,5,1/21/23,C,Florida,SEC,Mississippi St.,A,"W, 61-59",118.7,91.2,61.5,99.2,50.9,13,23.5,18.2,96,42.6,16.3,32.5,18,95.4,7
6,6,2/1/23,C,Florida,SEC,Tennessee,H,"W, 67-54",117.8,80.5,65.1,103,51,15.4,16.7,50,83,31.6,15.4,36.7,17.6,98.8,5
7,7,2/25/23,C,Florida,SEC,Vanderbilt,A,"L, 88-72",115.2,121.9,64,112.5,48.4,6.3,29.3,30.2,137.6,60,9.4,40.6,38.3,34.3,-8
8,8,12/4/22,N,Florida,SEC,Stetson,H,"W, 89-51",114.3,79.8,67,132.9,63.2,16.4,35.7,49.1,76.1,37,23.9,26.3,29.6,98.4,11
9,9,11/24/22,N,Florida,SEC,Xavier,N,"L, 90-83",114.1,101.3,77.2,107.6,50,14.3,29.8,10.1,116.7,64.4,19.4,29,33.9,79.6,-2
10,10,1/7/23,C,Florida,SEC,Georgia,H,"W, 82-75",112.1,108.9,71.8,114.2,54.9,15.3,24.2,27.9,104.4,45.6,13.9,34.1,26.5,58.2,0
11,11,2/22/23,C,Florida,SEC,Kentucky,H,"L, 82-74",110.3,107.3,69.6,106.4,57.7,14.4,6.9,38.5,117.9,56.5,18.7,40.6,25.8,57.8,-5
12,12,3/4/23,C,Florida,SEC,LSU,H,"W, 79-67",110,104.2,67.7,116.7,54.1,11.8,29.7,32.8,99,40.8,19.2,41.5,41.7,65.2,-1
13,13,2/28/23,C,Florida,SEC,Georgia,A,"W, 77-67",109.5,93.9,71.6,107.5,60.2,18.1,23.3,37,93.5,36.5,16.8,34.1,46,85.4,4
14,14,12/14/22,N,Florida,SEC,Ohio,N,"W, 82-48",109.5,66.2,71.4,114.8,61.1,19.6,18.5,38.9,67.2,34.3,16.8,10.5,45.1,99.7,17
15,15,2/11/23,C,Florida,SEC,Vanderbilt,H,"L, 88-80",109.2,108.6,73.3,109.1,49.3,4.1,14.6,34.3,120,58.6,6.8,14.3,50,51.6,-3
16,16,2/4/23,C,Florida,SEC,Kentucky,A,"L, 72-67",108.5,101.7,64.1,104.5,47.3,14,24.2,30.9,112.3,49.2,14,37.1,21,67.7,-7
17,17,2/8/23,C,Florida,SEC,Alabama,A,"L, 97-69",107.8,114.4,75.4,91.5,38.1,13.3,28.3,49.2,128.6,59.6,10.6,30,20.5,33.4,-18
18,18,1/25/23,C,Florida,SEC,South Carolina,H,"W, 81-60",106.5,86.7,72.6,111.6,52.3,6.9,15.4,25.8,82.7,40.8,20.7,28.6,31.7,91.4,10
19,19,2/18/23,C,Florida,SEC,Arkansas,A,"L, 84-65",105.2,104.9,72,90.2,40.7,16.7,20.5,35.6,116.6,59.3,18,34.6,28.8,51,-8
20,20,11/14/22,N,Florida,SEC,Florida Atlantic,H,"L, 76-74",105.1,93.9,75.7,97.8,44.1,15.9,27.9,25,100.4,51.4,11.9,15,10.1,78.6,0
21,21,11/7/22,N,Florida,SEC,Stony Brook,H,"W, 81-45",103.8,75.5,70.4,115.1,55.7,14.2,30.3,29.5,64,36.5,25.6,12.8,25,97.5,16
22,22,12/28/22,C,Florida,SEC,Auburn,A,"L, 61-58",102.7,86.6,63.7,91,43.6,18.8,17.9,40.4,95.7,40.9,23.5,42.5,43.6,87.7,-1
23,23,1/10/23,C,Florida,SEC,LSU,A,"W, 67-56",97.7,86.5,66.4,100.9,44.8,15.1,24.2,66.7,84.3,36.4,24.1,36.6,27.1,80.3,0
24,24,1/14/23,C,Florida,SEC,Missouri,H,"W, 73-64",97.5,84.1,71.1,102.7,56.9,26.7,28.1,41.2,90.1,44.2,19.7,28.6,25,84.7,-1
25,25,11/18/22,N,Florida,SEC,Florida St.,A,"W, 76-67",96.2,92.6,74.9,101.4,42.5,17.4,36.8,51.7,89.4,43.4,21.4,22.2,24.6,61,-2
26,26,3/9/23,CT,Florida,SEC,Mississippi St.,N,"L, 69-68",96.1,91,69.5,87,46.8,20.5,24.3,27.4,88.2,40.6,25.6,40.9,43.8,65.1,-5
27,27,1/4/23,C,Florida,SEC,Texas A&M,H,"L, 66-63",96.1,88.8,69.9,90.2,53.4,28.6,22.2,50,94.5,39.3,14.3,31,45.9,71.3,-5
28,28,1/18/23,C,Florida,SEC,Texas A&M,A,"L, 54-52",91.3,80.9,61.7,84.3,31.1,14.6,36.2,31.1,87.6,37.9,17.8,38.5,11.3,79.9,-5
29,29,12/20/22,N,Florida,SEC,Oklahoma,N,"L, 62-53",88.8,82.4,68.1,77.8,34.4,14.7,18.6,23,91,46.2,17.6,19.4,34,70.3,2
30,30,12/7/22,N,Florida,SEC,Connecticut,H,"L, 75-54",86.6,93.7,69.8,77.4,34,17.2,19,52.8,107.5,57.8,21.5,28.6,15.5,28.9,-10
31,31,11/27/22,N,Florida,SEC,West Virginia,N,"L, 84-55",79.7,94.8,76.9,71.5,36.2,18.2,15,37.9,109.2,48.5,16.9,40.5,38.8,12,-13
32,32,1/28/23,N,Florida,SEC,Kansas St.,A,"L, 64-50",75.3,83.3,72.8,68.7,34.5,19.2,13.6,27.6,87.9,41,16.5,26.8,34.4,23.9,-12
