#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/11/23,CT,Fordham,A10,Dayton,N,"L, 78-68",124,122.2,59.6,114,52.7,13.4,31.2,21.4,130.8,66.7,15.1,30,37.5,54.1,-3
2,2,12/11/22,N,Fordham,A10,Central Connecticut,H,"W, 90-77",119.4,120.7,69.1,130.3,67.9,24.6,50,39.6,111.5,50.8,15.9,29.4,24.2,46.9,11
3,3,2/11/23,C,Fordham,A10,Davidson,A,"W, 73-71",119.1,106.7,63.1,115.7,50,9.5,33.3,25.4,112.5,53.8,14.3,11.5,87.5,78,3
4,4,12/3/22,N,Fordham,A10,Tulane,A,"W, 95-90",118,103.7,82.5,115.2,52.1,13.3,35.7,40.8,109.1,49.2,18.2,24.3,54.8,81.5,1
5,5,11/7/22,N,Fordham,A10,Dartmouth,H,"W, 88-74",116.4,112.5,71.4,123.3,63.9,14,25,23,103.7,51.7,16.8,20,28.8,59.7,5
6,6,1/25/23,C,Fordham,A10,St. Bonaventure,A,"W, 79-68",115.6,104.7,68.9,114.6,50.9,16,27.8,67.9,98.7,45.7,18.9,25,66,75.9,1
7,7,2/15/23,C,Fordham,A10,St. Bonaventure,H,"W, 78-63",111.7,96.6,69.8,111.8,58.3,22.9,35.5,40.7,90.3,46.3,17.2,12.5,31.5,84.2,7
8,8,3/4/23,C,Fordham,A10,Duquesne,H,"W, 87-60",111.6,86.3,73.9,117.6,56.6,17.6,28.1,34.4,81.1,35.2,14.9,27.7,35.9,95.1,5
9,9,2/8/23,C,Fordham,A10,Massachusetts,H,"W, 77-67",110.2,107.3,67.8,113.5,43.9,14.7,38.5,59.6,98.7,53.9,20.6,20,35.3,57.6,2
10,10,1/4/23,C,Fordham,A10,Rhode Island,A,"L, 82-79",110.1,127,70.8,111.5,53.6,19.8,36.4,42.9,115.8,50.8,19.8,40.5,50.8,16.2,-9
11,11,2/25/23,C,Fordham,A10,Rhode Island,H,"W, 74-71",108.9,113.2,68,108.8,46.8,20.6,43.6,30.2,104.4,49.1,19.1,31.4,33.9,38.9,2
12,12,11/19/22,N,Fordham,A10,Illinois Chicago,H,"W, 79-65",108.1,113.1,66.1,119.5,62,18.1,26.7,35.2,98.3,50.9,19.7,26.7,20,37.4,-3
13,13,11/15/22,N,Fordham,A10,New Hampshire,H,"W, 79-61",104.1,89.9,73.9,106.8,54.6,20.3,25,50,82.5,34.1,9.5,20.8,24.6,84.5,11
14,14,11/30/22,N,Fordham,A10,Maine,H,"W, 72-67",101.8,113.1,65.8,109.4,52.9,19.8,35.5,42.3,101.8,54.6,24.3,27.3,24.1,23,-3
15,15,11/22/22,N,Fordham,A10,Stonehill,H,"W, 71-60",101.4,101.8,66.6,106.6,55,25.5,36.7,42,90.1,43,16.5,16.7,19.3,49.1,6
16,16,1/14/23,C,Fordham,A10,La Salle,A,"W, 66-64",100.2,96.2,65.7,100.5,44.2,16.7,38.1,7.2,97.4,52,25.9,34.5,38.8,61.7,2
17,17,2/22/23,C,Fordham,A10,Loyola Chicago,A,"W, 71-69",99.2,99.9,70.3,101,48.1,19.9,26.5,55.8,98.2,47.2,17.1,26.5,54.7,48,0
18,18,1/31/23,C,Fordham,A10,Saint Louis,H,"W, 75-65",97.9,89.4,72.9,102.8,45.8,16.4,27.8,40,89.1,43.9,21.9,27.8,35.1,73.9,-3
19,19,1/28/23,C,Fordham,A10,George Washington,H,"W, 85-70",97.3,94.1,76.7,110.8,53.9,13,16.2,31.2,91.2,50.9,23.5,22.9,37.5,59.5,-2
20,20,11/27/22,N,Fordham,A10,Harvard,H,"W, 68-60",97.1,90.5,71.1,95.6,41.7,14.1,22.5,31.7,84.4,43.2,25.3,28.2,22,69.1,4
21,21,12/6/22,N,Fordham,A10,Wagner,H,"W, 72-59",97.1,104.8,68.5,105.1,52,16.1,12,48,86.1,44.7,11.7,14.7,28.1,29.2,-3
