#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,N,Fresno St.,MWC,Chicago St.,H,"W, 108-72",138.9,118.5,67.6,159.8,82.7,13.3,28.6,34.5,106.5,54.2,19.2,33.3,22,86.2,11
2,2,2/3/23,C,Fresno St.,MWC,UNLV,A,"W, 82-79",128.7,113.9,67.3,121.9,57.8,22.3,48.3,58.8,117.4,51.9,19.3,38.7,51.9,80.4,0
3,3,1/21/23,C,Fresno St.,MWC,UNLV,H,"W, 76-63",126.8,104.4,61,124.7,64.1,21.3,34.8,47.8,103.4,47.1,11.5,24.2,43.1,90.3,4
4,4,12/3/22,N,Fresno St.,MWC,UC Irvine,A,"W, 80-66",123.7,98.3,67,119.4,58.3,14.9,34.6,20,98.5,47.5,16.4,27.3,14.8,93.4,3
5,5,2/21/23,C,Fresno St.,MWC,Air Force,A,"W, 74-69",119.8,106.8,63.1,117.2,54.7,9.5,20,32.1,109.3,70.7,33.3,21.1,31.7,78.9,2
6,6,2/10/23,C,Fresno St.,MWC,Nevada,A,"L, 77-66",117.3,108.9,63.8,103.5,50,12.5,19.4,19,120.7,61.4,15.7,13.6,59.1,70.2,0
7,7,2/28/23,C,Fresno St.,MWC,New Mexico,A,"L, 94-80",116.9,116.2,71.5,111.8,53.8,12.6,25,16.7,131.4,65.5,12.6,20,49.1,51.9,-7
8,8,2/7/23,C,Fresno St.,MWC,San Jose St.,H,"W, 70-62",113.2,99.5,61.4,114,62,17.9,20.8,18,101,40.8,21.2,45.5,33.3,81.5,2
9,9,12/10/22,N,Fresno St.,MWC,Pacific,A,"L, 76-72",108.2,111.4,65.6,109.8,59.6,19.8,25.9,30.8,115.9,57.3,19.8,34.5,29.1,41.9,-3
10,10,1/10/23,C,Fresno St.,MWC,San Jose St.,A,"L, 74-64",107.6,114.1,61.3,104.4,52.8,13,16.7,17,120.7,64.9,19.6,32.1,8.8,33.6,-7
