#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/11/23,C,Furman,SC,Mercer,A,"W, 84-66",136.6,105.6,64.3,130.7,61.1,10.9,29,44.4,102.7,44.4,18.7,42.1,24.2,95.1,13
2,2,2/25/23,C,Furman,SC,Samford,A,"W, 93-79",133.2,106.9,70.1,132.6,67.9,20,32,45.3,112.6,52.6,15.7,28.6,43.9,92.6,9
3,3,2/8/23,C,Furman,SC,VMI,A,"W, 94-63",123.5,100.4,67.7,138.8,66.4,16.2,41.9,9,93,40.2,20.7,37.5,26.2,91.5,16
4,4,1/22/23,C,Furman,SC,Wofford,A,"W, 96-82",122.5,115.3,70.4,136.3,58.9,11.4,36.1,46.8,116.4,55.6,8.5,19.4,27,66.8,2
5,5,2/19/23,C,Furman,SC,East Tennessee St.,H,"W, 83-79",121.7,127.3,65.6,126.5,55.7,7.6,34.4,32.8,120.4,63.6,21.3,29.6,21.8,37.4,2
6,6,1/4/23,C,Furman,SC,The Citadel,H,"W, 97-72",119.9,109.4,73.3,132.3,69.1,15,20.8,43.6,98.2,45.8,10.9,16.7,50.8,74.1,12
7,7,1/29/23,C,Furman,SC,UNC Greensboro,A,"W, 69-57",117.3,90,63.5,108.7,57.4,17.3,23.3,55.3,89.8,45.3,18.9,25,26.4,95.4,7
8,8,11/11/22,N,Furman,SC,Belmont,H,"W, 89-74",116.5,101.3,72.2,123.4,65,22.2,42.3,25,102.6,54.7,12.5,18.4,20.3,83.3,4
9,9,3/5/23,CT,Furman,SC,Western Carolina,N,"W, 83-80",115.8,111.6,63.5,116.2,44.9,4.2,27.3,78,112,47.8,11.2,36.8,27.9,60.5,7
10,10,3/6/23,CT,Furman,SC,Chattanooga,N,"W, 88-79",115.7,102.2,74.4,118.3,55.2,10.8,14.7,51.7,106.2,53.4,13.4,14.7,33.9,80.7,7
11,11,3/4/23,CT,Furman,SC,Mercer,N,"W, 73-58",115.4,101.1,62.8,116.3,58.5,17.5,27.6,53.2,92.4,39.5,25.5,43.2,24.6,82.2,5
12,12,1/25/23,C,Furman,SC,Samford,H,"W, 91-84",114.8,109.8,67.6,119.6,45.7,9.2,37,48.6,110.4,61.2,19.7,20.7,32.8,62.5,1
13,13,2/11/23,C,Furman,SC,Western Carolina,H,"W, 93-59",114.5,86.8,74.8,124.3,54.3,8,31,40.6,78.9,34.1,10.7,20,44.4,96,13
14,14,1/14/23,C,Furman,SC,UNC Greensboro,H,"L, 88-80",114.1,114.2,68,104.6,52.5,17,17.1,33.3,115.1,51.9,14.4,20.6,77.4,49.7,2
15,15,12/17/22,N,Furman,SC,Stephen F. Austin,N,"W, 72-70",113.5,98.6,67.9,106,58.7,28,30.4,45.7,103,48.3,19.1,35,39.7,83.5,8
16,16,2/4/23,C,Furman,SC,Wofford,H,"W, 80-67",113.3,96.5,65.7,121.8,54.5,9.1,33.3,13.6,102,57,22.8,20.7,34,86.4,13
17,17,11/20/22,N,Furman,SC,South Carolina,N,"W, 79-60",112.3,94.5,66.9,118,61,17.9,34.5,15.3,89.6,52,25.4,17.2,32.7,87.9,6
18,18,2/1/23,C,Furman,SC,Chattanooga,H,"W, 79-58",108.6,87.4,67.7,116.6,46.8,20.7,51.2,39.7,85.6,40.8,17.7,27.3,26.7,92.3,8
19,19,1/18/23,C,Furman,SC,Chattanooga,A,"W, 77-69",107.9,97.9,68.9,111.8,49.1,13.1,30.3,43.1,100.2,48.1,21.8,36.4,46.3,75.3,2
20,20,2/22/23,C,Furman,SC,Mercer,H,"W, 70-67",107.1,106.3,66.6,105,51.1,21,29,76.1,100.5,49.1,22.5,38.9,24.1,52,4
21,21,12/10/22,N,Furman,SC,Winthrop,H,"W, 82-67",106.5,99.7,67.8,120.9,61,19.2,38.7,28.8,98.8,54.1,22.1,15.4,32.7,68.1,5
22,22,1/7/23,C,Furman,SC,East Tennessee St.,A,"W, 70-56",106.1,83.9,66.7,105,50.8,16.5,27.8,16.7,84,35.8,24,39,26.7,93.7,12
23,23,12/31/22,C,Furman,SC,Western Carolina,A,"L, 79-67",105.7,118.4,65.1,103,57.1,18.4,17.2,36.7,121.4,61.1,23.1,40.7,29.6,21.4,0
24,24,11/18/22,N,Furman,SC,Old Dominion,N,"L, 82-77",104.2,118.5,72.8,105.8,55.9,15.1,11.4,28.8,112.7,71.9,24.7,21.7,45.8,18.5,-7
25,25,12/6/22,N,Furman,SC,High Point,H,"L, 85-82",103.5,127.5,72.1,113.7,52.1,6.9,23.7,17.1,117.9,69.4,20.8,20,33.3,8.4,-5
26,26,11/17/22,N,Furman,SC,Penn St.,N,"L, 73-68",103.3,105.7,64.3,105.8,50.8,17.1,35.9,10.9,113.5,55.1,12.4,21.2,15.3,43.5,-10
27,27,12/29/22,C,Furman,SC,VMI,H,"W, 85-62",101.5,99.8,70.9,119.9,59.4,14.1,26.3,25,87.4,41.8,14.1,15.8,18,54.9,7
28,28,2/15/23,C,Furman,SC,The Citadel,A,"L, 69-65",99.5,114.4,62.9,103.3,51.8,19.1,32.4,23.6,109.6,50.9,15.9,31.2,20.7,16.8,1
29,29,12/3/22,N,Furman,SC,South Carolina St.,H,"W, 88-76",99.4,105.2,78.6,112,63.2,25.4,28.6,33.3,96.7,50,21.6,28.6,19.7,34.2,6
30,30,11/29/22,N,Furman,SC,Appalachian St.,A,"W, 65-61",98.7,85,71.1,91.4,43.7,15.5,22,19,85.8,48,23.9,15.2,35.3,84.8,6
31,31,12/13/22,N,Furman,SC,North Carolina St.,A,"L, 92-73",95.7,106.6,79.2,92.1,50.8,25.2,28.2,27.4,116.1,56.1,18.9,32.5,36.4,22.4,-15
