#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,George Mason,A10,Dayton,A,"W, 74-69",134.4,111.2,58.9,125.7,66.3,13.6,15,53.5,117.2,66.2,18.7,20.8,67.5,89.8,1
2,2,12/21/22,N,George Mason,A10,Old Dominion,A,"L, 78-77",123.6,121.8,64.4,119.6,65.1,17.1,19.2,22.6,121.2,61.3,14,26.9,35.8,54.2,2
3,3,11/11/22,N,George Mason,A10,Longwood,H,"W, 83-69",120.8,101.8,69,120.3,63.2,15.9,27.6,47.2,100,50,17.4,24.3,28.8,87.7,9
4,4,1/21/23,C,George Mason,A10,Rhode Island,A,"W, 79-72",112.2,99.7,74.2,106.5,62.7,22.9,20,34.5,97.1,48.1,17.5,17.1,48.1,79.6,9
5,5,1/7/23,C,George Mason,A10,Loyola Chicago,H,"W, 86-75",112.2,112,71.7,119.9,56.5,11.2,27,40.3,104.6,52.5,15.3,20.6,30.5,50.6,1
6,6,11/26/22,N,George Mason,A10,Queens,H,"W, 72-65",111.3,111.7,59.6,120.8,57.1,13.4,40.6,26.8,109.1,47.3,16.8,35.1,30.4,49.1,0
7,7,12/23/22,N,George Mason,A10,Coppin St.,H,"W, 91-53",110.2,74.8,74.9,121.4,60.3,21.3,36.4,28.6,70.7,32.5,14.7,13,45.6,98.8,26
8,8,1/4/23,C,George Mason,A10,St. Bonaventure,A,"L, 73-69",109,112.7,66.1,104.4,49.1,18.2,25,32.7,110.4,61.8,18.2,18.5,27.5,40.5,-2
9,9,11/30/22,N,George Mason,A10,Hofstra,H,"W, 81-77",107.9,100,67.7,106.3,49.2,19.7,33.3,36.5,101.1,47,14.4,27.5,33.3,70.5,-2
10,10,1/29/23,C,George Mason,A10,Saint Joseph's,H,"L, 79-76",106.8,112.8,70.7,107.5,48.5,12.7,29.5,27.3,111.8,55.4,18.4,33.3,48.2,34.6,-1
11,11,2/11/23,C,George Mason,A10,Rhode Island,H,"W, 75-67",104.7,104.8,70.6,106.2,60,24.1,26.9,48,94.9,43.8,21.2,19.4,56.2,49.7,2
12,12,11/21/22,N,George Mason,A10,Buffalo,N,"L, 82-74",104.5,117,70.5,104.9,53,22.7,28.6,54,116.3,57.1,12.8,29,53.6,21.5,-5
13,13,12/6/22,N,George Mason,A10,Maryland Eastern Sho,H,"W, 67-54",103,98.9,64.6,103.8,50.9,17,34.3,41.5,83.6,40.7,18.6,13.9,22.2,61.6,4
14,14,3/4/23,C,George Mason,A10,Richmond,A,"W, 62-60",102.3,89.5,64.9,95.5,50,21.6,23.1,32,92.4,43.3,20,25.8,66.7,82.2,6
15,15,11/13/22,N,George Mason,A10,American,H,"W, 73-56",101.8,101.1,63,115.9,59.6,17.5,32.1,32.7,88.9,45.1,15.9,20,3.3,52.1,1
16,16,12/3/22,N,George Mason,A10,Toledo,H,"W, 80-73",100.8,90.2,73.2,109.3,57.3,20.5,32.3,49.1,99.8,43.9,17.8,35.7,30.3,78.1,0
17,17,1/14/23,C,George Mason,A10,Davidson,H,"W, 67-65",100.6,101.3,64.7,103.6,51.9,18.6,28.1,31.5,100.5,50.9,15.5,16.1,20.4,48.1,-4
18,18,2/1/23,C,George Mason,A10,Massachusetts,H,"W, 70-59",99.9,95.5,67.7,103.4,54.8,20.7,23.3,32.7,87.2,41.5,20.7,34.9,13.8,62.6,2
19,19,2/15/23,C,George Mason,A10,George Washington,A,"W, 66-53",99.6,86.1,60.8,108.6,52.5,13.2,33.3,15.3,87.2,45.2,16.5,12.9,17.3,84.2,3
20,20,2/18/23,C,George Mason,A10,La Salle,H,"W, 70-66",99.3,101.7,67.2,104.2,43.8,10.4,27.9,60.7,98.3,47.7,13.4,30,20.3,43,0
21,21,12/31/22,C,George Mason,A10,Richmond,H,"W, 62-58",97.8,97.4,62.7,98.9,52.2,15.9,16.7,60,92.5,45.5,15.9,25.6,29.1,51.3,0
22,22,11/19/22,N,George Mason,A10,Belmont,N,"L, 66-62",96.1,93.9,64.9,95.5,49.1,26.2,43.6,24.1,101.7,50,17,28.1,26.8,56.5,1
23,23,3/8/23,CT,George Mason,A10,Richmond,N,"W, 62-57",94.9,92.3,64.8,95.6,46,18.5,21.4,36,87.9,43,15.4,6.7,30,58.1,-1
24,24,1/16/23,C,George Mason,A10,George Washington,H,"L, 78-75",93.6,106.7,72.5,103.4,52.7,23.4,30.3,40,107.5,55.7,19.3,28.6,26.2,18.2,-6
25,25,1/11/23,C,George Mason,A10,Saint Louis,A,"L, 63-62",93.2,86.1,68,91.1,51,25,26.5,46.9,92.6,49.1,17.6,14.3,27.8,71.4,-1
26,26,2/4/23,C,George Mason,A10,Loyola Chicago,A,"L, 69-61",92.6,106.5,65.3,93.4,36,15.3,28.9,64,105.7,48.1,9.2,14.3,44.4,16.7,-5
27,27,1/25/23,C,George Mason,A10,VCU,A,"L, 72-52",89.9,104.9,66.4,78.4,46.9,28.6,21.9,24.5,108.5,57,25.6,37,38,14.4,-10
28,28,3/9/23,CT,George Mason,A10,Saint Louis,N,"L, 82-54",89.8,113,65.1,82.9,40.4,23,30.3,36.5,126,61,13.8,37,22,6.6,-8
29,29,12/17/22,N,George Mason,A10,Tulane,N,"W, 62-56",83.1,74.4,74,83.8,55.6,29.7,19.4,11.1,75.7,35.5,17.6,15,21,78.1,0
30,30,11/7/22,N,George Mason,A10,Auburn,A,"L, 70-52",82.2,91.3,70.3,74,43.8,27,27.8,14.3,99.6,36.6,12.8,44.9,40.8,23,-12
31,31,3/1/23,C,George Mason,A10,Fordham,H,"W, 64-58",81.7,75.9,71,80.1,37.7,22.5,25,69.8,72.6,26.2,18.8,25.5,54,69.8,3
32,32,2/8/23,C,George Mason,A10,Duquesne,A,"L, 75-52",79.3,96.2,71.6,72.6,42.2,29.3,27,33.3,104.7,53.2,18.2,26.3,23.8,9.8,-8
