#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/31/22,C,George Washington,A10,Loyola Chicago,A,"W, 97-87",134.9,125.6,70.6,137.5,74,22.7,40,50,123.3,58.1,14.2,35.3,16.2,69.4,4
2,2,2/8/23,C,George Washington,A10,Richmond,H,"W, 107-105",133.6,133.6,64.7,132.2,65.3,14.8,38.2,29.2,129.7,59.7,8.6,24.4,34.7,49.9,2
3,3,11/14/22,N,George Washington,A10,Hofstra,A,"L, 85-80",123.6,119.5,68,117.7,65.1,20.6,16.7,22.6,125.1,61.9,13.2,30.3,17.5,59.8,-5
4,4,2/25/23,C,George Washington,A10,La Salle,H,"W, 92-85",121,117.1,73.7,124.8,63.8,16.3,35.7,46.6,115.3,48.1,12.2,42,17.5,59.4,5
5,5,11/26/22,N,George Washington,A10,New Hampshire,H,"W, 75-54",119.3,99.2,60.4,124.1,56.7,14.9,34.6,32.7,89.3,37.3,8.3,31.9,11.9,89.3,11
6,6,11/30/22,N,George Washington,A10,South Carolina,H,"W, 79-55",119.2,85.3,65,121.5,61,18.5,35.5,16.9,84.6,38.5,16.9,34.1,13.8,97.9,17
7,7,11/11/22,N,George Washington,A10,Howard,H,"W, 85-75",118.7,111.6,69.2,122.9,63.3,20.2,37.5,59.2,108.4,50.8,8.7,18.9,25,66.9,6
8,8,1/21/23,C,George Washington,A10,Dayton,H,"W, 76-69",116.5,93,70,108.6,53.9,17.1,16.7,51,98.6,41.8,8.6,22.7,20.9,93,7
9,9,2/22/23,C,George Washington,A10,Rhode Island,A,"W, 89-80",116.3,108.4,69.6,113.6,58.2,14,25,26.9,102.2,45.8,15.3,29.5,23.6,69.2,5
10,10,1/16/23,C,George Washington,A10,George Mason,A,"W, 78-75",115.9,103,72.5,107.5,55.7,19.3,28.6,26.2,103.4,52.7,23.4,30.3,40,79.4,6
11,11,3/1/23,C,George Washington,A10,Davidson,A,"W, 75-70",114.9,107,64.7,116,51.8,7.7,21.9,31.6,108.3,48.4,12.4,24.3,16.1,69.3,-3
