#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/16/22,C,Georgetown,BE,Xavier,H,"L, 102-89",120.2,116,77.4,114.9,56.5,7.7,13.2,51.6,131.7,70.6,14.2,26.7,17.6,60.1,-6
2,2,12/20/22,C,Georgetown,BE,Connecticut,A,"L, 84-73",119.1,99.3,71,102.8,48.3,19.7,34.3,39,118.3,58.2,9.9,15.2,24.6,89.1,-2
3,3,1/21/23,C,Georgetown,BE,Xavier,A,"L, 95-82",116.9,109.6,74.8,109.6,55.6,17.4,26.5,29,127,60.6,12,37.1,23.9,67.8,-7
4,4,2/4/23,C,Georgetown,BE,Connecticut,H,"L, 68-62",116.5,102.5,58.5,106,50,17.1,36.7,26.4,116.2,51.6,18.8,48.7,7.8,81.4,-3
5,5,11/12/22,N,Georgetown,BE,Green Bay,H,"W, 92-58",116.5,114.6,65.7,140,68.9,16.7,37.9,24.6,88.3,48.1,19.8,20.6,17,54.7,6
6,6,1/16/23,C,Georgetown,BE,Villanova,A,"L, 77-73",115.1,104.6,67.2,108.7,58.7,19.4,23.1,30.8,114.6,57.4,10.4,3.6,66,75.1,-2
7,7,1/7/23,C,Georgetown,BE,Marquette,A,"L, 95-73",114.3,106.2,73.9,98.8,58.7,27.1,25,40.4,128.5,63.4,12.2,31.2,8.5,69.8,-4
8,8,1/24/23,C,Georgetown,BE,DePaul,H,"W, 81-76",113.8,108.5,69.8,116.1,48.2,10,35.1,73.2,109,55.1,17.2,30.3,32.2,63.4,3
9,9,1/29/23,C,Georgetown,BE,St. John's,A,"L, 75-73",111.1,100.5,71.1,102.7,49.2,21.1,36.8,23.4,105.5,46.4,16.9,44.4,24.3,75.8,0
10,10,12/7/22,N,Georgetown,BE,Siena,H,"W, 75-68",111.1,111.6,65.6,114.4,53.3,15.2,37.1,26.2,103.7,42.1,15.2,36.4,28.6,48.7,1
11,11,2/19/23,C,Georgetown,BE,Butler,A,"W, 68-62",108.4,100.8,65.7,103.6,43.2,13.7,35.9,37.3,94.4,47.5,12.2,11.4,10,69.8,-3
12,12,12/29/22,C,Georgetown,BE,DePaul,A,"L, 83-76",108,112.2,71.3,106.6,54.2,25.2,42.9,28.3,116.4,54,9.8,19.4,32.3,39.2,-4
13,13,2/11/23,C,Georgetown,BE,Marquette,H,"L, 89-75",106.6,109,73.6,101.9,50,21.7,30.6,39.7,120.9,63.4,19,33.3,10.4,43.7,-11
14,14,11/15/22,N,Georgetown,BE,Northwestern,H,"L, 75-63",105.7,105.3,67.7,93,48.2,19.2,20,17.5,110.7,50.7,22.1,45.5,17.9,51,-3
15,15,12/3/22,N,Georgetown,BE,South Carolina,H,"L, 74-71",102.5,108.4,61,103.5,45.4,13.1,38.5,29.2,107.9,53.2,23.3,41.7,21,34.4,4
16,16,11/26/22,N,Georgetown,BE,UMBC,H,"W, 79-70",102.5,101,70.8,111.5,49.3,8.5,25.6,22.1,98.8,41.2,14.1,31.9,26.5,54.3,4
17,17,11/18/22,N,Georgetown,BE,Loyola Marymount,N,"L, 84-66",100.8,108.8,70.4,93.8,40.5,15.6,22.9,34.5,119.4,56.7,15.6,35.1,16.4,29.3,-1
18,18,12/10/22,N,Georgetown,BE,Syracuse,A,"L, 83-64",99.9,112,67.3,95.1,42.4,22.3,38.5,27.1,123.4,52.5,13.4,36.7,35,21.1,-4
19,19,11/8/22,N,Georgetown,BE,Coppin St.,H,"W, 99-89",99.2,113.3,77.6,113.4,52.8,20.6,42.9,45.1,101.9,47.9,19.5,26.7,33.3,17.9,1
20,20,11/30/22,N,Georgetown,BE,Texas Tech,A,"L, 79-65",97.9,103.1,71.4,91,52.7,25.2,17.6,16.1,110.6,57.9,26.6,43.3,28.1,35.6,-9
21,21,2/26/23,C,Georgetown,BE,Providence,H,"L, 88-68",97.1,114.6,70.5,96.5,48.4,19.9,28.2,17.5,124.9,58,12.8,36.8,17.4,12.9,-13
22,22,11/20/22,N,Georgetown,BE,La Salle,N,"W, 69-62",96.5,78.8,74.1,93.2,44.9,18.9,22.2,33.9,83.7,42.3,17.6,26.1,24.6,91.1,13
23,23,11/23/22,N,Georgetown,BE,American,H,"L, 74-70",95.8,108,70.3,99.6,42.9,24.2,50,38.1,105.2,58,25.6,33.3,19.6,20.1,4
24,24,2/14/23,C,Georgetown,BE,Seton Hall,A,"L, 76-68",95.7,94.7,79.1,86,41.3,20.2,19.5,28.6,96.1,45.3,17.7,15.8,69.8,52.9,-7
25,25,2/8/23,C,Georgetown,BE,Providence,A,"L, 74-62",94.8,98.4,67.4,92,42.7,14.8,22.6,32.7,109.9,50,11.9,29.4,20.3,39.4,-8
26,26,3/1/23,C,Georgetown,BE,Creighton,A,"L, 99-59",94.6,127.4,70.1,84.2,35.6,10,23.9,22.7,141.3,69.7,14.3,30,31.1,3.1,-25
27,27,2/22/23,C,Georgetown,BE,St. John's,H,"L, 79-70",93.2,100.8,77.8,89.9,50,25.7,27,21.3,101.5,51.6,20.6,30.6,31.2,28.7,-7
28,28,1/4/23,C,Georgetown,BE,Villanova,H,"L, 73-57",92.9,98.6,66.6,85.6,39,16.5,28.2,27.1,109.7,50.9,15,19.4,33.3,33.4,-3
29,29,1/10/23,C,Georgetown,BE,Seton Hall,H,"L, 66-51",92.2,98.7,64,79.7,34.4,18.7,35.6,14.1,103.1,45.2,12.5,30.8,15.9,31.5,-3
30,30,1/1/23,C,Georgetown,BE,Butler,H,"L, 80-51",88.1,119.4,66.7,76.5,32.6,10.5,24.5,18.2,119.9,59.7,7.5,18.8,19.4,2.9,-8
31,31,2/1/23,C,Georgetown,BE,Creighton,H,"L, 63-53",85.7,86.7,67.5,78.5,37.7,8.9,11.6,9.2,93.3,45,14.8,25.6,21.7,46.6,-7
32,32,3/8/23,CT,Georgetown,BE,Villanova,N,"L, 80-48",83.1,115.1,62.8,76.5,36.6,11.2,10.8,12.5,127.4,59.2,12.7,30.3,18.3,2.3,-15
