#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/14/23,C,Georgia St.,SB,Coastal Carolina,H,"W, 100-66",127.1,103.7,68.5,146,77.6,17.5,38.9,25.9,96.4,39.5,16.1,37.8,47.4,91.2,13
2,2,2/24/23,C,Georgia St.,SB,James Madison,A,"L, 90-69",113.6,123.1,68.1,101.4,47.1,17.6,27.3,56.9,132.2,54.6,10.3,41,40,28.5,-3
3,3,2/28/23,CT,Georgia St.,SB,Texas St.,N,"L, 81-76",111.5,125.3,65.8,115.5,50,12.2,29,51.9,123.1,54.8,13.7,33.3,53.8,20.8,-6
4,4,2/18/23,C,Georgia St.,SB,Arkansas St.,A,"L, 75-70",110.9,122.4,62.5,112,50.9,12.8,23.3,35.8,120,57,11.2,20.7,46,24.4,0
5,5,11/15/22,N,Georgia St.,SB,Mercer,H,"W, 85-83",107.6,112.7,70.4,107.3,46.2,15.1,31.7,43.9,104.7,55.1,21.5,35.5,52.5,36.9,1
6,6,1/7/23,C,Georgia St.,SB,Louisiana Lafayette,A,"L, 78-70",107.1,108,66.8,104.8,51,18,25.8,51,116.8,51.9,16.5,41.9,55.6,47.6,-6
7,7,12/18/22,N,Georgia St.,SB,Rhode Island,H,"W, 75-66",107.1,110.3,67.6,111,53.3,17.8,37.5,26.7,97.7,48.1,20.7,30,33.3,41.7,-1
8,8,12/14/22,N,Georgia St.,SB,Auburn,A,"L, 72-64",107,95.5,67.9,94.3,42.2,23.6,44.1,34.5,106.1,54.1,16.2,25.9,61.2,78.8,-3
9,9,11/20/22,N,Georgia St.,SB,UNC Asheville,H,"W, 74-68",106,103.7,68.8,107.5,47.5,14.5,31.2,27.9,98.8,44.5,14.5,34.2,25,56.5,1
10,10,2/11/23,C,Georgia St.,SB,Marshall,H,"L, 88-77",105.7,110.7,75.5,102,51.6,19.9,34.5,34.4,116.5,58.9,19.9,31.2,27.4,37.1,-4
11,11,2/4/23,C,Georgia St.,SB,Southern Miss,H,"L, 79-71",103.2,106.7,72,98.6,49.2,20.8,27.8,28.8,109.8,52.5,9.7,18.2,42.4,40.4,-2
12,12,12/31/22,C,Georgia St.,SB,South Alabama,H,"W, 68-58",101.9,89.8,66.2,102.8,49.1,12.1,14.3,34,87.6,42.9,16.6,26.8,12.7,81,0
13,13,11/18/22,N,Georgia St.,SB,Eastern Kentucky,H,"L, 62-61",97.4,93.3,65.8,92.7,52.9,30.4,34.6,15.7,94.3,46,19.8,33.3,16.1,62.2,8
14,14,1/26/23,C,Georgia St.,SB,Appalachian St.,A,"L, 71-59",96.2,117.5,62.9,93.9,48.2,19.1,27.3,12.3,112.9,52.9,19.1,40.6,46.2,9.1,-11
15,15,2/2/23,C,Georgia St.,SB,Georgia Southern,H,"W, 64-60",95.7,94.4,67.5,94.8,46.4,13.3,20.5,38.2,88.9,44,22.2,17.2,38,54,2
16,16,11/27/22,N,Georgia St.,SB,Belmont,H,"L, 68-66",94.9,99.5,66.4,99.4,46.3,16.6,24.1,37,102.4,59.8,22.6,18.5,17.6,36.5,-4
17,17,2/9/23,C,Georgia St.,SB,Old Dominion,H,"L, 63-60",90.7,97.3,66.7,89.9,50,19.5,17.2,40,94.4,43.8,16.5,30.8,41.1,30.9,0
18,18,11/19/22,N,Georgia St.,SB,Texas A&M Commerce,H,"W, 57-53",90.6,94.4,58.3,97.8,45.8,20.6,28.6,29.2,90.9,49,20.6,26.7,7.7,38.6,4
19,19,2/22/23,C,Georgia St.,SB,Appalachian St.,H,"L, 78-52",90.1,130.8,61,85.2,40.4,16.4,30.8,21.1,127.8,67.9,16.4,20.8,13.2,1.4,-13
20,20,1/19/23,C,Georgia St.,SB,Old Dominion,A,"L, 70-58",87.8,109.5,66.1,87.8,41.2,22.7,34.1,31.6,105.9,62,27.2,28.6,34.8,7.3,-10
21,21,2/16/23,C,Georgia St.,SB,Coastal Carolina,A,"L, 77-68",87.1,107.5,71.7,94.8,41.7,18.1,32.6,27.3,107.4,56.1,20.9,22.2,51,8.2,-7
22,22,1/5/23,C,Georgia St.,SB,Louisiana Monroe,A,"L, 66-58",86.3,110.7,65.1,89.1,39.6,23.1,29.4,47.9,101.4,46.8,7.7,18.4,17.5,5.5,-10
23,23,11/12/22,N,Georgia St.,SB,Georgia Tech,H,"L, 59-57",86.1,87.9,67.4,84.6,38.6,22.3,35,36.8,87.5,42.7,19.3,24.1,56.2,44.1,1
24,24,1/28/23,C,Georgia St.,SB,Marshall,A,"L, 103-65",85.8,117.8,81,80.3,35.2,28.4,44.9,51.6,127.2,64.8,17.3,32.3,43.8,2.6,-20
25,25,1/12/23,C,Georgia St.,SB,Troy,H,"L, 65-53",78.6,90.2,71.6,74,38.2,27.9,16.7,31.4,90.8,44.4,12.6,20.5,22.6,17.1,-2
26,26,1/21/23,C,Georgia St.,SB,Georgia Southern,A,"L, 58-52",75.7,96.8,65.9,78.9,38.6,24.3,33.3,22.8,88,43.1,15.2,22.2,20.7,5.6,-13
27,27,12/29/22,C,Georgia St.,SB,James Madison,H,"L, 63-47",72.4,91.5,68.1,69,32.7,30.8,41,38.2,92.5,37.5,19.1,41.2,61.5,6.3,-8
28,28,12/4/22,N,Georgia St.,SB,Northeastern,A,"L, 66-46",63.6,101,69.7,66,28.7,8.6,19.6,14.7,94.7,47.4,25.8,46.4,24.1,0.5,-13
