#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/28/23,C,Georgia Tech,ACC,Syracuse,A,"W, 96-76",134.7,102.7,70.6,135.9,65.7,12.7,30.3,14.9,107.6,51.8,14.2,17.2,35.7,95.8,11
2,2,12/17/22,N,Georgia Tech,ACC,Alabama St.,H,"W, 96-60",123,95.1,72.7,132.1,64,6.9,20.6,19.1,82.6,37.9,9.6,15.6,22.7,95.1,22
3,3,12/6/22,N,Georgia Tech,ACC,Georgia,H,"W, 79-77",116.4,116.1,67.8,116.5,51.6,10.3,33.3,30.2,113.5,58.6,16.2,33.3,27.6,50.6,1
4,4,3/8/23,CT,Georgia Tech,ACC,Pittsburgh,N,"L, 89-81",115.6,116.1,70.4,115,51.5,11.4,30,28.8,126.3,62.7,12.8,22.2,45.5,48.6,-5
5,5,2/21/23,C,Georgia Tech,ACC,Pittsburgh,A,"L, 76-68",115.4,110.9,61.1,111.2,55.5,6.5,9.7,18.2,124.3,55.9,11.5,22.2,39.2,61,-2
6,6,2/25/23,C,Georgia Tech,ACC,Louisville,H,"W, 83-67",112.7,104.6,68.1,121.9,58.9,14.7,23.3,39.3,98.4,47.5,20.6,38.9,19.7,70.1,7
7,7,3/4/23,C,Georgia Tech,ACC,Boston College,A,"W, 73-65",111.1,99.8,66.7,109.4,50.8,7.5,18.9,21,97.5,49.1,16.5,17.6,19.3,77.4,2
8,8,11/26/22,N,Georgia Tech,ACC,North Alabama,H,"W, 80-61",110.9,89.2,67.9,117.8,65.4,20.6,26.1,30.8,89.8,45.2,23.6,39.5,17.7,92.4,14
9,9,12/2/22,N,Georgia Tech,ACC,Northeastern,H,"W, 81-63",110.2,97.7,69.9,115.9,48.4,12.9,39.5,41.3,90.1,39.5,15.7,29.5,35.5,80,11
10,10,2/11/23,C,Georgia Tech,ACC,Wake Forest,A,"L, 71-70",109.9,98.6,66.1,105.9,47,16.6,38.5,12.1,107.4,50,15.1,22.6,46.2,77.7,0
11,11,2/15/23,C,Georgia Tech,ACC,Virginia Tech,H,"W, 77-70",108,89.3,72.1,106.8,54.3,16.6,28.6,44.8,97.1,45.2,13.9,32.6,11,89.9,6
12,12,1/4/23,C,Georgia Tech,ACC,Miami FL,H,"W, 76-70",107.1,88.9,70.9,107.1,48.4,21.1,41.2,31.1,98.7,39,9.9,33.3,36.8,89.5,3
13,13,2/4/23,C,Georgia Tech,ACC,North Carolina St.,A,"L, 72-64",102.7,93.3,68,94.2,50.8,25,29.4,10.2,105.9,47.6,13.2,30.8,27.4,75.2,-1
14,14,11/29/22,N,Georgia Tech,ACC,Iowa,A,"L, 81-65",102.5,106.3,64.7,100.4,44.5,17,37.5,15.6,125.1,52.5,13.9,48.7,51.7,39.6,-9
15,15,11/21/22,N,Georgia Tech,ACC,Utah,N,"L, 68-64",102.4,102.9,66.2,96.6,38.4,7.5,36.7,29,102.7,51,28.7,45.2,40.4,48.5,-7
16,16,2/8/23,C,Georgia Tech,ACC,Notre Dame,H,"W, 70-68",102.3,101,65.9,106.2,51.7,13.7,22.9,20,103.2,48.2,10.6,15.2,26.8,53.9,1
17,17,1/17/23,C,Georgia Tech,ACC,North Carolina St.,H,"L, 78-66",99.6,99.4,70.8,93.3,40.8,14.1,36.7,26.8,110.2,57.5,21.2,30.8,37.7,50.6,-2
18,18,3/7/23,CT,Georgia Tech,ACC,Florida St.,N,"W, 61-60",98.4,104.1,59.1,103.2,45.3,8.5,19.4,34,101.5,46.6,15.2,38.9,20.7,34.4,-5
19,19,1/7/23,C,Georgia Tech,ACC,Florida St.,A,"L, 75-64",98,109.6,66.2,96.6,48.2,19.6,25.7,21.1,113.2,57.4,13.6,25.8,13.1,21.5,-3
20,20,1/10/23,C,Georgia Tech,ACC,Notre Dame,A,"L, 73-72",97.8,94.2,65.2,98.1,47,19.1,35,18.2,99.5,50,19.1,20,32.2,60.6,0
21,21,12/10/22,C,Georgia Tech,ACC,North Carolina,A,"L, 75-59",96.9,101.8,67.6,87.3,49.1,16.3,3.1,14.8,110.9,50,16.3,36.4,42.1,36.1,-8
