#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/1/23,C,Georgia,SEC,Auburn,A,"L, 94-73",125.4,132.1,65,112.3,57.7,20,29.4,36.5,144.6,63.3,7.7,43.3,32.8,35.5,-13
2,2,1/4/23,C,Georgia,SEC,Auburn,H,"W, 76-64",121.6,89.9,67.4,112.8,50.9,16.3,32.4,60.4,95,39.1,16.3,42.9,23.2,97,6
3,3,1/7/23,C,Georgia,SEC,Florida,A,"L, 82-75",117.8,108.2,71.8,104.4,45.6,13.9,34.1,26.5,114.2,54.9,15.3,24.2,27.9,72.6,0
4,4,2/11/23,C,Georgia,SEC,Kentucky,H,"W, 75-68",117.7,94,66,113.7,46.3,10.6,27.3,53.7,103.1,43.8,13.6,33.3,20,93,4
5,5,12/6/22,N,Georgia,SEC,Georgia Tech,A,"L, 79-77",117.4,115.3,67.8,113.5,58.6,16.2,33.3,27.6,116.5,51.6,10.3,33.3,30.2,55.3,-1
6,6,11/22/22,N,Georgia,SEC,UAB,N,"L, 87-73",114,112,69.5,104.1,46.2,21.4,43.9,24.2,124,53.5,10,37.8,16.9,55,-3
7,7,1/21/23,C,Georgia,SEC,Vanderbilt,H,"L, 85-82",113.2,112.1,70.5,116.3,51.7,17,40.5,47.5,120.5,57.1,14.2,24.2,51.8,52.9,-5
8,8,1/17/23,C,Georgia,SEC,Kentucky,A,"L, 85-71",113.1,101,70.8,100.2,52.9,15.5,12.5,46.2,120,47,9.9,37.2,45.5,78.5,1
9,9,12/28/22,N,Georgia,SEC,Rider,H,"W, 78-72",111.3,102.3,68.6,113.7,56,13.1,27,37.9,105,46.4,13.1,35.9,17.4,72.4,9
10,10,2/7/23,C,Georgia,SEC,Mississippi,H,"L, 78-74",109.2,108.4,70.3,105.2,48.2,14.2,28.6,47.4,110.9,45.9,11.4,29.7,44.3,52.1,1
11,11,2/21/23,C,Georgia,SEC,Arkansas,A,"L, 97-65",107.3,125.4,70.1,92.7,42.3,18.5,19.4,51.9,138.3,73.3,7.1,15.4,37.9,14.3,-17
12,12,12/18/22,N,Georgia,SEC,Notre Dame,N,"W, 77-62",106.2,90.6,68.7,112.2,53.7,20.4,28.6,40.7,90.3,52.8,21.8,15.6,11.1,86.1,3
13,13,2/25/23,C,Georgia,SEC,Missouri,H,"L, 85-63",103.1,110.6,64.9,97.1,52.2,29.3,34.5,43.5,131,70.2,20,33.3,15.8,30.8,-3
14,14,11/14/22,N,Georgia,SEC,Miami OH,H,"W, 77-70",103,97.8,71.5,107.7,45.7,25.2,48.6,51.7,97.9,50.9,22.4,25,21.1,64.6,9
15,15,1/28/23,C,Georgia,SEC,South Carolina,H,"W, 81-78",102.2,108.7,66.9,107.7,51.8,14.6,19.4,51.8,103.7,50.7,23.9,40.5,20.6,32.9,-3
16,16,3/8/23,CT,Georgia,SEC,LSU,N,"L, 72-67",102.1,110.7,64.9,103.3,46,17,26.7,48,111,39.4,7.7,40,39.4,28.2,-5
17,17,2/28/23,C,Georgia,SEC,Florida,H,"L, 77-67",101.6,105.7,71.6,93.5,36.5,16.8,34.1,46,107.5,60.2,18.1,23.3,37,38.6,-4
18,18,1/14/23,C,Georgia,SEC,Mississippi,A,"W, 62-58",101.4,91.5,62.7,98.8,41.5,17.5,38.5,23.7,92.5,44.9,17.5,29.4,13.6,76.6,-1
19,19,2/18/23,C,Georgia,SEC,Alabama,A,"L, 108-59",101.3,133.1,70.8,83.3,41.1,11.3,19.6,53.6,152.4,74.6,15.5,41.4,34.9,4.1,-26
20,20,11/30/22,N,Georgia,SEC,Hampton,H,"W, 73-54",101,90.7,64.6,113,53.7,21.7,40.6,38.9,83.6,32.8,10.8,34,19.4,77.6,12
21,21,12/21/22,N,Georgia,SEC,Chattanooga,H,"W, 72-65",99.8,100.2,66.5,108.3,51,16.5,23.3,49,97.7,50.9,19.5,24.3,27.3,48.9,-3
22,22,2/4/23,C,Georgia,SEC,Texas A&M,A,"L, 82-57",99.1,114,64.4,88.4,34.8,15.5,31.7,48.2,127.2,57.5,15.5,46.9,28.3,16.6,-15
23,23,12/2/22,N,Georgia,SEC,Florida A&M,H,"W, 68-46",98.7,89.2,63.4,107.2,54.6,23.7,42.4,29.6,72.5,40,28.4,25.7,22,76.2,9
24,24,11/21/22,N,Georgia,SEC,Saint Joseph's,N,"W, 66-53",97.5,73.8,69.5,95,41.1,21.6,36.8,42.9,76.3,38.6,20.1,20.5,28.1,96.1,12
25,25,11/11/22,N,Georgia,SEC,Wake Forest,A,"L, 81-71",94.5,103.3,74.7,95.1,48.4,20.1,24.4,30.6,108.5,59.4,21.4,25,49.1,26.4,-12
26,26,1/11/23,C,Georgia,SEC,Mississippi St.,H,"W, 58-50",92.9,78.3,67.6,85.8,35.1,26.6,30.6,66,74,35.2,13.3,28,36.1,87.7,0
27,27,11/7/22,N,Georgia,SEC,Western Carolina,H,"W, 68-55",92.7,80.2,70.7,96.2,51.8,29.7,36.7,27.3,77.8,40.4,19.8,18.4,19.3,84.1,9
28,28,11/18/22,N,Georgia,SEC,Bucknell,H,"W, 65-61",91.5,99.3,66.6,97.6,38.9,22.5,39.5,48.1,91.6,49.1,22.5,21.4,14.8,28.1,1
29,29,11/27/22,N,Georgia,SEC,East Tennessee St.,H,"W, 62-47",89.3,79,65,95.3,50,21.5,32.3,12.3,72.3,41.2,26.1,20,19.6,80.2,5
30,30,2/14/23,C,Georgia,SEC,LSU,H,"W, 65-63",86.3,86.3,73.7,88.2,50,17.6,6.1,52,85.5,45.2,25.8,18.8,36.5,50,0
31,31,3/4/23,C,Georgia,SEC,South Carolina,A,"L, 61-55",85.7,89.7,65.9,83.4,42.2,24.3,25,25.5,92.5,40.4,24.3,48.5,59.6,37.1,1
32,32,1/25/23,C,Georgia,SEC,Tennessee,A,"L, 70-41",76.5,87.4,69.9,58.7,32.7,28.6,25,21.8,100.2,46.8,12.9,26.3,30.6,17.8,-10
