#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/25/23,C,Gonzaga,WCC,Saint Mary's,H,"W, 77-68",144.2,100.6,62,124.2,57.7,11.3,24,38.5,109.7,56.5,17.7,20.7,47.8,98.4,9
2,2,2/16/23,C,Gonzaga,WCC,Loyola Marymount,A,"W, 108-65",141.8,77.5,78.4,137.8,66.7,10.2,26.7,42.4,82.9,46.3,24.2,18.8,40.7,99.9,29
3,3,1/14/23,C,Gonzaga,WCC,Portland,H,"W, 115-75",141.7,95.7,76.4,150.4,66.9,5.2,34.2,15,98.1,51.9,24.9,29.7,60.4,98.9,22
4,4,3/7/23,CT,Gonzaga,WCC,Saint Mary's,N,"W, 77-51",140.5,77.1,62.4,123.4,66,14.4,22.7,28,81.7,37,17.6,22.9,27.8,99.9,14
5,5,12/17/22,N,Gonzaga,WCC,Alabama,N,"W, 100-90",139.5,99,82.7,120.9,62.1,10.9,17.6,27.1,108.8,58.3,25.4,27.3,40,98.1,4
6,6,2/9/23,C,Gonzaga,WCC,San Francisco,H,"W, 99-81",139.2,106,72.6,136.3,57.8,12.4,47.1,51.6,111.5,55.6,20.7,34.3,25.8,95.8,14
7,7,3/1/23,N,Gonzaga,WCC,Chicago St.,H,"W, 104-65",137.6,107.9,66.4,156.7,71.3,10.5,43.3,39.3,97.9,50.8,25.6,37.8,11.7,94.3,15
8,8,2/2/23,C,Gonzaga,WCC,Santa Clara,H,"W, 88-70",137,98.5,66.8,131.7,66.1,16.5,40.7,23.7,104.7,46.7,16.5,32.4,31.7,97.8,13
9,9,11/24/22,N,Gonzaga,WCC,Portland St.,N,"W, 102-78",134.6,108.6,73.3,139.2,69.8,15,37.9,31.7,106.4,51.6,17.7,21.6,27.9,92.1,14
10,10,3/6/23,CT,Gonzaga,WCC,San Francisco,N,"W, 84-73",130.7,104.4,66.1,127.1,58,13.6,30.3,46.4,110.4,50.7,12.1,31.7,9,93,8
11,11,1/21/23,C,Gonzaga,WCC,Pacific,A,"W, 99-90",130,117.7,74.3,133.2,63.5,10.8,35.7,46,121,54.8,8.1,18.2,36.5,75.9,3
12,12,2/18/23,C,Gonzaga,WCC,Pepperdine,A,"W, 97-88",129.5,118.8,73.9,131.2,62.3,12.2,30.3,36.9,119,57,13.5,36.4,34.4,72.8,3
13,13,11/27/22,N,Gonzaga,WCC,Xavier,N,"W, 88-84",125.6,97.8,74.4,118.3,60.5,17.5,28.6,30.6,112.9,57.4,12.1,17.6,11.8,94.7,5
14,14,12/12/22,N,Gonzaga,WCC,Northern Illinois,H,"W, 88-67",125,108,67,131.3,50,9,47.5,30,100,47.3,22.4,35.3,30.4,84.3,9
15,15,2/11/23,C,Gonzaga,WCC,BYU,H,"W, 88-81",124.7,110.3,72.9,120.7,56.4,12.3,25,61.8,111.1,53.8,16.5,25.7,18.5,80.4,1
16,16,12/31/22,C,Gonzaga,WCC,Pepperdine,H,"W, 111-88",124.1,107.4,85.1,130.4,67.5,12.9,25,18.2,103.4,56.7,20,21.2,23.9,84,9
17,17,2/23/23,C,Gonzaga,WCC,San Diego,H,"W, 97-72",122.8,99.6,71.2,136.2,59.9,11.2,46.2,31,101.1,57.4,19.7,15.6,3.3,91.7,12
18,18,2/4/23,C,Gonzaga,WCC,Saint Mary's,A,"L, 78-70",122.5,97.4,62.2,100.1,52.9,15.7,9.7,45.1,111.5,50.8,11.4,25,34.4,93.3,5
19,19,11/20/22,N,Gonzaga,WCC,Kentucky,H,"W, 88-72",120.2,85.4,76.3,115.4,62.7,23.6,28,38.2,94.4,43.5,14.4,25.6,23.2,98.1,10
20,20,1/7/23,C,Gonzaga,WCC,Santa Clara,A,"W, 81-76",118.4,102.3,70.7,114.6,52.3,12.7,35,34.4,107.5,50.7,15.6,34.2,5.6,84.2,-2
21,21,12/20/22,N,Gonzaga,WCC,Montana,H,"W, 85-75",117.5,107.8,68.9,123.4,56.7,13.1,30,65.4,108.9,57.1,17.4,20,28.6,72.9,5
22,22,11/16/22,N,Gonzaga,WCC,Texas,A,"L, 93-74",117.2,110.6,73.8,100.3,57.8,27.1,28.1,41.2,126,61.4,13.6,23.5,24.2,66,-8
23,23,11/7/22,N,Gonzaga,WCC,North Florida,H,"W, 104-63",116.4,78.3,80,130,67.9,17.5,33.3,23.9,78.7,42.4,27.5,25.6,37.3,99,22
24,24,11/25/22,N,Gonzaga,WCC,Purdue,N,"L, 84-66",114.7,104.4,67.2,98.3,47,10.4,19.5,6,125,55.7,11.9,36.1,36.1,74.7,-3
