#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/11/22,N,Grambling St.,SWAC,Colorado,H,"W, 83-74",121.4,91.7,77.5,107.1,56.7,23.2,30,67.3,95.5,44.4,24.5,40,41.9,96.2,12
2,2,1/28/23,C,Grambling St.,SWAC,Jackson St.,H,"W, 78-66",116.6,115.3,62.2,125.4,54.3,12.9,36.8,41.4,106.1,50.9,16.1,35.3,35.2,53.3,6
3,3,3/8/23,CT,Grambling St.,SWAC,Bethune Cookman,N,"W, 87-72",116.4,107.8,70,124.3,59.8,22.9,55.6,41,102.9,43.5,18.6,41.3,24.6,70.7,14
4,4,1/4/23,C,Grambling St.,SWAC,Texas Southern,A,"W, 85-72",116.2,111.2,71.6,118.7,66.7,22.4,30.4,47.1,100.6,51.9,16.8,20,54.7,62.4,3
5,5,1/23/23,C,Grambling St.,SWAC,Arkansas Pine Bluff,A,"W, 77-70",111.5,106.2,69.9,110.1,59.4,27.2,27.3,45.8,100.1,46.3,21.4,33.3,40.7,63.5,8
6,6,2/6/23,C,Grambling St.,SWAC,Alabama A&M,A,"W, 66-60",110.2,101.7,61,108.2,41.8,26.2,50,63.3,98.4,48.8,14.8,20.7,69.8,71.5,9
7,7,3/10/23,CT,Grambling St.,SWAC,Jackson St.,N,"W, 78-69",108.4,115.7,65.9,118.3,58.8,15.2,30.8,47.1,104.7,44.3,18.2,40,36.1,32,-2
8,8,12/9/22,N,Grambling St.,SWAC,Vanderbilt,A,"W, 64-62",108.1,88,61.5,104.1,44.1,11.4,32.5,28.8,100.9,51.2,30.9,38.5,67.5,91.4,4
9,9,2/13/23,C,Grambling St.,SWAC,Prairie View A&M,H,"W, 68-64",106.6,113.3,64.2,105.9,57.8,23.4,28.6,57.8,99.6,41.9,21.8,47.5,24.2,33.1,1
10,10,11/25/22,N,Grambling St.,SWAC,UTSA,A,"W, 75-55",106.3,78.1,69.2,108.4,49.3,14.4,35.7,17.6,79.5,34.3,23.1,34.1,57.4,97.2,16
11,11,1/7/23,C,Grambling St.,SWAC,Bethune Cookman,H,"W, 76-70",102.9,110.5,67.9,111.9,57.5,20.6,47.4,47.2,103.1,52,19.1,33.3,46.9,30.6,7
12,12,2/4/23,C,Grambling St.,SWAC,Alabama St.,A,"W, 73-60",102,99.3,68.1,107.2,57.8,19.1,22.6,45.1,88.1,40,17.6,21.1,60,57.6,7
13,13,11/28/22,N,Grambling St.,SWAC,Dartmouth,N,"W, 73-49",99.9,76.3,69.6,105,52.6,18.7,35.5,31,70.5,40.8,30.2,21.6,36.7,95.7,11
14,14,2/25/23,C,Grambling St.,SWAC,Florida A&M,A,"W, 69-55",99.9,92.8,67.6,102.1,50,17.7,33.3,34.5,81.3,37.8,32.5,31,75.6,69.8,9
15,15,2/27/23,C,Grambling St.,SWAC,Bethune Cookman,A,"W, 66-54",98.3,97.5,60.7,108.7,56.7,18.1,30.8,23.1,89,42.9,14.8,27,21.4,52.3,4
16,16,3/4/23,C,Grambling St.,SWAC,Alabama St.,H,"W, 69-49",97.9,102.2,60.8,113.4,50,11.5,33.3,26.8,80.5,42.6,26.3,33.3,38.3,37.8,1
17,17,1/30/23,C,Grambling St.,SWAC,Alcorn St.,H,"L, 63-60",97.4,109,59.7,100.5,61.6,28.5,28,34.9,105.6,54.9,20.1,31,21.6,21.5,1
18,18,12/19/22,N,Grambling St.,SWAC,Liberty,A,"L, 75-56",96.8,94.8,68.3,81.9,50,24.9,12.1,25.5,109.7,53.6,11.7,19.4,35.7,56.2,-1
19,19,1/14/23,C,Grambling St.,SWAC,Southern,A,"L, 81-73",95.1,110.6,78.2,93.3,44.1,21.7,25,47.5,103.5,46.7,12.8,23.7,53.3,15,-3
20,20,1/9/23,C,Grambling St.,SWAC,Florida A&M,H,"W, 62-57",92.8,109.4,62.4,99.3,42.3,14.4,31,59.6,91.3,42.7,16,27,27.3,13.1,1
21,21,1/2/23,C,Grambling St.,SWAC,Prairie View A&M,A,"L, 61-60",91.3,95.3,69.4,86.4,48.9,31.7,28.6,50,87.9,44.4,20.2,31.4,42.6,38,3
22,22,2/18/23,C,Grambling St.,SWAC,Southern,H,"W, 69-64",91.2,97.1,65.5,93.7,46.6,19,25,39.7,86.9,38.2,23.1,44.2,35.3,32.7,2
23,23,2/11/23,C,Grambling St.,SWAC,Texas Southern,H,"W, 65-46",90.9,75.4,68.8,94.4,41.5,14.5,26.3,67.9,66.8,36.5,21.8,17.9,30.8,89.6,9
24,24,12/3/22,N,Grambling St.,SWAC,Incarnate Word,H,"W, 72-39",90.3,71.2,68.3,105.4,59.4,19,25.9,34,57.1,26.7,26.4,33.3,32.8,93.9,8
25,25,3/2/23,C,Grambling St.,SWAC,Alabama A&M,H,"W, 60-48",90.2,83.1,63.7,94.1,50,20.4,29,63.6,75.3,37.3,31.4,41.7,23.6,72,7
26,26,1/21/23,C,Grambling St.,SWAC,Mississippi Valley S,A,"W, 65-61",85.4,86.7,75,86.7,51.1,29.3,28.6,72.3,81.3,39.1,21.3,23.7,49.1,45.7,8
27,27,11/27/22,N,Grambling St.,SWAC,Incarnate Word,N,"L, 63-61",85.1,102.3,66.9,91.2,54,25.4,21.4,20,94.2,47.1,20.9,18.8,37.3,10.7,-2
