#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/10/23,CT,Grand Canyon,WAC,Sam Houston St.,N,"W, 78-75",141,122.6,61.2,127.5,71.7,14.7,9.5,37,122.6,50.9,6.5,32.3,51.9,83.4,1
2,2,1/18/23,C,Grand Canyon,WAC,Utah Tech,H,"W, 89-85",132.2,124.2,66.6,133.7,68.6,16.5,26.9,45.1,127.7,56.1,13.5,39.4,52.6,67.2,4
3,3,2/17/23,C,Grand Canyon,WAC,Abilene Christian,H,"W, 94-84",128.8,121.9,70,134.4,77.8,24.3,36.4,73.3,120.1,50,4.3,22.9,49.2,65.4,5
4,4,11/29/22,N,Grand Canyon,WAC,Alcorn St.,H,"W, 80-72",128.5,114.7,62.3,128.5,65.3,19.3,39.1,42.9,115.6,47.5,12.8,38.9,30,78.6,14
5,5,3/7/23,CT,Grand Canyon,WAC,UT Arlington,N,"W, 82-77",124.7,117.2,67.1,122.1,58.3,13.4,25.9,75,114.7,54,10.4,24.2,21,67.3,7
6,6,2/4/23,C,Grand Canyon,WAC,Stephen F. Austin,H,"W, 86-83",123.1,116.3,71.6,120.1,60.6,21,30,57.7,115.9,53.4,16.8,33.3,39.7,65.8,4
7,7,1/21/23,C,Grand Canyon,WAC,Utah Valley,H,"L, 76-74",122.6,114.1,65.7,112.6,46.9,19.8,51.2,32.8,115.6,47.7,12.2,42.1,31.2,69.6,1
8,8,3/9/23,CT,Grand Canyon,WAC,Seattle,N,"W, 84-79",122.4,118.6,70.8,118.7,63.5,17,18.5,51.9,111.6,48.2,11.3,28.6,54.4,59.2,0
9,9,3/11/23,CT,Grand Canyon,WAC,Southern Utah,N,"W, 84-66",120.1,93.3,68.8,122.1,66.4,14.5,25,32.7,95.9,41.3,11.6,20.9,30.2,94.8,8
10,10,1/14/23,C,Grand Canyon,WAC,Cal Baptist,A,"L, 79-74",116.3,124.8,64.6,114.5,50,13.9,34.3,34.5,122.3,56.9,12.4,27.3,60.8,30.9,-7
11,11,3/1/23,C,Grand Canyon,WAC,Southern Utah,A,"W, 83-78",116.1,105.4,71.1,116.8,59.3,9.9,10,32.2,109.8,52.3,11.3,26.3,26.6,75.3,-1
12,12,11/18/22,N,Grand Canyon,WAC,Grambling St.,H,"W, 81-48",115.7,71.2,72.1,112.4,53,19.4,38.5,24.2,66.6,34.8,25,24.4,32.1,99.6,20
13,13,11/22/22,N,Grand Canyon,WAC,Northern Iowa,N,"W, 69-67",114.6,102.7,62.4,110.6,50,14.4,40,25,107.4,52.6,9.6,18.9,20.7,78.1,10
14,14,1/26/23,C,Grand Canyon,WAC,Abilene Christian,A,"W, 75-73",112,108.4,66.2,113.2,59.6,25.7,33.3,51.1,110.2,52.5,12.1,30.6,27.9,59.3,1
15,15,1/7/23,C,Grand Canyon,WAC,Stephen F. Austin,A,"L, 73-68",111.1,109,65,104.7,50,24.6,33.3,50,112.4,50.8,13.9,37.5,30.5,55.5,0
16,16,2/8/23,C,Grand Canyon,WAC,New Mexico St.,H,"W, 78-67",109.4,98.4,69.2,112.7,56.5,17.3,22.2,35.2,96.8,43.3,15.9,31,40,77.3,8
17,17,1/12/23,C,Grand Canyon,WAC,UT Arlington,H,"W, 80-48",108.2,91.3,65.3,122.4,72.9,26,24,31.2,73.5,38.5,24.5,28.6,34.6,87.6,1
18,18,2/15/23,C,Grand Canyon,WAC,UT Rio Grande Valley,H,"L, 77-76",108,116.4,67.1,113.3,51.6,10.4,35,29.7,114.8,42.9,10.4,44.9,16.9,29.6,4
19,19,1/28/23,C,Grand Canyon,WAC,Tarleton St.,A,"L, 81-62",107.4,141.3,58.5,106,54.8,18.8,21.4,57.1,138.5,68.3,18.8,50,30.8,4.1,-17
20,20,12/10/22,N,Grand Canyon,WAC,North Texas,N,"L, 60-58",105.2,97.6,59.7,97.1,45.6,15.1,26.7,55.6,100.5,40.9,15.1,31.4,32.7,70.2,-3
21,21,3/3/23,C,Grand Canyon,WAC,Utah Tech,A,"W, 71-61",104.6,83.2,69.2,102.7,57.4,23.1,30.3,37,88.2,41.5,17.4,23.7,50.9,93.3,8
22,22,12/29/22,C,Grand Canyon,WAC,Cal Baptist,H,"W, 73-59",103.6,93.2,68.3,106.8,46.1,11.7,32.6,32.8,86.3,42.5,17.6,22,20,77.1,2
23,23,1/5/23,C,Grand Canyon,WAC,Sam Houston St.,A,"W, 72-68",103.2,89,68.3,93.8,51,32.6,30,49,88.5,46.2,23.4,28.9,58.5,84.6,-3
24,24,12/3/22,N,Grand Canyon,WAC,Wyoming,A,"W, 66-58",102.1,88,64.2,102.8,54.3,17.1,4,37,90.4,43.3,17.1,27.5,15,84.8,3
25,25,12/20/22,N,Grand Canyon,WAC,Idaho St.,H,"W, 68-66",100.3,109.8,63.6,106.9,43.8,15.7,46.3,28.1,103.7,50,17.3,25.8,21.8,26.3,-3
26,26,11/7/22,N,Grand Canyon,WAC,Montana St.,H,"W, 60-54",97.6,93.9,61.1,98.2,49.1,16.4,24.2,26.4,88.4,41.3,16.4,27.8,34.6,61,-7
27,27,12/17/22,N,Grand Canyon,WAC,Pepperdine,H,"W, 83-73",97.3,96.1,71.1,103.7,44.4,16.2,35.7,57.1,91.2,37.2,16.2,36.4,29.5,53.6,0
28,28,12/7/22,N,Grand Canyon,WAC,Loyola Marymount,H,"L, 69-65",95.1,101.3,67.2,96.8,45.9,20.8,36.6,26.2,102.7,58.5,25.3,28.6,18.9,32.6,-4
29,29,2/11/23,C,Grand Canyon,WAC,Seattle,A,"L, 63-58",93,95.7,67.1,86.4,40.6,17.9,30.2,12.5,93.9,40.9,14.9,25.7,43.6,41.8,-2
30,30,11/12/22,N,Grand Canyon,WAC,Nevada,A,"L, 59-46",88.4,87.4,60.1,76.5,33.6,15,24.4,21.8,98.2,42.2,10,17.6,39.2,53.5,-1
31,31,2/24/23,C,Grand Canyon,WAC,Seattle,H,"L, 65-54",83.3,106.1,65.8,82,37.3,22.8,27.5,30.9,98.7,44.9,15.2,32.4,27.1,5.8,-9
32,32,11/21/22,N,Grand Canyon,WAC,Wichita St.,N,"L, 55-43",77.9,89.8,58.6,73.4,30.5,20.5,38.1,15.3,93.9,43.3,20.5,42.1,6.7,16.3,-7
