#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/7/23,C,Green Bay,Horz,Cleveland St.,A,"L, 82-77",120.2,123.3,65.4,117.6,63.5,19.9,25.9,47.9,125.3,54.2,6.1,25,35,42.6,-2
2,2,1/12/23,C,Green Bay,Horz,Wright St.,H,"L, 99-67",104.4,147.2,66,101.5,53.8,19.7,24.2,36.5,149.9,75.4,13.6,47.4,33.3,1.9,-11
3,3,1/5/23,C,Green Bay,Horz,Fort Wayne,A,"L, 79-69",103.9,125.4,65.6,105.2,59.6,19.8,18.5,21.2,120.5,50,13.7,42.9,37.7,10.3,-8
4,4,2/6/23,C,Green Bay,Horz,Milwaukee,A,"W, 80-79",103.2,106.9,67.2,105.9,51.5,14.6,21.4,24.2,104.5,47.2,18.5,40,25.4,40.1,-3
5,5,2/11/23,C,Green Bay,Horz,Detroit,H,"L, 76-71",102.2,111,64.6,109.9,50.8,9.3,24.3,17.5,117.7,53.8,13.9,25.8,44.2,27.8,2
6,6,2/23/23,C,Green Bay,Horz,Cleveland St.,H,"L, 76-65",101.5,111.3,66.5,97.8,47.4,18.1,27.8,26.3,114.4,53.8,13.5,35.3,12.1,25.8,0
7,7,12/10/22,N,Green Bay,Horz,UMKC,H,"W, 70-64",99.6,111,65.7,106.6,56.2,25.9,21.7,75,97.5,39.8,18.3,44.2,26.6,22.3,1
8,8,11/12/22,N,Green Bay,Horz,Georgetown,A,"L, 92-58",98.1,129.3,65.7,88.3,48.1,19.8,20.6,17,140,68.9,16.7,37.9,24.6,4,-6
9,9,12/13/22,N,Green Bay,Horz,St. Thomas,A,"L, 82-61",94.3,121.1,64.6,94.4,55,20.1,7.4,20,126.9,55.2,13.9,39.4,34.5,5.3,-10
10,10,12/1/22,C,Green Bay,Horz,Milwaukee,H,"L, 81-67",94,120.4,69.2,96.8,43.9,20.2,37.5,49.1,117.1,60,18.8,28,30.9,5.5,-7
11,11,1/14/23,C,Green Bay,Horz,Northern Kentucky,H,"L, 74-53",94,125.1,59.1,89.7,48.8,27.1,20.7,32.6,125.2,55.2,11.8,41.7,31,3.6,-8
12,12,11/18/22,N,Green Bay,Horz,Queens,N,"L, 81-65",93.9,109.9,69.6,93.4,53.3,25.9,20.7,52.2,116.4,55.6,14.4,26.7,53.7,14.1,-2
13,13,2/18/23,C,Green Bay,Horz,Youngstown St.,A,"L, 95-65",93.9,115,72.6,89.6,45,22,27.5,28.3,130.9,60.6,9.6,28.1,25.8,8.8,-6
14,14,1/26/23,C,Green Bay,Horz,Northern Kentucky,A,"L, 68-50",92.5,115.1,57.8,86.5,54.7,34.6,20.8,7,117.7,53.7,6.9,26.5,27.8,7.5,-7
15,15,11/20/22,N,Green Bay,Horz,Utah Valley,N,"L, 79-56",91.8,109.5,69.1,81,44.7,20.3,15.4,19.3,114.3,57.4,15.9,25,38.9,11.7,-9
16,16,1/19/23,C,Green Bay,Horz,Youngstown St.,H,"L, 86-70",91.7,116.2,71.3,98.2,55,22.4,17.2,46,120.7,49.1,8.4,32.3,60.3,6.2,-11
17,17,2/28/23,CT,Green Bay,Horz,Wright St.,A,"L, 77-57",90.9,113.3,65.4,87.1,43.6,9.2,5.7,23.6,117.7,59.8,19.9,33.3,21.4,7.4,-7
18,18,2/16/23,C,Green Bay,Horz,Robert Morris,A,"L, 71-56",90.6,111,65.3,85.8,45.2,19.9,20,28.8,108.7,48.2,18.4,36.4,40,8.8,-4
19,19,12/18/22,N,Green Bay,Horz,Oregon St.,A,"L, 65-56",89.8,105.4,64.6,86.8,50,23.2,11.5,28.3,100.7,51,17,19.2,47.9,13.6,-6
20,20,12/31/22,C,Green Bay,Horz,Oakland,A,"L, 81-65",89.7,119.1,68.6,94.8,45.7,20.4,25,22.4,118.1,59.1,13.1,24,34.5,3.7,-10
21,21,11/26/22,N,Green Bay,Horz,Illinois Chicago,H,"L, 78-64",89.7,123.4,68.2,93.8,41.3,20.5,28.1,71.7,114.3,57.8,16.1,25,56.9,2.5,-9
22,22,12/5/22,C,Green Bay,Horz,IUPUI,H,"W, 68-61",88,97.5,68.1,99.9,55.3,25,22.2,42.6,89.6,50,25,20.7,23.1,23.6,6
23,23,2/25/23,C,Green Bay,Horz,Fort Wayne,H,"L, 78-61",86.5,119.5,68.9,88.6,44.7,20.3,27,24.6,113.3,59.6,16,19.4,29.8,2.4,-10
24,24,12/29/22,C,Green Bay,Horz,Detroit,A,"L, 76-59",84.6,108.6,65.4,90.2,45.4,19.9,25,22.2,116.1,47.8,18.3,48.7,19.4,5.4,-9
25,25,11/7/22,N,Green Bay,Horz,Indiana St.,A,"L, 80-53",84.3,96.6,72.2,73.4,43.3,23.5,8.6,23.1,110.7,66.7,22.1,14.3,14,17.4,-5
26,26,11/15/22,N,Green Bay,Horz,Wisconsin,A,"L, 56-45",81.1,90.7,61,73.8,36.4,14.8,9.1,52.3,91.8,37.7,23,40.5,35.8,21.8,-8
27,27,2/4/23,C,Green Bay,Horz,IUPUI,A,"L, 68-53",79.1,114.4,62,85.4,40.4,16.1,22.5,34.6,109.6,53.8,17.7,33.3,34.6,1.4,-5
28,28,12/6/22,N,Green Bay,Horz,Loyola Chicago,A,"L, 70-46",77.8,117.5,59.5,77.4,30.5,16.8,34.1,22,117.7,58.3,18.5,39.3,18.5,0.9,-13
29,29,1/28/23,C,Green Bay,Horz,Wright St.,A,"L, 77-46",67.6,109.1,69.3,66.3,36.1,21.6,15.9,27.8,111.1,58.3,17.3,17.9,33.3,0.4,-17
30,30,1/21/23,C,Green Bay,Horz,Robert Morris,H,"L, 72-38",67.3,111.4,64.3,59.1,23.5,23.3,23.1,31.4,112,55,26.4,46.2,38,0.3,-8
31,31,2/9/23,C,Green Bay,Horz,Oakland,H,"L, 59-47",67.2,93.5,64.9,72.4,33.3,21.6,19.4,27.5,90.9,42.5,13.9,25,18.3,2.2,-7
32,32,12/16/22,N,Green Bay,Horz,Stanford,A,"L, 85-40",64.1,102.8,70.7,56.6,30.6,38.2,32.5,32.7,120.3,61.5,18.4,30,19.7,0.4,-18
